problem,algorithm,seed,engine,pop_size,max_evaluations,runtime_seconds,n_solutions,hypervolume,igd_plus
zcat1,nsgaii,0,numba,100,25000,1.48378180002328,100,0.9828772229143512,0.007265386927816282
zcat1,nsgaii,1,numba,100,25000,1.5416263999941293,100,0.9818270672776045,0.007747170567670676
zcat1,nsgaii,2,numba,100,25000,1.6739910999895073,100,0.9812551730752394,0.008034866859699147
zcat1,nsgaii,3,numba,100,25000,1.6719148999836762,100,0.9811438044533564,0.008306570014307912
zcat1,nsgaii,4,numba,100,25000,1.6238875999988522,100,0.98122051123755,0.008172814415139918
zcat1,nsgaii,5,numba,100,25000,1.6217891999986023,100,0.9818920991214656,0.007706742362305288
zcat1,nsgaii,6,numba,100,25000,1.6151447000156622,100,0.9811927553488236,0.008007543741614885
zcat1,nsgaii,7,numba,100,25000,1.5960889999987558,100,0.9823476475461838,0.007591674745653994
zcat1,nsgaii,8,numba,100,25000,1.8209111999894958,100,0.9822151766435389,0.007611808035595503
zcat1,nsgaii,9,numba,100,25000,1.9242515999940224,100,0.9815318736854522,0.007872151776345601
zcat1,nsgaii,10,numba,100,25000,1.57545430000755,100,0.9809957022339301,0.008090516324356716
zcat1,nsgaii,11,numba,100,25000,1.606112799985567,100,0.9816702025869715,0.007772563751354567
zcat1,nsgaii,12,numba,100,25000,1.687374600005569,100,0.9813007374551315,0.00801091398086506
zcat1,nsgaii,13,numba,100,25000,1.6269123000092804,100,0.9803958215023535,0.008358235973036759
zcat1,nsgaii,14,numba,100,25000,1.6796491999994032,100,0.9803147141898809,0.008583451525822959
zcat1,nsgaii,15,numba,100,25000,1.6126053000043612,100,0.9821108714426362,0.007672932836425814
zcat1,nsgaii,16,numba,100,25000,1.614029800024582,100,0.9818329300650016,0.00783869287500308
zcat1,nsgaii,17,numba,100,25000,1.6484778999874834,100,0.9808594450866678,0.008184856238639172
zcat1,nsgaii,18,numba,100,25000,1.5809880999731831,100,0.9822681398738987,0.007597003685890977
