problem,algorithm,runs,hv_mean,hv_std,hv_median,igd_plus_mean,igd_plus_std,igd_plus_median,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_median
zcat1,gces,21,0.9838699545182317,0.0005936894045098958,0.9838444585698567,0.007071796794757259,0.00042736536584870243,0.007007609706764745,6.070552614290223,0.18097698948834232,6.148341700027231
zcat1,nsgaii,21,0.9814242034340781,0.0007431843503350851,0.9813007374551315,0.007959852898978244,0.00033787863038084904,0.008007543741614885,1.6392778761898323,0.09192794980262915,1.6151447000156622
zcat10,gces,21,0.9546502741062167,0.003315504933961042,0.9543977641410625,0.003804775088941397,0.000915066757567568,0.0035431749279349,5.664067309521626,0.21025137991664145,5.656185700005153
zcat10,nsgaii,21,0.9457922395899251,0.0037762368717032453,0.9461398265739318,0.0035455292300133638,0.00024273064087625853,0.0036393657889603713,1.4428702619070897,0.06790688139850812,1.427006000012625
zcat11,gces,21,0.9906689295489426,0.0006244354916148328,0.9906740717758313,0.00429837050976545,0.0002478124056129245,0.004300339855621755,4.609393623801658,0.1930076619163746,4.555786799988709
zcat11,nsgaii,21,0.9885366752279076,0.0005948474464336457,0.9885981636369692,0.005437448814169839,0.0003405580555536502,0.005374971861760598,1.5112781476124102,0.08392755366308145,1.5164801999926567
zcat12,gces,21,0.9905286013023092,0.0006289915751817912,0.9905924305123072,0.004451630351657113,0.0003113749247690697,0.004408374284840512,4.819425366666456,0.17528083987088963,4.826453299989225
zcat12,nsgaii,21,0.9860297102586264,0.011685487232900693,0.9885826072449655,0.014676950677017752,0.04273216161066553,0.005426515201638107,1.3759748095277853,0.08171895098142688,1.3650450000131968
zcat13,gces,21,1.013433890843579,0.015816488417323863,1.0170001394386965,0.014191474239032253,0.05062272956248826,0.003163864953149606,5.086777980946603,0.2976053371839569,5.0027570000092965
zcat13,nsgaii,21,1.0152654415196516,0.0005126699534672551,1.0152556428356898,0.004109587957947161,0.00024246595529499405,0.004107823195045211,1.3418536142895132,0.05944315959942845,1.3453498000162654
zcat14,gces,21,0.979570762824247,0.0009811829689878784,0.9795926458602124,0.0064316138219095926,0.0008183034599980793,0.006213838650895977,5.047883004758097,0.20952530446513165,5.038356600009138
zcat14,nsgaii,21,0.9749394868549996,0.0013087320459770325,0.9748528116765172,0.0075490682989626,0.00036966283792382314,0.00753059680276844,1.2276904857149238,0.04648548082021253,1.2199545000039507
zcat15,gces,21,0.9905293155415917,0.0006290232922616485,0.9905930513747252,0.004436753986398157,0.0003062863676029302,0.004402466999250426,4.564511142860976,0.122780262344664,4.546286099997815
zcat15,nsgaii,21,0.9860302364721608,0.011686393772419403,0.9885834983801807,0.014522599662275341,0.04200645061154278,0.0054256526206814095,1.2815617285738146,0.08667765836126243,1.2968530000071041
zcat16,gces,21,0.9899762228218163,0.0005316467076867059,0.9900475644264505,0.0038480334549166415,0.0002732024156567373,0.003795777002067248,4.015683114281966,0.143993156782896,3.9980479999794625
zcat16,nsgaii,21,0.9864258455111984,0.0007997728445140937,0.9865350355883362,0.0050475429865200665,0.00032738938492546437,0.0049472381421012315,1.2354372809516332,0.06551517655387681,1.2438271999999415
zcat17,gces,21,0.9951603865557036,0.0002769950989180874,0.9951901902914898,0.004056610898411173,0.0003264471689085623,0.004046118000083124,4.999160828573319,0.1963748805184682,5.024178099993151
zcat17,nsgaii,21,0.9941082996735857,0.00037583376857279314,0.9940973841162464,0.004409139419805731,0.00028058240491808493,0.004389771111052184,1.2675363999982696,0.05323498943876256,1.2766981000022497
zcat18,gces,21,0.9838028095348049,0.02316357983303521,0.9911187702494375,0.03546762531887562,0.09930323032447706,0.004109058668283681,4.973480676188566,0.14503155237649865,4.929455999983475
zcat18,nsgaii,21,0.9821221850595743,0.02204155686226518,0.9889163121719887,0.03559968459362028,0.0975074782348094,0.004744141269697395,1.3032834904761763,0.08034680747160859,1.3146628999966197
zcat19,gces,21,0.9861374443950326,0.000592985167460066,0.9860676617375723,0.0059359089319688365,0.0002697964007219161,0.005958312064061541,4.532374247616168,0.1931018752266601,4.564231099997414
