host,problem,variant,phase,n_steps,mean_reward,mean_overhead_ms,mean_family_switches,mean_regime_switches,mean_intent_switches,family_share_sbx_like,family_share_de_like,regime_share_repair,regime_share_expand,regime_share_refine,intent_share_exploratory,intent_share_balanced,intent_share_local_refine,intent_share_mutation_heavy,intent_share_feasibility_biased
moead,dtlz2,adaptive_flat_operator,early,2270,0.32363883389094633,0.2582251535839348,33.1,0.0,0.0,0.16299559471365638,0.8370044052863436,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
moead,dtlz2,adaptive_flat_operator,late,2660,0.09025100616828628,0.2892734203662695,25.3,0.0,0.0,0.07593984962406015,0.9240601503759398,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
moead,dtlz2,adaptive_flat_operator,mid,2670,0.14808137402304328,0.2516226219501667,25.4,0.0,0.0,0.09063670411985018,0.9093632958801499,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
moead,dtlz2,adaptive_flat_parameter,early,2270,0.3452810016914666,0.27277167355190424,0.0,0.0,80.0,1.0,0.0,0.0,1.0,0.0,0.520704845814978,0.06343612334801763,0.06651982378854626,0.29515418502202645,0.05418502202643172
moead,dtlz2,adaptive_flat_parameter,late,2660,0.1551841934186695,0.26067327034022464,0.0,0.0,102.5,1.0,0.0,0.0,1.0,0.0,0.5458646616541354,0.04097744360902256,0.03609022556390978,0.34661654135338343,0.03045112781954887
moead,dtlz2,adaptive_flat_parameter,mid,2670,0.2150404832235803,0.2587986131606812,0.0,0.0,89.3,1.0,0.0,0.0,1.0,0.0,0.46741573033707867,0.07790262172284644,0.05131086142322097,0.3700374531835206,0.03333333333333333
moead,dtlz2,adaptive_hierarchical_joint,early,2270,0.3050069418177912,0.2726118937278339,30.8,0.0,106.0,0.12951541850220263,0.8704845814977974,0.0,1.0,0.0,0.30352422907488985,0.1299559471365639,0.1237885462555066,0.3383259911894273,0.10440528634361233
moead,dtlz2,adaptive_hierarchical_joint,late,2660,0.08069811523102798,0.26651060193798093,21.3,0.0,142.6,0.06315789473684211,0.9368421052631579,0.0,1.0,0.0,0.45112781954887216,0.061654135338345864,0.07142857142857142,0.36278195488721804,0.05300751879699248
moead,dtlz2,adaptive_hierarchical_joint,mid,2670,0.13184517969679957,0.26046026294025476,20.9,0.0,106.7,0.0651685393258427,0.9348314606741573,0.0,1.0,0.0,0.3734082397003745,0.08651685393258426,0.08801498127340825,0.3846441947565543,0.06741573033707865
moead,zdt1,adaptive_flat_operator,early,2270,0.3532352743884586,0.27952246641789436,30.0,0.0,0.0,0.1682819383259912,0.8317180616740089,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
moead,zdt1,adaptive_flat_operator,late,2660,0.33059173278141935,0.2689990211064626,5.0,0.4,0.0,0.02406015037593985,0.9759398496240601,0.0,0.9977443609022556,0.002255639097744361,0.0,1.0,0.0,0.0,0.0
moead,zdt1,adaptive_flat_operator,mid,2670,0.3344173743963168,0.2638174164237992,11.8,4.6,0.0,0.05955056179775281,0.9404494382022472,0.0,0.9737827715355806,0.026217228464419477,0.0,1.0,0.0,0.0,0.0
moead,zdt1,adaptive_flat_parameter,early,2270,0.3705232207980722,0.2907844951134257,0.0,0.0,70.8,1.0,0.0,0.0,1.0,0.0,0.547136563876652,0.07929515418502203,0.08854625550660793,0.22202643171806166,0.06299559471365639
moead,zdt1,adaptive_flat_parameter,late,2660,0.2849376915183488,0.2740365779552525,0.0,0.0,63.0,1.0,0.0,0.0,1.0,0.0,0.5902255639097744,0.04360902255639098,0.02556390977443609,0.3154135338345865,0.02518796992481203
moead,zdt1,adaptive_flat_parameter,mid,2670,0.3330819503329832,0.2865480528952561,0.0,0.2,49.9,1.0,0.0,0.0,0.998876404494382,0.0011235955056179776,0.500374531835206,0.042322097378277156,0.052434456928838954,0.37640449438202245,0.02846441947565543
moead,zdt1,adaptive_hierarchical_joint,early,2270,0.3507910929233675,0.3017869146667946,29.1,0.0,97.9,0.1277533039647577,0.8722466960352423,0.0,1.0,0.0,0.30572687224669604,0.10176211453744494,0.09251101321585903,0.4233480176211454,0.07665198237885462
moead,zdt1,adaptive_hierarchical_joint,late,2660,0.2723126943890839,0.2768580824105223,6.6,3.2,55.8,0.036466165413533834,0.9635338345864661,0.0,0.9823308270676692,0.017669172932330827,0.6409774436090225,0.042105263157894736,0.04285714285714286,0.2571428571428571,0.016917293233082706
moead,zdt1,adaptive_hierarchical_joint,mid,2670,0.30733788570729664,0.30193438161380787,13.9,6.0,51.9,0.0696629213483146,0.9303370786516854,0.0,0.9632958801498127,0.03670411985018727,0.4730337078651685,0.06404494382022471,0.07378277153558052,0.347940074906367,0.04119850187265917
moead,zdt2,adaptive_flat_operator,early,2270,0.355477556989665,0.29706722504914723,28.9,0.0,0.0,0.13656387665198239,0.8634361233480177,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
moead,zdt2,adaptive_flat_operator,late,2660,0.32387891494870663,0.28911962460978585,5.2,0.0,0.0,0.02857142857142857,0.9714285714285714,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
moead,zdt2,adaptive_flat_operator,mid,2670,0.33033910752745416,0.2891596632116659,9.0,2.4,0.0,0.039700374531835204,0.9602996254681648,0.0,0.9868913857677902,0.013108614232209739,0.0,1.0,0.0,0.0,0.0
moead,zdt2,adaptive_flat_parameter,early,2270,0.37416930461038633,0.2942843612956318,0.0,0.0,57.0,1.0,0.0,0.0,1.0,0.0,0.66784140969163,0.04405286343612335,0.051541850220264314,0.20088105726872246,0.035682819383259914
moead,zdt2,adaptive_flat_parameter,late,2660,0.3182628173686712,0.29413041381228405,0.0,0.0,49.6,1.0,0.0,0.0,1.0,0.0,0.5349624060150376,0.020676691729323307,0.031578947368421054,0.3951127819548872,0.017669172932330827
moead,zdt2,adaptive_flat_parameter,mid,2670,0.3374444791988066,0.29450943789441375,0.0,0.0,63.0,1.0,0.0,0.0,1.0,0.0,0.3955056179775281,0.04082397003745318,0.052059925093632956,0.4651685393258427,0.04644194756554307
moead,zdt2,adaptive_hierarchical_joint,early,2270,0.34823233972321,0.292455946610182,27.2,0.0,95.8,0.126431718061674,0.873568281938326,0.0,1.0,0.0,0.42070484581497797,0.08854625550660793,0.0801762114537445,0.3277533039647577,0.0828193832599119
moead,zdt2,adaptive_hierarchical_joint,late,2660,0.27833167579122997,0.3070784596589751,9.7,0.3,59.5,0.046992481203007516,0.9530075187969925,0.0,0.9988721804511278,0.0011278195488721805,0.6161654135338346,0.02819548872180451,0.042105263157894736,0.29210526315789476,0.02142857142857143
moead,zdt2,adaptive_hierarchical_joint,mid,2670,0.30512330298636986,0.2935065919697313,14.1,3.1,65.5,0.07865168539325842,0.9213483146067416,0.0,0.9808988764044944,0.019101123595505618,0.5123595505617977,0.03895131086142322,0.05655430711610487,0.3471910112359551,0.0449438202247191
moead,zdt3,adaptive_flat_operator,early,2270,0.33299324277958386,0.28534740104959533,33.7,0.0,0.0,0.1656387665198238,0.8343612334801762,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
moead,zdt3,adaptive_flat_operator,late,2660,0.257996570785059,0.3185949253734145,10.9,3.3,0.0,0.061654135338345864,0.9383458646616541,0.0,0.9781954887218045,0.02180451127819549,0.0,1.0,0.0,0.0,0.0
moead,zdt3,adaptive_flat_operator,mid,2670,0.2792620520316602,0.3110232569402858,16.3,5.5,0.0,0.08352059925093633,0.9164794007490636,0.0,0.9685393258426966,0.03146067415730337,0.0,1.0,0.0,0.0,0.0
moead,zdt3,adaptive_flat_parameter,early,2270,0.36344645940473935,0.29053189376336297,0.0,0.0,60.8,1.0,0.0,0.0,1.0,0.0,0.581057268722467,0.05947136563876652,0.06872246696035242,0.24625550660792953,0.04449339207048458
moead,zdt3,adaptive_flat_parameter,late,2660,0.2632446338558577,0.31165518685019944,0.0,0.0,52.5,1.0,0.0,0.0,1.0,0.0,0.5642857142857143,0.033458646616541354,0.035338345864661655,0.3522556390977444,0.014661654135338346
moead,zdt3,adaptive_flat_parameter,mid,2670,0.29625785483669603,0.28590692882164476,0.0,0.0,65.0,1.0,0.0,0.0,1.0,0.0,0.43595505617977526,0.05955056179775281,0.08389513108614233,0.3767790262172285,0.043820224719101124
moead,zdt3,adaptive_hierarchical_joint,early,2270,0.3330082557612641,0.3010248014034646,34.8,0.0,99.9,0.22026431718061673,0.7797356828193832,0.0,1.0,0.0,0.2938325991189427,0.13083700440528634,0.08986784140969163,0.4026431718061674,0.0828193832599119
moead,zdt3,adaptive_hierarchical_joint,late,2660,0.2349903537378946,0.284272330354451,15.0,2.0,58.4,0.07857142857142857,0.9214285714285714,0.0,0.9906015037593985,0.009398496240601503,0.6278195488721805,0.029699248120300753,0.04736842105263158,0.2556390977443609,0.039473684210526314
moead,zdt3,adaptive_hierarchical_joint,mid,2670,0.2558397768494525,0.29009955029146334,14.1,5.2,61.2,0.0700374531835206,0.9299625468164794,0.0,0.9719101123595506,0.028089887640449437,0.48239700374531835,0.04456928838951311,0.07790262172284644,0.35318352059925096,0.041947565543071164
nsgaii,dtlz2,adaptive_flat_operator,early,60,0.20025821659446266,0.2501300031629701,3.9,0.0,0.0,0.36666666666666664,0.6333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
nsgaii,dtlz2,adaptive_flat_operator,late,60,0.13054681974597507,0.25609000003896654,1.8,0.0,0.0,0.2,0.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
nsgaii,dtlz2,adaptive_flat_operator,mid,70,0.13751786973387387,0.2657714150180774,2.3,0.0,0.0,0.17142857142857143,0.8285714285714286,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
nsgaii,dtlz2,adaptive_flat_parameter,early,60,0.2284405682260803,0.2415149938315153,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.3,0.18333333333333332,0.18333333333333332,0.16666666666666666,0.16666666666666666
nsgaii,dtlz2,adaptive_flat_parameter,late,60,0.15962220110592024,0.2646833328374972,0.0,0.1,4.0,1.0,0.0,0.0,0.75,0.25,0.4166666666666667,0.16666666666666666,0.18333333333333332,0.1,0.13333333333333333
nsgaii,dtlz2,adaptive_flat_parameter,mid,70,0.1784565001754272,0.26257142391321914,0.0,1.5,4.2,1.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.11428571428571428,0.14285714285714285,0.5142857142857142,0.14285714285714285,0.08571428571428572
nsgaii,dtlz2,adaptive_hierarchical_joint,early,60,0.2001393928129326,0.29191999540974695,3.9,0.0,3.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.3333333333333333,0.16666666666666666,0.31666666666666665,0.18333333333333332,0.0
nsgaii,dtlz2,adaptive_hierarchical_joint,late,60,0.11556509834857707,0.2568316607115169,1.9,0.0,4.6,0.16666666666666666,0.8333333333333334,0.0,1.0,0.0,0.31666666666666665,0.11666666666666667,0.1,0.23333333333333334,0.23333333333333334
nsgaii,dtlz2,adaptive_hierarchical_joint,mid,70,0.12588474786733705,0.25791285858888713,2.7,0.0,4.9,0.22857142857142856,0.7714285714285715,0.0,1.0,0.0,0.2714285714285714,0.2,0.08571428571428572,0.2714285714285714,0.17142857142857143
nsgaii,zdt1,adaptive_flat_operator,early,60,0.23960749472813922,0.323618339219441,4.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
nsgaii,zdt1,adaptive_flat_operator,late,60,0.21160268514649794,0.2732949952284495,2.2,0.0,0.0,0.23333333333333334,0.7666666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
nsgaii,zdt1,adaptive_flat_operator,mid,70,0.21864782953608766,0.2686071425809392,3.4,1.0,0.0,0.3142857142857143,0.6857142857142857,0.0,0.8571428571428571,0.14285714285714285,0.0,1.0,0.0,0.0,0.0
nsgaii,zdt1,adaptive_flat_parameter,early,60,0.24614524316100764,0.2668100059963763,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
nsgaii,zdt1,adaptive_flat_parameter,late,60,0.2275964436470291,0.3022366688431551,0.0,0.0,4.5,1.0,0.0,0.0,1.0,0.0,0.36666666666666664,0.16666666666666666,0.15,0.15,0.16666666666666666
nsgaii,zdt1,adaptive_flat_parameter,mid,70,0.2385079189585919,0.2932343033275434,0.0,1.2,5.0,1.0,0.0,0.0,0.9,0.1,0.34285714285714286,0.15714285714285714,0.21428571428571427,0.14285714285714285,0.14285714285714285
nsgaii,zdt1,adaptive_hierarchical_joint,early,60,0.23977516162219492,0.2979799930471927,3.9,0.0,3.2,0.36666666666666664,0.6333333333333333,0.0,1.0,0.0,0.3333333333333333,0.2,0.3333333333333333,0.13333333333333333,0.0
