host,problem,left_variant,right_variant,hv_gap,igd_plus_gap,runtime_ratio,reward_gap,outcome
moead,dtlz2,adaptive_flat_operator,adaptive_flat_parameter,0.034188294446341416,0.06814650573608633,1.0132254449134348,-0.05271458165245185,win
moead,dtlz2,adaptive_flat_operator,adaptive_hierarchical_joint,0.058134909216921216,-0.019239578903322563,1.00295837000032,0.014612595230294734,win
moead,dtlz2,adaptive_flat_parameter,adaptive_flat_operator,-0.034188294446341416,-0.06814650573608633,0.986947184380506,0.05271458165245185,loss
moead,dtlz2,adaptive_flat_parameter,adaptive_hierarchical_joint,0.0239466147705798,-0.08738608463940889,0.9898669393226777,0.06732717688274659,win
moead,dtlz2,adaptive_hierarchical_joint,adaptive_flat_operator,-0.058134909216921216,0.019239578903322563,0.9970503561375941,-0.014612595230294734,loss
moead,dtlz2,adaptive_hierarchical_joint,adaptive_flat_parameter,-0.0239466147705798,0.08738608463940889,1.0102367906986125,-0.06732717688274659,loss
moead,zdt1,adaptive_flat_operator,adaptive_flat_parameter,-0.009686307412727135,0.08970234966255464,0.9861114655235506,0.011284433376190228,loss
moead,zdt1,adaptive_flat_operator,adaptive_hierarchical_joint,-0.22260221325689145,0.13663345590549997,0.9528774295519872,0.030641153795928022,loss
moead,zdt1,adaptive_flat_parameter,adaptive_flat_operator,0.009686307412727135,-0.08970234966255464,1.0140841425761902,-0.011284433376190228,win
moead,zdt1,adaptive_flat_parameter,adaptive_hierarchical_joint,-0.2129159058441643,0.04693110624294533,0.9662978911274309,0.019356720419737794,loss
moead,zdt1,adaptive_hierarchical_joint,adaptive_flat_operator,0.22260221325689145,-0.13663345590549997,1.049452919112764,-0.030641153795928022,win
moead,zdt1,adaptive_hierarchical_joint,adaptive_flat_parameter,0.2129159058441643,-0.04693110624294533,1.0348775560642558,-0.019356720419737794,win
moead,zdt2,adaptive_flat_operator,adaptive_flat_parameter,-0.15799012514364863,0.21369485468127936,1.0027333211569553,-0.006113524986665064,loss
moead,zdt2,adaptive_flat_operator,adaptive_hierarchical_joint,-0.3820286142515359,0.36722799944396967,0.9749116107511464,0.026964275984004693,loss
moead,zdt2,adaptive_flat_parameter,adaptive_flat_operator,0.15799012514364863,-0.21369485468127936,0.9972741295224918,0.006113524986665064,win
moead,zdt2,adaptive_flat_parameter,adaptive_hierarchical_joint,-0.22403848910788726,0.1535331447626903,0.97225412797322,0.03307780097066976,loss
moead,zdt2,adaptive_hierarchical_joint,adaptive_flat_operator,0.3820286142515359,-0.36722799944396967,1.0257340142144,-0.026964275984004693,win
moead,zdt2,adaptive_hierarchical_joint,adaptive_flat_parameter,0.22403848910788726,-0.1535331447626903,1.028537674696861,-0.03307780097066976,win
moead,zdt3,adaptive_flat_operator,adaptive_flat_parameter,0.26307907473873193,0.03604024413866358,1.043611129423565,-0.016903610920641243,win
moead,zdt3,adaptive_flat_operator,adaptive_hierarchical_joint,-0.15884107306132655,0.12388289679033604,1.0279066097614737,0.016276306922833883,loss
moead,zdt3,adaptive_flat_parameter,adaptive_flat_operator,-0.26307907473873193,-0.03604024413866358,0.9582113220202495,0.016903610920641243,loss
moead,zdt3,adaptive_flat_parameter,adaptive_hierarchical_joint,-0.4219201478000585,0.08784265265167246,0.9849517514528944,0.033179917843475126,loss
moead,zdt3,adaptive_hierarchical_joint,adaptive_flat_operator,0.15884107306132655,-0.12388289679033604,0.9728510260597026,-0.016276306922833883,win
moead,zdt3,adaptive_hierarchical_joint,adaptive_flat_parameter,0.4219201478000585,-0.08784265265167246,1.0152781580670405,-0.033179917843475126,win
nsgaii,dtlz2,adaptive_flat_operator,adaptive_flat_parameter,0.0706117057767468,-7.241194352389235e-05,0.9841602352496067,-0.03316404268632897,win
nsgaii,dtlz2,adaptive_flat_operator,adaptive_hierarchical_joint,0.05748816106740584,-0.01607637585564295,0.9707712160114501,0.009054480217859234,win
nsgaii,dtlz2,adaptive_flat_parameter,adaptive_flat_operator,-0.0706117057767468,7.241194352389235e-05,1.0160947010284114,0.03316404268632897,loss
nsgaii,dtlz2,adaptive_flat_parameter,adaptive_hierarchical_joint,-0.013123544709340962,-0.016003963912119057,0.9863954885001417,0.042218522904188205,loss
nsgaii,dtlz2,adaptive_hierarchical_joint,adaptive_flat_operator,-0.05748816106740584,0.01607637585564295,1.030108828430905,-0.009054480217859234,loss
nsgaii,dtlz2,adaptive_hierarchical_joint,adaptive_flat_parameter,0.013123544709340962,0.016003963912119057,1.0137921469212563,-0.042218522904188205,win
nsgaii,zdt1,adaptive_flat_operator,adaptive_flat_parameter,0.11961037896744342,-0.08251914900814772,0.9705730711406724,-0.014432087766206692,win
nsgaii,zdt1,adaptive_flat_operator,adaptive_hierarchical_joint,-0.05505627444110539,0.04181586699474721,1.000638868666036,0.004651110226816801,loss
nsgaii,zdt1,adaptive_flat_parameter,adaptive_flat_operator,-0.11961037896744342,0.08251914900814772,1.0303191276724208,0.014432087766206692,loss
nsgaii,zdt1,adaptive_flat_parameter,adaptive_hierarchical_joint,-0.1746666534085488,0.12433501600289493,1.0309773662791084,0.019083197993023493,loss
nsgaii,zdt1,adaptive_hierarchical_joint,adaptive_flat_operator,0.05505627444110539,-0.04181586699474721,0.9993615392265467,-0.004651110226816801,win
nsgaii,zdt1,adaptive_hierarchical_joint,adaptive_flat_parameter,0.1746666534085488,-0.12433501600289493,0.9699533983069789,-0.019083197993023493,win
nsgaii,zdt2,adaptive_flat_operator,adaptive_flat_parameter,0.3415746230343042,-0.3588902712077173,1.0451204617692094,-0.007072430038851746,win
nsgaii,zdt2,adaptive_flat_operator,adaptive_hierarchical_joint,-0.09877061462756975,0.05480045125749733,0.9498165531618423,0.00365259589371425,loss
nsgaii,zdt2,adaptive_flat_parameter,adaptive_flat_operator,-0.3415746230343042,0.3588902712077173,0.9568275013075256,0.007072430038851746,loss
nsgaii,zdt2,adaptive_flat_parameter,adaptive_hierarchical_joint,-0.44034523766187395,0.41369072246521466,0.9088105992623722,0.010725025932565996,loss
nsgaii,zdt2,adaptive_hierarchical_joint,adaptive_flat_operator,0.09877061462756975,-0.05480045125749733,1.0528348834004861,-0.00365259589371425,win
nsgaii,zdt2,adaptive_hierarchical_joint,adaptive_flat_parameter,0.44034523766187395,-0.41369072246521466,1.1003392795062479,-0.010725025932565996,win
nsgaii,zdt3,adaptive_flat_operator,adaptive_flat_parameter,0.14163692664718575,-0.06430389415533327,1.0564106966970763,-0.020252515404402177,win
nsgaii,zdt3,adaptive_flat_operator,adaptive_hierarchical_joint,-0.07882705488181152,0.03403244639974384,0.9461650312131308,0.006405340194656162,loss
nsgaii,zdt3,adaptive_flat_parameter,adaptive_flat_operator,-0.14163692664718575,0.06430389415533327,0.9466015472264269,0.020252515404402177,loss
nsgaii,zdt3,adaptive_flat_parameter,adaptive_hierarchical_joint,-0.22046398152899727,0.09833634055507712,0.89564128247789,0.02665785559905834,loss
nsgaii,zdt3,adaptive_hierarchical_joint,adaptive_flat_operator,0.07882705488181152,-0.03403244639974384,1.0568980748716157,-0.006405340194656162,win
nsgaii,zdt3,adaptive_hierarchical_joint,adaptive_flat_parameter,0.22046398152899727,-0.09833634055507712,1.1165184316129222,-0.02665785559905834,win
