run_id,host,variant,variant_group,problem,seed,engine,population_size,max_evaluations,evaluations,time_ms,n_solutions,online_control_enabled,policy,credit_model,average_reward,average_bounded_reward,average_overhead_ms,family_switches,intent_switches,regime_switches,family_concentration,intent_concentration,regime_concentration,trace_steps,policy_state_available,family_share_sbx_like,family_share_de_like,regime_share_repair,regime_share_expand,regime_share_refine,intent_share_exploratory,intent_share_balanced,intent_share_local_refine,intent_share_mutation_heavy,intent_share_feasibility_biased,hv,hv_ref_point,igd_plus,policy_state_file
nsgaii__zdt1__adaptive_flat_operator__seed2,nsgaii,adaptive_flat_operator,adaptive,zdt1,2,numpy,40,800,800,35.00429994892329,17,True,adaptive_flat_operator,simple_improvement,0.2322581080261017,0.2322581080261017,0.26317894777381107,13,0,0,0.5346260387811634,1.0,1.0,19,True,0.3684210526315789,0.631578947368421,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.162659950378759,"[1.1, 4.319756293365375]",0.13200940979523998,policy_states\nsgaii__zdt1__adaptive_flat_operator__seed2.json
nsgaii__zdt1__adaptive_flat_parameter__seed2,nsgaii,adaptive_flat_parameter,adaptive,zdt1,2,numpy,40,800,800,48.32669999450445,20,True,adaptive_flat_parameter,simple_improvement,0.23739309800811603,0.23739309800811603,0.35585790848065363,0,17,0,1.0,0.21883656509695287,1.0,19,True,1.0,0.0,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,3.8436515806333036,"[1.1, 4.319756293365375]",0.3621527432376042,policy_states\nsgaii__zdt1__adaptive_flat_parameter__seed2.json
nsgaii__zdt1__adaptive_hierarchical_joint__seed2,nsgaii,adaptive_hierarchical_joint,adaptive,zdt1,2,numpy,40,800,800,43.33300003781915,22,True,adaptive_hierarchical_joint,simple_improvement,0.2276730760653293,0.2276730760653293,0.3066894684084936,11,15,0,0.5678670360110804,0.21883656509695287,1.0,19,True,0.3157894736842105,0.6842105263157895,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.21052631578947367,4.1186904132715,"[1.1, 4.319756293365375]",0.16140038994953,policy_states\nsgaii__zdt1__adaptive_hierarchical_joint__seed2.json
nsgaii__zdt1__fixed_sbx__seed3,nsgaii,fixed_sbx,fixed,zdt1,3,numpy,40,800,800,22.63600006699562,14,False,,,,,,0,0,0,1.0,,,0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9490538170453746,"[1.1, 4.319756293365375]",0.2655423885087042,
nsgaii__zdt1__fixed_de__seed3,nsgaii,fixed_de,fixed,zdt1,3,numpy,40,800,800,23.060700041241944,25,False,,,,,,0,0,0,1.0,,,0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2183172592356484,"[1.1, 4.319756293365375]",0.7441915678878745,
nsgaii__zdt1__adaptive_flat_operator__seed3,nsgaii,adaptive_flat_operator,adaptive,zdt1,3,numpy,40,800,800,36.0918000806123,13,True,adaptive_flat_operator,simple_improvement,0.2188600490196179,0.2188600490196179,0.27012105688060584,10,0,0,0.6121883656509695,1.0,1.0,19,True,0.2631578947368421,0.7368421052631579,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.8300225184716696,"[1.1, 4.319756293365375]",0.33076579331394307,policy_states\nsgaii__zdt1__adaptive_flat_operator__seed3.json
nsgaii__zdt1__adaptive_flat_parameter__seed3,nsgaii,adaptive_flat_parameter,adaptive,zdt1,3,numpy,40,800,800,41.71510005835444,20,True,adaptive_flat_parameter,simple_improvement,0.23661793012024046,0.23661793012024046,0.2962894749974734,0,15,0,1.0,0.23545706371191133,1.0,19,True,1.0,0.0,0.0,1.0,0.0,0.3684210526315789,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,3.933762247683837,"[1.1, 4.319756293365375]",0.2900516981466897,policy_states\nsgaii__zdt1__adaptive_flat_parameter__seed3.json
nsgaii__zdt1__adaptive_hierarchical_joint__seed3,nsgaii,adaptive_hierarchical_joint,adaptive,zdt1,3,numpy,40,800,800,37.16049995273352,16,True,adaptive_hierarchical_joint,simple_improvement,0.2255719900338057,0.2255719900338057,0.35565262537841735,10,13,2,0.6121883656509695,0.23545706371191133,0.9002770083102491,19,True,0.2631578947368421,0.7368421052631579,0.0,0.9473684210526315,0.05263157894736842,0.3684210526315789,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,3.959805732393261,"[1.1, 4.319756293365375]",0.25071117390093195,policy_states\nsgaii__zdt1__adaptive_hierarchical_joint__seed3.json
nsgaii__zdt1__fixed_sbx__seed4,nsgaii,fixed_sbx,fixed,zdt1,4,numpy,40,800,800,29.726500040851533,25,False,,,,,,0,0,0,1.0,,,0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.886115809257277,"[1.1, 4.319756293365375]",0.3050726178922515,
nsgaii__zdt1__fixed_de__seed4,nsgaii,fixed_de,fixed,zdt1,4,numpy,40,800,800,20.889699924737215,21,False,,,,,,0,0,0,1.0,,,0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.793482128647451,"[1.1, 4.319756293365375]",1.0311040674801124,
nsgaii__zdt1__adaptive_flat_operator__seed4,nsgaii,adaptive_flat_operator,adaptive,zdt1,4,numpy,40,800,800,32.5035999994725,13,True,adaptive_flat_operator,simple_improvement,0.21483129493893646,0.21483129493893646,0.2613263265965016,11,0,0,0.5678670360110804,1.0,1.0,19,True,0.3157894736842105,0.6842105263157895,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.7751030542461277,"[1.1, 4.319756293365375]",0.3528487154041555,policy_states\nsgaii__zdt1__adaptive_flat_operator__seed4.json
nsgaii__zdt1__adaptive_flat_parameter__seed4,nsgaii,adaptive_flat_parameter,adaptive,zdt1,4,numpy,40,800,800,33.84879999794066,16,True,adaptive_flat_parameter,simple_improvement,0.2430266808873208,0.2430266808873208,0.23915263897690334,0,16,2,1.0,0.21883656509695287,0.8116343490304709,19,True,1.0,0.0,0.0,0.8947368421052632,0.10526315789473684,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,3.737066690600058,"[1.1, 4.319756293365375]",0.4298878423595922,policy_states\nsgaii__zdt1__adaptive_flat_parameter__seed4.json
nsgaii__zdt1__adaptive_hierarchical_joint__seed4,nsgaii,adaptive_hierarchical_joint,adaptive,zdt1,4,numpy,40,800,800,38.38709997944534,24,True,adaptive_hierarchical_joint,simple_improvement,0.21422814809458915,0.21422814809458915,0.287331567194901,6,14,2,0.5678670360110804,0.21883656509695287,0.7340720221606647,19,True,0.3157894736842105,0.6842105263157895,0.0,0.8421052631578947,0.15789473684210525,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,3.864258789368999,"[1.1, 4.319756293365375]",0.30901874077639035,policy_states\nsgaii__zdt1__adaptive_hierarchical_joint__seed4.json
nsgaii__zdt1__fixed_sbx__seed5,nsgaii,fixed_sbx,fixed,zdt1,5,numpy,40,800,800,21.01090003270656,21,False,,,,,,0,0,0,1.0,,,0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6885027295778423,"[1.1, 4.319756293365375]",0.4193714986313894,
nsgaii__zdt1__fixed_de__seed5,nsgaii,fixed_de,fixed,zdt1,5,numpy,40,800,800,20.77800000552088,37,False,,,,,,0,0,0,1.0,,,0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.236648187184342,"[1.1, 4.319756293365375]",0.5029319654264172,
nsgaii__zdt1__adaptive_flat_operator__seed5,nsgaii,adaptive_flat_operator,adaptive,zdt1,5,numpy,40,800,800,44.17300003115088,18,True,adaptive_flat_operator,simple_improvement,0.2238755810710579,0.2238755810710579,0.3227579137800555,10,0,2,0.6121883656509695,1.0,0.9002770083102491,19,True,0.2631578947368421,0.7368421052631579,0.0,0.9473684210526315,0.05263157894736842,0.0,1.0,0.0,0.0,0.0,4.069946697596687,"[1.1, 4.319756293365375]",0.20582789314542063,policy_states\nsgaii__zdt1__adaptive_flat_operator__seed5.json
nsgaii__zdt1__adaptive_flat_parameter__seed5,nsgaii,adaptive_flat_parameter,adaptive,zdt1,5,numpy,40,800,800,39.946399978362024,21,True,adaptive_flat_parameter,simple_improvement,0.22468654878250158,0.22468654878250158,0.29093683942368154,0,15,0,1.0,0.23545706371191133,1.0,19,True,1.0,0.0,0.0,1.0,0.0,0.3684210526315789,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,3.808289371332732,"[1.1, 4.319756293365375]",0.34039486452498,policy_states\nsgaii__zdt1__adaptive_flat_parameter__seed5.json
nsgaii__zdt1__adaptive_hierarchical_joint__seed5,nsgaii,adaptive_hierarchical_joint,adaptive,zdt1,5,numpy,40,800,800,37.27319999597967,15,True,adaptive_hierarchical_joint,simple_improvement,0.20748363285863558,0.20748363285863558,0.3007736706518029,7,13,2,0.5678670360110804,0.23545706371191133,0.7340720221606647,19,True,0.3157894736842105,0.6842105263157895,0.0,0.8421052631578947,0.15789473684210525,0.3684210526315789,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,3.8120079461967578,"[1.1, 4.319756293365375]",0.30922480009040954,policy_states\nsgaii__zdt1__adaptive_hierarchical_joint__seed5.json
nsgaii__zdt1__fixed_sbx__seed6,nsgaii,fixed_sbx,fixed,zdt1,6,numpy,40,800,800,22.088499972596765,22,False,,,,,,0,0,0,1.0,,,0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8630314683441647,"[1.1, 4.319756293365375]",0.3159689883867639,
nsgaii__zdt1__fixed_de__seed6,nsgaii,fixed_de,fixed,zdt1,6,numpy,40,800,800,18.977300031110644,40,False,,,,,,0,0,0,1.0,,,0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4421517416167915,"[1.1, 4.319756293365375]",1.3279883243105544,
nsgaii__zdt1__adaptive_flat_operator__seed6,nsgaii,adaptive_flat_operator,adaptive,zdt1,6,numpy,40,800,800,38.4042999939993,19,True,adaptive_flat_operator,simple_improvement,0.2254221513275076,0.2254221513275076,0.2715842075351822,10,0,2,0.6121883656509695,1.0,0.9002770083102491,19,True,0.2631578947368421,0.7368421052631579,0.0,0.9473684210526315,0.05263157894736842,0.0,1.0,0.0,0.0,0.0,3.6984531191840695,"[1.1, 4.319756293365375]",0.4032555050606581,policy_states\nsgaii__zdt1__adaptive_flat_operator__seed6.json
nsgaii__zdt1__adaptive_flat_parameter__seed6,nsgaii,adaptive_flat_parameter,adaptive,zdt1,6,numpy,40,800,800,38.19829993881285,15,True,adaptive_flat_parameter,simple_improvement,0.2374639234254375,0.2374639234254375,0.2800421299118745,0,16,2,1.0,0.21883656509695287,0.9002770083102491,19,True,1.0,0.0,0.0,0.9473684210526315,0.05263157894736842,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,3.815349600521459,"[1.1, 4.319756293365375]",0.3543502971243041,policy_states\nsgaii__zdt1__adaptive_flat_parameter__seed6.json
nsgaii__zdt1__adaptive_hierarchical_joint__seed6,nsgaii,adaptive_hierarchical_joint,adaptive,zdt1,6,numpy,40,800,800,36.516099935397506,17,True,adaptive_hierarchical_joint,simple_improvement,0.21933361571863974,0.21933361571863974,0.26988947004275887,8,12,2,0.5678670360110804,0.23545706371191133,0.8116343490304709,19,True,0.3157894736842105,0.6842105263157895,0.0,0.8947368421052632,0.10526315789473684,0.3684210526315789,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,3.885964393930989,"[1.1, 4.319756293365375]",0.2694753383510062,policy_states\nsgaii__zdt1__adaptive_hierarchical_joint__seed6.json
nsgaii__zdt1__fixed_sbx__seed7,nsgaii,fixed_sbx,fixed,zdt1,7,numpy,40,800,800,22.529100067913532,25,False,,,,,,0,0,0,1.0,,,0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6788552375790537,"[1.1, 4.319756293365375]",0.43402038862982134,
nsgaii__zdt1__fixed_de__seed7,nsgaii,fixed_de,fixed,zdt1,7,numpy,40,800,800,19.96329997200519,35,False,,,,,,0,0,0,1.0,,,0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4244710585781393,"[1.1, 4.319756293365375]",1.227157170708464,
