Problem	nsgaii_archive_hybrid	nsgaii_archive_passive
zdt1	0.001590667363124395	0.001672384362233105
zdt2	0.03957505159609162	0.06837614726465771
zdt3	0.026038032796795833	0.0024568466167455365
zdt4	0.019117309953697446	0.024118816494374577
zdt6	0.0023561594712693044	0.003511678077324305
