problem,algorithm,algorithm_label,runs,hv_mean,hv_std,hv_median,igd_plus_mean,igd_plus_std,igd_plus_median,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_median
zcat1,nsgaii,nsgaii,21,0.9817278334092562,0.0007162560901753503,0.9817307523943808,0.007825542163304186,0.0003104723758130609,0.007839205899389287,2.8882175904761986,0.1924878859354697,2.8555386000007275
zcat1,nsga2_gapfill,nsga2-gapfill,21,0.9788222639384853,0.004499743047337945,0.9802827831394655,0.009118881314525346,0.002036613726384186,0.008284194556418645,19.223908509523728,0.39785991850199853,19.224349400000392
zcat1,gces_nocomp,gces-noComp,21,0.9861347293897103,0.0007827098995767307,0.9862918347156521,0.006019390320063749,0.0003459370402792492,0.005978741317947302,11.679632733333381,0.1405107107102158,11.664392399999997
zcat1,gces_nogeo,gces-noGeo,21,0.9834461536438963,0.0008680460330575076,0.9835636746011842,0.00746110850905981,0.0005585249819709181,0.007352343327468205,6.3140435952380445,0.17000650754740712,6.338452900000448
zcat1,gces,gces,21,0.9834086942103346,0.001004172527181995,0.9834600502111897,0.007335215721646729,0.0004758137875987868,0.0072207997782721385,7.869035871428596,0.21316219741964898,7.843792899999244
zcat10,nsgaii,nsgaii,21,0.9464530800048602,0.002844809212275811,0.9460069677075087,0.0035046055096680235,0.00018324491319263723,0.0034967039304578387,2.5935142380952,0.036362061569953065,2.600339399999939
zcat10,nsga2_gapfill,nsga2-gapfill,21,0.88688039214874,0.07129037795867758,0.8991035710780116,0.013298961732550886,0.009722009017568414,0.009476240116900257,14.49702664761883,0.5094618286494744,14.519815699999526
zcat10,gces_nocomp,gces-noComp,21,0.9498826174757863,0.0030236588075499226,0.95027962580968,0.003332633744587792,0.00021842907778492435,0.003385291947991477,9.370828952381132,0.3144163983406527,9.40580940000109
zcat10,gces_nogeo,gces-noGeo,21,0.9555449017420206,0.0031485746026274266,0.9560721766902548,0.0036170420310730274,0.0007942578954503685,0.003440514955902749,5.776785519047691,0.28430444086077505,5.8164772000000085
zcat10,gces,gces,21,0.9555418292018765,0.002478016124376751,0.9554138922440139,0.0037230398286117903,0.0012227468156231578,0.0033918634644695056,7.016388185714233,0.23915668338971635,6.970300400000269
zcat11,nsgaii,nsgaii,21,0.9886834601809943,0.0005967916460592998,0.9887252165981997,0.0053418460467308405,0.00028181870656177705,0.005266336130421329,2.5806193428570188,0.025080322466392097,2.574655899999925
zcat11,nsga2_gapfill,nsga2-gapfill,21,0.9825467126762301,0.0058350941651478284,0.9843822124282982,0.007564447980545251,0.002408919893795178,0.006749769614443675,16.358946757143105,0.3073098543250767,16.38721269999951
zcat11,gces_nocomp,gces-noComp,21,0.9917246128948611,0.0004629673958616703,0.9917333166412403,0.003931346048424869,0.00019784853960763674,0.003917358336501958,10.452329719047633,0.1480079224612708,10.453177499999583
zcat11,gces_nogeo,gces-noGeo,21,0.9906336762850162,0.0005085017690908201,0.9906337349674758,0.004335679447546295,0.00023361108796895343,0.004330787639735565,4.91464946666669,0.10123789820969946,4.9207091000007495
zcat11,gces,gces,21,0.9907404083811172,0.0005803407601676122,0.9907278016383191,0.004279807705024112,0.00019575091686454326,0.004304082664368474,5.760853438095312,0.09284815477854995,5.741084999999657
zcat12,nsgaii,nsgaii,21,0.9883459546172098,0.0005206352204986949,0.9884279030613075,0.00547669065354034,0.0002636030188761541,0.005506940668152715,2.456865947619008,0.02237474079080191,2.456401299999925
zcat12,nsga2_gapfill,nsga2-gapfill,21,0.9535017205586187,0.006636881397865058,0.9537994260209437,0.024841314883756564,0.041020649706792284,0.01603441869769372,15.939366180952286,0.40564855158108915,15.96534199999951
zcat12,gces_nocomp,gces-noComp,21,0.9886734182816186,0.011993156726585423,0.9912700114403142,0.013471060610174822,0.04286049969495126,0.0041297022540112745,10.700747385714273,0.1988730151940138,10.63953760000004
zcat12,gces_nogeo,gces-noGeo,21,0.9877749246893087,0.011778461632217282,0.9904875783108723,0.013844658500161889,0.042766126768832395,0.0044389575604013645,5.331035409523836,0.12294888218405818,5.307809099998849
zcat12,gces,gces,21,0.988215207371604,0.010250288676039524,0.9905167775427358,0.012442126656797578,0.03651515909414276,0.004442348539483393,6.453546161904991,0.2523313465924101,6.361283299998831
zcat13,nsgaii,nsgaii,21,1.0153449263436505,0.000583068447989826,1.015344065920437,0.0041202811954980855,0.0003224726515172683,0.004037946881302547,2.5649205619049877,0.026298249903642268,2.5679623000014544
zcat13,nsga2_gapfill,nsga2-gapfill,21,0.9842486334144904,0.0036214314318287148,0.9839215112231957,0.010454650898421604,0.0014146659570319494,0.010460460523364768,16.270259714285636,0.20429533876387196,16.238568200000373
zcat13,gces_nocomp,gces-noComp,21,1.0176699626074464,0.00031489893078552735,1.017634836517473,0.0030080300949032446,0.00016655309236407313,0.0030049730265922663,10.983370071428258,0.11221241344470924,10.999274400001013
zcat13,gces_nogeo,gces-noGeo,21,1.0169501885020684,0.0004561817128429121,1.0170258933732572,0.003147812006886323,0.00016898393107390018,0.0030900206625835373,5.8729493523807745,0.057467919878555276,5.863131000000067
zcat13,gces,gces,21,1.0168682834131793,0.00037399381660077694,1.0169280908220506,0.0032028544982403004,0.0001504275558265422,0.003206320734623002,6.801882319047807,0.12057540497974584,6.798951300001136
zcat14,nsgaii,nsgaii,21,0.9749612551148688,0.001342149655713982,0.9750552734135233,0.007530290027572856,0.0004045050451997996,0.007443509556653826,2.521726680952183,0.029589698385069387,2.5259808999999223
zcat14,nsga2_gapfill,nsga2-gapfill,21,0.9679320881998905,0.005998644323231958,0.9674469471351543,0.009449276033185794,0.0019290410653737533,0.00945778079643933,16.744601252380864,0.229728054530814,16.769363400000657
zcat14,gces_nocomp,gces-noComp,21,0.980746908649165,0.0010054009377309572,0.9807334726532776,0.005865036626832674,0.00029719374363581765,0.00590206120115449,10.143456019047811,0.14577472533640443,10.155616200001532
zcat14,gces_nogeo,gces-noGeo,21,0.9791007016527327,0.0009645347832479067,0.9788894263982009,0.0065306977548796104,0.0004802231587694491,0.006471079366437298,5.563540828571214,0.11484423821064556,5.568015699998796
zcat14,gces,gces,21,0.9793035863006171,0.0011589203379455558,0.9791215505808852,0.006423820629091715,0.00045342302730034054,0.006311829817794904,7.072470338095237,0.17817437157452648,7.063720500002091
zcat15,nsgaii,nsgaii,21,0.988346613796721,0.0005206492434990442,0.9884285442297749,0.005492005889190978,0.00025558030841886243,0.005556378712173695,2.4895080380951446,0.04341318598961766,2.484220499998628
zcat15,nsga2_gapfill,nsga2-gapfill,21,0.9535019513764017,0.006637638516669806,0.9537997521733704,0.024689649222520982,0.04027539420421695,0.01600447509902835,16.0644316428571,0.3277925993155066,16.059796200002893
zcat15,gces_nocomp,gces-noComp,21,0.9886739707598609,0.011994076703596175,0.9912707600499495,0.013316543504243258,0.04213276914878532,0.0041338539343641605,10.517598790476248,0.17247880220875872,10.513761099999101
