suite,problem,algorithm,engine,seed,metric,value,n_var,n_obj
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_passive,numpy,8,archive_subset_hv,3.146246883048661,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_passive,numpy,8,archive_subset_igd_plus,0.0909330839383704,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_passive,numpy,9,hv,3.1361818750408057,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_passive,numpy,9,igd_plus,0.0925381573779647,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_passive,numpy,9,archive_subset_hv,3.1480100166976923,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_passive,numpy,9,archive_subset_igd_plus,0.090424136363425,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_hybrid,numpy,0,hv,3.0958913613690413,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_hybrid,numpy,0,igd_plus,0.1005121711877352,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_hybrid,numpy,0,archive_subset_hv,3.142627596392425,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_hybrid,numpy,0,archive_subset_igd_plus,0.0915839540680447,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_hybrid,numpy,1,hv,3.078197272601169,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_hybrid,numpy,1,igd_plus,0.1049612977288428,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_hybrid,numpy,1,archive_subset_hv,3.141496756048145,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_hybrid,numpy,1,archive_subset_igd_plus,0.0919139275000814,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_hybrid,numpy,2,hv,3.094831442506471,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_hybrid,numpy,2,igd_plus,0.10082799827233,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_hybrid,numpy,2,archive_subset_hv,3.144425066870895,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_hybrid,numpy,2,archive_subset_igd_plus,0.0912637702587883,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_hybrid,numpy,3,hv,3.093717646498465,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_hybrid,numpy,3,igd_plus,0.1013482211161119,30,2
