problem,n_obj,algorithm,runs,mean_hv,mean_igd_plus,mean_archive_subset_hv,mean_archive_subset_igd_plus,mean_time_ms,mean_archive_size,mean_archive_subset_size,mean_hybrid_archive_reference_generations,mean_hybrid_local_only_generations,mean_hybrid_no_split_generations,hybrid_fallback_runs,hybrid_local_only_runs
zcat1,2,nsgaii_archive_hybrid,10,3.093681040564475,0.10134600608576064,3.1433597585004125,0.09147403144268192,10096.194796300551,835.6,80.0,199.0,0.0,0.0,0,0
zcat1,2,nsgaii_archive_off,10,3.137187286437899,0.09202829960317017,,,9112.479309500122,0.0,0.0,0.0,0.0,0.0,0,0
zcat1,2,nsgaii_archive_passive,10,3.137187286437899,0.09202829960317017,3.1475694390985045,0.09052041378791217,9598.223709499507,1011.3,80.0,0.0,0.0,0.0,0,0
zcat1,3,nsgaii_archive_hybrid,10,1008.755813739727,0.27509107308203884,1016.1014874007399,0.1405019321712075,15691.46614480087,1280.7,80.0,249.0,0.0,0.0,0,0
zcat1,3,nsgaii_archive_off,10,1014.3586602615303,0.11930171024075038,,,13052.9744579002,0.0,0.0,0.0,0.0,0.0,0,0
zcat1,3,nsgaii_archive_passive,10,1014.3586602615303,0.11930171024075038,1016.0283294842241,0.11072533975134546,14769.240375400477,2653.5,80.0,0.0,0.0,0.0,0,0
zcat1,5,nsgaii_archive_hybrid,10,205079920.88828963,19.472529733341418,333102069.04778004,5.800328557461695,28591.12597039966,1467.7,80.0,349.0,0.0,0.0,0,0
zcat1,5,nsgaii_archive_off,10,351020599.2906744,3.764639226751062,,,23161.631669600683,0.0,0.0,0.0,0.0,0.0,0,0
zcat1,5,nsgaii_archive_passive,10,351020599.2906744,3.764639226751062,363863314.1732874,2.6770434570089536,26208.321067698853,1951.8,80.0,0.0,0.0,0.0,0,0
zcat10,2,nsgaii_archive_hybrid,10,1.4028490100787299,0.45318994056131184,1.4124714889840024,0.45280242969361656,10344.682268599354,808.7,80.0,199.0,0.0,0.0,0,0
zcat10,2,nsgaii_archive_off,10,1.4077170239249803,0.45313117671318526,,,9557.027856000059,0.0,0.0,0.0,0.0,0.0,0,0
zcat10,2,nsgaii_archive_passive,10,1.4077170239249803,0.45313117671318526,1.4118001359563155,0.4528937868983295,9963.47415139935,780.4,80.0,0.0,0.0,0.0,0,0
zcat10,3,nsgaii_archive_hybrid,10,787.0149349429134,2.079608965123959,793.8255692840972,2.001591904007423,17007.444550200307,1640.7,80.0,249.0,0.0,0.0,0,0
zcat10,3,nsgaii_archive_off,10,793.3854542617753,1.9996449095408935,,,14153.367916599018,0.0,0.0,0.0,0.0,0.0,0,0
zcat10,3,nsgaii_archive_passive,10,793.3854542617753,1.9996449095408935,795.4171304762933,1.9904504052765255,15492.838631400446,2107.6,80.0,0.0,0.0,0.0,0,0
zcat10,5,nsgaii_archive_hybrid,10,176346234.2133214,27.816757239943986,297802084.58729684,11.898369775656617,31462.47036739987,1657.4,80.0,349.0,0.0,0.0,0,0
zcat10,5,nsgaii_archive_off,10,304792769.661425,10.771746405834481,,,24604.631298999448,0.0,0.0,0.0,0.0,0.0,0,0
zcat10,5,nsgaii_archive_passive,10,304792769.661425,10.771746405834481,324749609.6920566,8.161151346590042,28480.811421499675,2206.8,80.0,0.0,0.0,0.0,0,0
zcat20,2,nsgaii_archive_hybrid,10,3.1397360225266113,0.0794571943193319,3.1622136247549966,0.07525404981573011,12336.105404399495,868.7,80.0,224.0,0.0,0.0,0,0
zcat20,2,nsgaii_archive_off,10,3.1584799192442303,0.07575705904707315,,,11397.340013299618,0.0,0.0,0.0,0.0,0.0,0,0
zcat20,2,nsgaii_archive_passive,10,3.1584799192442303,0.07575705904707315,3.1645953603301673,0.07474327950409049,11690.4502934005,1063.9,80.0,0.0,0.0,0.0,0,0
zcat20,3,nsgaii_archive_hybrid,10,860.4857041119474,1.1948458166583487,877.3509289086239,1.0311207430379907,19393.243627099582,1159.8,80.0,274.0,0.0,0.0,0,0
zcat20,3,nsgaii_archive_off,10,855.9694912377505,1.0460672572676093,,,17396.733954200317,0.0,0.0,0.0,0.0,0.0,0,0
zcat20,3,nsgaii_archive_passive,10,855.9694912377505,1.0460672572676093,858.2938556482956,1.0247941486779353,18151.75271160042,1488.9,80.0,0.0,0.0,0.0,0,0
zcat20,5,nsgaii_archive_hybrid,10,202674376.28529376,18.41366950796396,298381581.91880834,9.02767187274512,38003.31519050015,2023.9,80.0,374.0,0.0,0.0,0,0
zcat20,5,nsgaii_archive_off,10,318019493.0102043,7.0870515836184085,,,29571.158716799982,0.0,0.0,0.0,0.0,0.0,0,0
zcat20,5,nsgaii_archive_passive,10,318019493.0102043,7.0870515836184085,334110977.65996337,5.937626338703838,35176.05443140092,3075.8,80.0,0.0,0.0,0.0,0,0
