config_id,config_label,phase,level,bias,imbalance,problem,lhs_algorithm,rhs_algorithm,lhs_label,rhs_label,metric,lhs_mean,lhs_median,rhs_mean,rhs_median,delta_mean,delta_median,lhs_seed_wins,seed_ties,rhs_seed_wins,wilcoxon_p_value_raw,wilcoxon_p_value_holm,wilcoxon_significant_alpha
lvl1_plain,L1,A,1,False,False,zcat1,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,hypervolume,0.9071482375338413,0.9086300371602405,0.8446013725541627,0.8438574974188422,0.06254686497967865,0.0647725397413983,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
lvl1_plain,L1,A,1,False,False,zcat1,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,igd_plus,0.1072606342306086,0.1053924073541325,0.13905435338023867,0.1381518391328828,-0.03179371914963007,-0.03275943177875029,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
lvl1_plain,L1,A,1,False,False,zcat1,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,hypervolume,0.9518029378777513,0.951775354152605,0.8446013725541627,0.8438574974188422,0.1072015653235886,0.10791785673376275,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
lvl1_plain,L1,A,1,False,False,zcat1,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,igd_plus,0.06821353697641197,0.06829463370619025,0.13905435338023867,0.1381518391328828,-0.0708408164038267,-0.06985720542669253,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
lvl1_plain,L1,A,1,False,False,zcat1,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,hypervolume,0.9560927215850475,0.9561909852912464,0.8446013725541627,0.8438574974188422,0.11149134903088487,0.11233348787240416,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
lvl1_plain,L1,A,1,False,False,zcat1,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,igd_plus,0.06511293181384993,0.06507606227552165,0.13905435338023867,0.1381518391328828,-0.07394142156638873,-0.07307577685736114,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
lvl1_plain,L1,A,1,False,False,zcat1,gces_nogeo,nsgaii,gces-noGeo,nsgaii,hypervolume,0.9048344849545231,0.9056246378391177,0.8446013725541627,0.8438574974188422,0.060233112400360445,0.061767140420275535,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
lvl1_plain,L1,A,1,False,False,zcat1,gces_nogeo,nsgaii,gces-noGeo,nsgaii,igd_plus,0.10771817124473716,0.10678988982569793,0.13905435338023867,0.1381518391328828,-0.0313361821355015,-0.03136194930718486,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
lvl1_plain,L1,A,1,False,False,zcat1,gces,nsgaii,gces,nsgaii,hypervolume,0.904368452447049,0.9039308735396582,0.8446013725541627,0.8438574974188422,0.05976707989288632,0.06007337612081598,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
lvl1_plain,L1,A,1,False,False,zcat1,gces,nsgaii,gces,nsgaii,igd_plus,0.10801694963920372,0.10803779823688589,0.13905435338023867,0.1381518391328828,-0.031037403741034947,-0.030114040895996896,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
lvl1_plain,L1,A,1,False,False,zcat10,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,hypervolume,0.4488150195655805,0.46258999138077606,0.293110180335146,0.27886888909502583,0.1557048392304345,0.18372110228575023,19,0,2,1.33514404296875e-05,0.0001735687255859375,True
lvl1_plain,L1,A,1,False,False,zcat10,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,igd_plus,0.09429273098677891,0.09007170180484676,0.1313600567406681,0.13280488343689778,-0.0370673257538892,-0.04273318163205102,20,0,1,1.9073486328125e-06,9.5367431640625e-05,True
lvl1_plain,L1,A,1,False,False,zcat10,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,hypervolume,0.6755732008787236,0.6898376246745352,0.293110180335146,0.27886888909502583,0.3824630205435776,0.4109687355795094,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
lvl1_plain,L1,A,1,False,False,zcat10,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,igd_plus,0.04890381557432254,0.046616573338727416,0.1313600567406681,0.13280488343689778,-0.08245624116634558,-0.08618831009817036,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
lvl1_plain,L1,A,1,False,False,zcat10,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,hypervolume,0.7783350498649694,0.7932010064051837,0.293110180335146,0.27886888909502583,0.48522486952982335,0.5143321173101578,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
