config_id,config_label,phase,level,bias,imbalance,algorithm,algorithm_label,problem_count,hv_median_of_medians,igd_plus_median_of_medians,runtime_seconds_median_of_medians,hv_delta_vs_nsgaii,igd_plus_delta_vs_nsgaii,igd_plus_improvement_vs_nsgaii,runtime_seconds_delta_vs_nsgaii,runtime_ratio_vs_nsgaii
lvl1_plain,L1,A,1,False,False,nsgaii,nsgaii,20,0.7734674554553502,0.1970108879623948,5.156031799997436,0.0,0.0,0.0,0.0,1.0
lvl1_plain,L1,A,1,False,False,nsga2_farthest,nsga2-farthest,20,0.8485163711198882,0.11530209511948866,8.796601399997598,0.07504891566453797,-0.08170879284290614,0.08170879284290614,3.6405696000001626,1.706079741401512
lvl1_plain,L1,A,1,False,False,nsga2_hvref_farthest,nsga2-hvref-farthest,20,0.9333037311997674,0.05955682627285971,153.29085025000677,0.15983627574441717,-0.13745406168953508,0.13745406168953508,148.13481845000933,29.730392712101388
lvl1_plain,L1,A,1,False,False,nsga2_hvfarthest,nsga2-hvfarthest,20,0.9599282691839209,0.041087665907706544,164.59658054998727,0.1864608137285707,-0.15592322205468825,0.15592322205468825,159.44054874998983,31.923111985086887
lvl1_plain,L1,A,1,False,False,gces_nogeo,gces-noGeo,20,0.8467105679845117,0.11246624712825275,14.37881059999927,0.07324311252916149,-0.08454464083414205,0.08454464083414205,9.222778800001834,2.788735825874158
lvl1_plain,L1,A,1,False,False,gces,gces,20,0.8529180100220993,0.11455873265178032,19.627278899992234,0.0794505545667491,-0.08245215531061448,0.08245215531061448,14.471247099994798,3.8066636633237976
lvl3_plain,L3,A,3,False,False,nsgaii,nsgaii,20,0.09956281831075778,0.9740197500125467,4.993451600006665,0.0,0.0,0.0,0.0,1.0
lvl3_plain,L3,A,3,False,False,nsga2_farthest,nsga2-farthest,20,0.3551275454256536,0.5887132786581013,7.191551399999298,0.25556472711489586,-0.3853064713544454,0.3853064713544454,2.198099799992633,1.4401964765193076
lvl3_plain,L3,A,3,False,False,nsga2_hvref_farthest,nsga2-hvref-farthest,20,0.5024357705676333,0.42165859628533203,87.41858319997846,0.4028729522568756,-0.5523611537272146,0.5523611537272146,82.42513159997179,17.506644742458658
lvl3_plain,L3,A,3,False,False,nsga2_hvfarthest,nsga2-hvfarthest,20,0.6565977269773207,0.3152920771646187,95.36315975000616,0.5570349086665629,-0.658727672847928,0.658727672847928,90.3697081499995,19.097643752044952
lvl3_plain,L3,A,3,False,False,gces_nogeo,gces-noGeo,20,0.3208700126525119,0.638661904841545,10.238470800002688,0.22130719434175414,-0.33535784517100176,0.33535784517100176,5.2450191999960225,2.0503795010227037
lvl3_plain,L3,A,3,False,False,gces,gces,20,0.3232074713470324,0.6361678662937865,12.279023249997408,0.22364465303627465,-0.3378518837187602,0.3378518837187602,7.285571649990743,2.459025186101938
lvl6_plain,L6,A,6,False,False,nsgaii,nsgaii,20,0.0,32.46752322190345,6.0948104499984765,0.0,0.0,0.0,0.0,1.0
lvl6_plain,L6,A,6,False,False,nsga2_farthest,nsga2-farthest,20,0.0,32.37060466738689,8.699470749998,0.0,-0.09691855451655584,0.09691855451655584,2.604660299999523,1.427357064074105
lvl6_plain,L6,A,6,False,False,nsga2_hvref_farthest,nsga2-hvref-farthest,20,0.0,32.309611553362934,103.32766555000853,0.0,-0.15791166854051397,0.15791166854051397,97.23285510001006,16.95338458803659
lvl6_plain,L6,A,6,False,False,nsga2_hvfarthest,nsga2-hvfarthest,20,0.0,32.25825277269475,109.43586480000522,0.0,-0.2092704492086952,0.2092704492086952,103.34105435000674,17.955581342161768
lvl6_plain,L6,A,6,False,False,gces_nogeo,gces-noGeo,20,0.0,32.37919868187258,12.535971050005173,0.0,-0.08832454003086809,0.08832454003086809,6.441160600006697,2.0568270585032398
lvl6_plain,L6,A,6,False,False,gces,gces,20,0.0,32.37017105312374,15.156062349982676,0.0,-0.09735216877970743,0.09735216877970743,9.0612518999842,2.486715948645534
lvl6_bias,L6+B,B,6,True,False,nsgaii,nsgaii,20,0.0,27.396320435074834,6.715100250003161,0.0,0.0,0.0,0.0,1.0
lvl6_bias,L6+B,B,6,True,False,nsga2_farthest,nsga2-farthest,20,0.0,27.38181579709553,10.009262350009521,0.0,-0.01450463797930368,0.01450463797930368,3.2941621000063606,1.490560375476868
