config_id,config_label,phase,level,bias,imbalance,lhs_algorithm,rhs_algorithm,lhs_label,rhs_label,metric,problem_count,problems_better,problems_tied,problems_worse,median_delta_across_problems,lhs_seed_wins_total,seed_ties_total,rhs_seed_wins_total,significant_problem_count
lvl6_bias,L6+B,B,6,True,False,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,igd_plus,20,20,0,0,-0.14074725111618136,377,0,43,15
lvl6_bias,L6+B,B,6,True,False,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_bias,L6+B,B,6,True,False,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,igd_plus,20,20,0,0,-0.13498283310253534,389,0,31,18
lvl6_bias,L6+B,B,6,True,False,gces_nogeo,nsgaii,gces-noGeo,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_bias,L6+B,B,6,True,False,gces_nogeo,nsgaii,gces-noGeo,nsgaii,igd_plus,20,12,0,8,-0.017895084394313088,250,0,170,1
lvl6_bias,L6+B,B,6,True,False,gces,nsgaii,gces,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_bias,L6+B,B,6,True,False,gces,nsgaii,gces,nsgaii,igd_plus,20,16,0,4,-0.03260973072825735,265,0,155,1
lvl6_imbalance,L6+I,B,6,False,True,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,hypervolume,20,2,18,0,0.0,63,310,47,0
lvl6_imbalance,L6+I,B,6,False,True,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,igd_plus,20,16,0,4,-0.031649470447126404,230,0,190,0
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,hypervolume,20,2,18,0,0.0,84,306,30,2
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,igd_plus,20,20,0,0,-0.13603052619232292,341,0,79,3
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,hypervolume,20,2,18,0,0.0,90,305,25,2
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,igd_plus,20,20,0,0,-0.1774412439770119,363,0,57,6
lvl6_imbalance,L6+I,B,6,False,True,gces_nogeo,nsgaii,gces-noGeo,nsgaii,hypervolume,20,1,18,1,0.0,61,311,48,0
lvl6_imbalance,L6+I,B,6,False,True,gces_nogeo,nsgaii,gces-noGeo,nsgaii,igd_plus,20,9,0,11,0.0249187975991485,203,0,217,0
lvl6_imbalance,L6+I,B,6,False,True,gces,nsgaii,gces,nsgaii,hypervolume,20,1,18,1,0.0,58,317,45,0
lvl6_imbalance,L6+I,B,6,False,True,gces,nsgaii,gces,nsgaii,igd_plus,20,10,0,10,0.0018942361858624857,183,0,237,0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,igd_plus,20,19,0,1,-1.017652960501346,286,0,134,1
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,igd_plus,20,20,0,0,-1.7739103002916536,360,0,60,14
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,igd_plus,20,20,0,0,-2.3704330198080363,374,0,46,17
lvl6_bias_imbalance,L6+B+I,B,6,True,True,gces_nogeo,nsgaii,gces-noGeo,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,gces_nogeo,nsgaii,gces-noGeo,nsgaii,igd_plus,20,20,0,0,-1.0110402375564345,293,0,127,3
lvl6_bias_imbalance,L6+B+I,B,6,True,True,gces,nsgaii,gces,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,gces,nsgaii,gces,nsgaii,igd_plus,20,18,0,2,-0.8677396028452673,288,0,132,2
