config_id,config_label,phase,level,bias,imbalance,lhs_algorithm,rhs_algorithm,lhs_label,rhs_label,metric,problem_count,problems_better,problems_tied,problems_worse,median_delta_across_problems,lhs_seed_wins_total,seed_ties_total,rhs_seed_wins_total,significant_problem_count
lvl6_bias,L6+B,B,6,True,False,gces,nsgaii,gces,nsgaii,igd_plus,1,1,0,0,-0.8936229444766539,1,0,0,0
lvl6_imbalance,L6+I,B,6,False,True,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,hypervolume,1,0,1,0,0.0,0,1,0,0
lvl6_imbalance,L6+I,B,6,False,True,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,igd_plus,1,1,0,0,-0.43947438582576837,1,0,0,0
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,hypervolume,1,0,1,0,0.0,0,1,0,0
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,igd_plus,1,1,0,0,-1.5582186722358102,1,0,0,0
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,hypervolume,1,0,1,0,0.0,0,1,0,0
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,igd_plus,1,1,0,0,-0.015814965070429565,1,0,0,0
lvl6_imbalance,L6+I,B,6,False,True,gces_nogeo,nsgaii,gces-noGeo,nsgaii,hypervolume,1,0,1,0,0.0,0,1,0,0
lvl6_imbalance,L6+I,B,6,False,True,gces_nogeo,nsgaii,gces-noGeo,nsgaii,igd_plus,1,0,0,1,2.0477461440995945,0,0,1,0
lvl6_imbalance,L6+I,B,6,False,True,gces,nsgaii,gces,nsgaii,hypervolume,1,0,1,0,0.0,0,1,0,0
lvl6_imbalance,L6+I,B,6,False,True,gces,nsgaii,gces,nsgaii,igd_plus,1,0,0,1,0.5733469120782502,0,0,1,0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,hypervolume,1,0,1,0,0.0,0,1,0,0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,igd_plus,1,1,0,0,-5.32230589201518,1,0,0,0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,hypervolume,1,0,1,0,0.0,0,1,0,0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,igd_plus,1,1,0,0,-2.1536038401593487,1,0,0,0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,hypervolume,1,0,1,0,0.0,0,1,0,0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,igd_plus,1,1,0,0,-4.247037341511444,1,0,0,0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,gces_nogeo,nsgaii,gces-noGeo,nsgaii,hypervolume,1,0,1,0,0.0,0,1,0,0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,gces_nogeo,nsgaii,gces-noGeo,nsgaii,igd_plus,1,1,0,0,-0.8181511703798066,1,0,0,0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,gces,nsgaii,gces,nsgaii,hypervolume,1,0,1,0,0.0,0,1,0,0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,gces,nsgaii,gces,nsgaii,igd_plus,1,1,0,0,-5.009562077040883,1,0,0,0
