run_id,host,variant,variant_group,problem,suite,problem_n_var,problem_n_obj,seed,engine,population_size,max_evaluations,evaluations,time_ms,n_solutions,online_control_enabled,policy,credit_model,average_reward,average_bounded_reward,average_overhead_ms,family_switches,intent_switches,regime_switches,family_concentration,intent_concentration,regime_concentration,trace_steps,policy_state_available,profile_controller_time_ms,profile_start_step_time_ms,profile_router_time_ms,profile_policy_select_time_ms,profile_policy_update_time_ms,profile_trace_time_ms,profile_decode_time_ms,profile_variation_time_ms,profile_evaluation_time_ms,profile_survival_time_ms,profile_total_runtime_ms,family_share_sbx_like,family_share_de_like,regime_share_repair,regime_share_expand,regime_share_refine,intent_share_exploratory,intent_share_balanced,intent_share_local_refine,intent_share_mutation_heavy,intent_share_feasibility_biased,hv,hv_ref_point,igd_plus,policy_state_file
nsgaii__zcat1__adaptive_hierarchical_joint__seed2,nsgaii,adaptive_hierarchical_joint,adaptive,zcat1,zcat,30,2,2,numpy,40,800,800,114.60549999901559,35,True,adaptive_hierarchical_joint,simple_improvement,0.21974225197458133,0.21974225197458133,0.5815000002162138,7,15,2,0.5346260387811634,0.21883656509695287,0.8116343490304709,19,True,1.9315000099595636,0.05639999289996922,0.04020000051241368,1.1900999961653724,0.48960001731757075,0.15520000306423753,2.4429000477539375,7.525599983637221,35.14469995570835,21.188099999562837,114.3242999969516,0.3684210526315789,0.631578947368421,0.0,0.8947368421052632,0.10526315789473684,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,25.250836566451994,"[2.6005594341522866, 11.639253732643283]",0.3397671516067836,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint__seed2.json
nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed2,nsgaii,adaptive_hierarchical_joint_no_regime,adaptive,zcat1,zcat,30,2,2,numpy,40,800,800,140.07519998995122,23,True,adaptive_hierarchical_joint,simple_improvement,0.21149454548365654,0.21149454548365654,0.7461631566433138,10,15,0,0.5678670360110804,0.21883656509695287,1.0,19,True,2.4998000444611534,0.06560003384947777,0.040499959141016006,1.6680000117048621,0.547000061487779,0.17869997827801853,3.0113999673631042,9.321800011093728,40.90390000783373,22.913500026334077,139.78779999888502,0.3157894736842105,0.6842105263157895,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,24.31653646071077,"[2.6005594341522866, 11.639253732643283]",0.42117026839014166,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed2.json
nsgaii__zcat1__fixed_sbx__seed3,nsgaii,fixed_sbx,fixed,zcat1,zcat,30,2,3,numpy,40,800,800,88.48130000114907,24,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.45400929426478,"[2.6005594341522866, 11.639253732643283]",0.3094703703978446,
nsgaii__zcat1__semantic_prototype_sbx__seed3,nsgaii,semantic_prototype_sbx,adaptive,zcat1,zcat,30,2,3,numpy,40,800,800,121.5680000022985,34,True,adaptive_flat_parameter,simple_improvement,0.24201632136581236,0.24201632136581236,0.5797578954738319,0,18,0,1.0,0.21883656509695287,1.0,19,True,1.6116999613586813,0.09370000043418258,0.053199983085505664,0.9321999968960881,0.40889999945648015,0.1236999814864248,2.4682999355718493,11.733899984392338,40.00579999410547,20.178999970084988,121.304100000998,1.0,0.0,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,23.071113864362548,"[2.6005594341522866, 11.639253732643283]",0.3551448547104187,policy_states\nsgaii__zcat1__semantic_prototype_sbx__seed3.json
nsgaii__zcat1__adaptive_hierarchical_joint__seed3,nsgaii,adaptive_hierarchical_joint,adaptive,zcat1,zcat,30,2,3,numpy,40,800,800,163.48839999409392,16,True,adaptive_hierarchical_joint,simple_improvement,0.2131160957866999,0.2131160957866999,0.9095526291180009,6,16,2,0.5678670360110804,0.21883656509695287,0.8116343490304709,19,True,2.709699983824976,0.26610001805238426,0.07119998917914927,1.695599959930405,0.5359000206226483,0.14089999604038894,3.6435000074561685,14.496000032522716,48.77750005107373,26.271600028849207,163.1887999974424,0.3157894736842105,0.6842105263157895,0.0,0.8947368421052632,0.10526315789473684,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,24.271078042311625,"[2.6005594341522866, 11.639253732643283]",0.41625145736310215,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint__seed3.json
nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed3,nsgaii,adaptive_hierarchical_joint_no_regime,adaptive,zcat1,zcat,30,2,3,numpy,40,800,800,132.7576999901794,36,True,adaptive_hierarchical_joint,simple_improvement,0.2163130905680909,0.2163130905680909,0.6134052627634159,10,16,0,0.5678670360110804,0.20775623268698057,1.0,19,True,2.0076000510016456,0.057600002037361264,0.028000024030916393,1.284000012674369,0.44650006748270243,0.19149994477629662,2.3782999778632075,10.842699994100258,43.03700003947597,20.488099980866536,132.44099999428727,0.3157894736842105,0.6842105263157895,0.0,1.0,0.0,0.2631578947368421,0.21052631578947367,0.21052631578947367,0.15789473684210525,0.15789473684210525,23.89413997368439,"[2.6005594341522866, 11.639253732643283]",0.5424051246026937,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed3.json
nsgaii__zcat1__fixed_sbx__seed4,nsgaii,fixed_sbx,fixed,zcat1,zcat,30,2,4,numpy,40,800,800,113.47559999558143,29,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.679500543779056,"[2.6005594341522866, 11.639253732643283]",0.3524954286307796,
nsgaii__zcat1__semantic_prototype_sbx__seed4,nsgaii,semantic_prototype_sbx,adaptive,zcat1,zcat,30,2,4,numpy,40,800,800,153.41470000566915,36,True,adaptive_flat_parameter,simple_improvement,0.23960733880688695,0.23960733880688695,0.7345789498159367,0,18,0,1.0,0.21883656509695287,1.0,19,True,1.982599962502718,0.0923999905353412,0.07059997005853802,1.164300017990172,0.5073999636806548,0.14790002023801208,2.6750999968498945,13.681499985978007,45.38190002494957,24.898600022424944,152.97760000976268,1.0,0.0,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,24.940041592297895,"[2.6005594341522866, 11.639253732643283]",0.3639681416765852,policy_states\nsgaii__zcat1__semantic_prototype_sbx__seed4.json
nsgaii__zcat1__adaptive_hierarchical_joint__seed4,nsgaii,adaptive_hierarchical_joint,adaptive,zcat1,zcat,30,2,4,numpy,40,800,800,157.599800004391,26,True,adaptive_hierarchical_joint,simple_improvement,0.20398650115860417,0.20398650115860417,0.7898631562344044,9,15,2,0.5124653739612188,0.24099722991689748,0.7340720221606647,19,True,2.5037000013981014,0.10159994417335838,0.051300012273713946,1.5184000367298722,0.678200027323328,0.15419998089782894,3.026699967449531,13.740999973379076,49.966299993684515,24.81150002859067,157.33499999623746,0.42105263157894735,0.5789473684210527,0.0,0.8421052631578947,0.15789473684210525,0.3684210526315789,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.15789473684210525,23.204064169167257,"[2.6005594341522866, 11.639253732643283]",0.6201911037118039,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint__seed4.json
nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed4,nsgaii,adaptive_hierarchical_joint_no_regime,adaptive,zcat1,zcat,30,2,4,numpy,40,800,800,129.38959999883082,21,True,adaptive_hierarchical_joint,simple_improvement,0.19655981275888634,0.19655981275888634,0.7227736863761062,12,17,0,0.5346260387811634,0.24099722991689748,1.0,19,True,2.1860999549971893,0.060599923017434776,0.03419995482545346,1.4228000218281522,0.5348000559024513,0.1336999994236976,2.571400022134185,8.99909995496273,39.032400032738224,21.789100021123886,128.92339999962132,0.3684210526315789,0.631578947368421,0.0,1.0,0.0,0.3684210526315789,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.15789473684210525,22.525669275976743,"[2.6005594341522866, 11.639253732643283]",0.7511960428806987,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed4.json
nsgaii__zcat1__fixed_sbx__seed5,nsgaii,fixed_sbx,fixed,zcat1,zcat,30,2,5,numpy,40,800,800,97.50240000721533,26,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.77856251128655,"[2.6005594341522866, 11.639253732643283]",0.360738508829463,
