suite,host,problem,variant,variant_group,n_runs,mean_hv,mean_igd_plus,mean_time_ms,mean_average_reward,mean_average_overhead_ms,mean_family_concentration,mean_regime_concentration,mean_intent_concentration,mean_family_switches,mean_intent_switches,mean_regime_switches,mean_profile_controller_time_ms,mean_profile_start_step_time_ms,mean_profile_router_time_ms,mean_profile_policy_select_time_ms,mean_profile_policy_update_time_ms,mean_profile_trace_time_ms,mean_profile_decode_time_ms,mean_profile_variation_time_ms,mean_profile_evaluation_time_ms,mean_profile_survival_time_ms,mean_profile_total_runtime_ms,mean_family_share_sbx_like,mean_family_share_de_like,mean_regime_share_repair,mean_regime_share_expand,mean_regime_share_refine,mean_intent_share_exploratory,mean_intent_share_balanced,mean_intent_share_local_refine,mean_intent_share_mutation_heavy,mean_intent_share_feasibility_biased,comparison_to_baseline,hv_delta_vs_baseline,runtime_ratio_vs_baseline
anchor,moead,dtlz2,adaptive_hierarchical_joint,adaptive,10,5.976268736427411,0.22622408028844884,1478.1094400008442,0.1656643913462336,0.6782656710186673,0.848882271468144,1.0,0.323518351800554,73.2,356.4,0.0,71.01920014829375,1.951400081452448,1.1939900272409432,48.366809978324454,15.65728004934499,3.8497200119309127,88.07752996654017,208.1596400239505,83.93343006027862,479.0219600268756,1476.3008399982937,0.08368421052631578,0.9163157894736841,0.0,1.0,0.0,0.37973684210526315,0.09078947368421053,0.09289473684210527,0.3631578947368421,0.07342105263157894,no_baseline,,
anchor,moead,dtlz2,adaptive_hierarchical_joint_no_regime,adaptive,10,5.976268736427411,0.22622408028844884,1435.7565000012983,0.1656643913462336,0.6642949736200727,0.848882271468144,1.0,0.323518351800554,73.2,356.4,0.0,69.2293301501195,1.9941500126151368,0.8553900348488241,46.83970996265998,15.635760012082756,3.904320127912797,84.68657004268607,204.07375996437622,82.13830992463045,470.1751600528951,1434.2445000002044,0.08368421052631578,0.9163157894736841,0.0,1.0,0.0,0.37973684210526315,0.09078947368421053,0.09289473684210527,0.3631578947368421,0.07342105263157894,no_baseline,,
anchor,moead,dtlz2,fixed_sbx,fixed,10,6.085559062009272,0.11969842287820312,408.37061000056565,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_baseline,,
anchor,moead,dtlz2,semantic_prototype_sbx,adaptive,10,6.085735603965325,0.13883799564903995,1428.1624999988708,0.23299156822898018,0.6670744473702047,1.0,1.0,0.4196385041551246,0.0,272.5,0.0,54.21294978441438,1.922699942952022,1.1189300086698495,34.48536993964808,12.825909927778412,3.8600399653660133,100.8786400227109,183.37169994338183,82.86058001685888,469.21205001563067,1426.5012599993497,1.0,0.0,0.0,1.0,0.0,0.5107894736842106,0.06065789473684211,0.05052631578947368,0.3394736842105263,0.038552631578947366,no_baseline,,
anchor,moead,zdt1,adaptive_hierarchical_joint,adaptive,10,2.9904664772869713,0.45056946399593983,1524.9579699986498,0.30805785563809074,0.7741535130308445,0.8630986842105264,0.9633057479224376,0.38900346260387814,49.6,205.8,9.2,70.41385007323697,2.049850045295898,1.1946599654038437,47.59251001523808,15.585820005799178,3.991010041499976,116.75876004446764,211.2336300284369,40.051800015498884,512.3199600362568,1522.933880002529,0.07539473684210526,0.9246052631578948,0.0,0.9809210526315789,0.019078947368421053,0.4818421052631579,0.06763157894736842,0.06855263157894737,0.3386842105263158,0.04328947368421053,no_baseline,,
anchor,moead,zdt1,adaptive_hierarchical_joint_no_regime,adaptive,10,3.0022137409681866,0.43908706890690147,1470.2696499996819,0.3101414944378248,0.7172920395303088,0.8871741689750692,1.0,0.4031374653739612,42.6,201.1,0.0,69.9688999200589,2.028029899520334,0.817610118247103,47.08968994236784,16.00287001056131,4.030699949362315,86.5132199585787,206.98197004239773,39.52962994808331,507.9739800479729,1468.2932600015192,0.0611842105263158,0.9388157894736843,0.0,1.0,0.0,0.4503947368421053,0.06855263157894737,0.053421052631578946,0.3813157894736842,0.04631578947368421,no_baseline,,
anchor,moead,zdt1,fixed_sbx,fixed,10,2.615704995882286,0.6153350961058468,339.0993699998944,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_baseline,,
anchor,moead,zdt1,semantic_prototype_sbx,adaptive,10,2.817382625792106,0.49750057023888516,1462.9966300009983,0.32741457605782853,0.7379392368564271,1.0,0.9992136426592797,0.4250488227146814,0.0,183.9,0.2,55.62543025735067,2.034840108535718,1.1697099704178981,35.195240113534965,13.287420026608743,3.9382200382533483,104.2586800060235,184.14627001766348,40.139360052125994,510.0162301212549,1461.0502600015025,1.0,0.0,0.0,0.9996052631578948,0.00039473684210526315,0.5457894736842105,0.053815789473684206,0.053815789473684206,0.30894736842105264,0.03763157894736842,no_baseline,,
anchor,moead,zdt3,adaptive_hierarchical_joint,adaptive,10,1.8653436340354794,0.4133929468615628,1596.4721200012718,0.2715914849616983,0.7751570000733696,0.7951835180055402,0.9744155124653741,0.3804920360110803,64.2,219.8,7.2,75.62187004950829,2.1043499626102857,1.5435300520039164,51.05056999454973,16.235750015766826,4.687670024577528,95.87545001704711,213.00495001196396,60.301119947689585,537.0774100127164,1594.5561999978963,0.11789473684210527,0.8821052631578947,0.0,0.9868421052631579,0.013157894736842105,0.47697368421052627,0.06513157894736842,0.07078947368421053,0.33381578947368423,0.05328947368421053,no_baseline,,
anchor,moead,zdt3,adaptive_hierarchical_joint_no_regime,adaptive,10,1.8671728022250114,0.3683809955529167,1514.6562599999015,0.27334364893982677,0.7418527763117087,0.8053140581717452,1.0,0.37651904432132965,60.8,218.2,0.0,71.35425990854856,2.046859975962434,0.9687199344625697,48.34881995775504,15.825540051446296,4.164319988922216,88.02385002491064,202.88480993767735,57.2068800451234,518.4318500803784,1512.8143100009765,0.11144736842105263,0.8885526315789474,0.0,1.0,0.0,0.47828947368421054,0.06565789473684211,0.06460526315789474,0.33394736842105266,0.057499999999999996,no_baseline,,
anchor,moead,zdt3,fixed_sbx,fixed,10,1.5944552142832806,0.5436405047948508,331.03892999788513,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_baseline,,
anchor,moead,zdt3,semantic_prototype_sbx,adaptive,10,1.6245343684645022,0.5012355995132353,1488.3386200031964,0.30477140280517345,0.7543503552159037,1.0,1.0,0.4560789473684211,0.0,178.7,0.0,56.079869900713675,1.9810599580523558,1.2261699375812896,35.73087997501716,13.087400006770622,4.054360023292247,120.0584099497064,181.591710014618,56.21920999255963,510.13315007294295,1486.2417700016522,1.0,0.0,0.0,1.0,0.0,0.5242105263157895,0.050394736842105256,0.06236842105263157,0.3292105263157895,0.03381578947368421,no_baseline,,
anchor,nsgaii,dtlz2,adaptive_hierarchical_joint,adaptive,10,6.278690039441253,0.18445912067364725,79.02176000352483,0.14607474642317989,0.6375568427182243,0.6343490304709141,1.0,0.22105263157894733,9.2,14.4,0.0,2.088439973886125,0.0626399865723215,0.04332000098656863,1.359029984450899,0.4895199977909215,0.1339300040854141,2.5065100213396363,8.205859988811426,2.1312499899067916,20.111189984891098,78.63386999815702,0.24210526315789474,0.7578947368421052,0.0,1.0,0.0,0.3052631578947368,0.1631578947368421,0.1631578947368421,0.23157894736842105,0.13684210526315788,loss,-0.08934220809314652,1.5581867858364837
anchor,nsgaii,dtlz2,adaptive_hierarchical_joint_no_regime,adaptive,10,6.278690039441253,0.18445912067364725,79.36634999932721,0.14607474642317989,0.6344731576973572,0.6343490304709141,1.0,0.22105263157894733,9.2,14.4,0.0,2.222019982582424,0.0644100087811239,0.03477000136626884,1.4208699809387326,0.5545199848711491,0.1474500066251494,2.600890009489376,8.398060002946295,2.5610100143239833,19.898609996016603,79.02196999784792,0.24210526315789474,0.7578947368421052,0.0,1.0,0.0,0.3052631578947368,0.1631578947368421,0.1631578947368421,0.23157894736842105,0.13684210526315788,loss,-0.08934220809314652,1.5649815671469325
anchor,nsgaii,dtlz2,fixed_sbx,fixed,10,6.3680322475344,0.14742926538590903,50.71392000099877,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,0.0,1.0
anchor,nsgaii,dtlz2,semantic_prototype_sbx,adaptive,10,6.2933211698760365,0.1684551567615282,78.53543000092031,0.1882932693273681,0.6005184217141697,1.0,0.6066481994459834,0.24099722991689748,0.0,15.1,1.8,1.7303399930824526,0.0647599867079407,0.05164000758668408,1.0298900015186518,0.4552599973976612,0.12878999987151474,2.4536800090572797,10.446909999882337,2.067720008199103,19.476000004215166,78.21181000035722,1.0,0.0,0.0,0.6578947368421052,0.34210526315789475,0.26842105263157895,0.1631578947368421,0.3052631578947368,0.13684210526315788,0.12631578947368421,loss,-0.07471107765836305,1.5485971109978014
anchor,nsgaii,zdt1,adaptive_hierarchical_joint,adaptive,10,3.4102753907759022,0.24669989206443216,88.56703999772435,0.2183907785100483,0.6986405260058267,0.5811634349030471,0.8991689750692521,0.2293628808864266,9.4,14.0,1.0,2.153699967311695,0.06534999265568331,0.041319998854305595,1.3998599941260181,0.5038799892645329,0.14328999241115525,2.4974100102554075,8.234899997478351,0.9978499947465025,24.85902000044007,88.23279999633087,0.3,0.7,0.0,0.9421052631578947,0.05789473684210526,0.34736842105263155,0.1631578947368421,0.1631578947368421,0.1631578947368421,0.1631578947368421,win,0.1783693446433965,1.427930164016642
anchor,nsgaii,zdt1,adaptive_hierarchical_joint_no_regime,adaptive,10,3.4314062876656237,0.2413021954319567,87.78626999992412,0.2198085460307432,0.6771078946736739,0.590027700831025,1.0,0.2293628808864266,10.3,14.2,0.0,2.0402299778652377,0.0596900048549287,0.029229991196189076,1.3266199981444515,0.46983998763607815,0.1548499960335903,2.519600006053224,8.363610004016664,1.1556200086488388,23.99202000524383,87.47282000113046,0.28947368421052627,0.7105263157894737,0.0,1.0,0.0,0.34736842105263155,0.1631578947368421,0.1631578947368421,0.1631578947368421,0.1631578947368421,win,0.19950024153311796,1.415342128658942
anchor,nsgaii,zdt1,fixed_sbx,fixed,10,3.2319060461325058,0.37385844606968077,62.02476999897044,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,0.0,1.0
