problem,algorithm,seed,engine,pop_size,max_evaluations,runtime_seconds,n_solutions,hypervolume,igd_plus
zcat1,nsgaii,0,numpy,80,2000,0.11858169999322854,54,0.7110931818933544,0.13870647147501902
zcat1,nsgaii,1,numpy,80,2000,0.13803549998556264,50,0.6543964636353438,0.17492107416142733
zcat1,nsgaii,2,numpy,80,2000,0.11338900000555441,52,0.6746993795419012,0.16113321265457625
zcat1,gces,0,numpy,80,2000,0.16591650000191294,55,0.7053901746770452,0.14650645054448083
zcat1,gces,1,numpy,80,2000,0.1485259000037331,63,0.695250359384855,0.15407230690011806
zcat1,gces,2,numpy,80,2000,0.1539135999919381,51,0.6364705478073928,0.18018676172780557
zcat20,nsgaii,0,numpy,80,2000,0.11805360001744702,36,0.7479818354716615,0.14259916453189858
zcat20,nsgaii,1,numpy,80,2000,0.13814590001129545,56,0.7205665831523188,0.16151922610231767
zcat20,nsgaii,2,numpy,80,2000,0.13507809999282472,40,0.7887757393222616,0.12016707460592631
zcat20,gces,0,numpy,80,2000,0.15306159999454394,32,0.7362321066102451,0.14802727607690025
zcat20,gces,1,numpy,80,2000,0.15233650000300258,51,0.7895142749543833,0.11390673106524674
zcat20,gces,2,numpy,80,2000,0.13742409998667426,43,0.7406388839778271,0.14875509205979384
