problem,algorithm,algorithm_label,runs,hv_mean,hv_std,hv_median,igd_plus_mean,igd_plus_std,igd_plus_median,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_median
zcat1,nsgaii,nsgaii,21,0.9817278334092562,0.0007162560901753503,0.9817307523943808,0.007825542163304186,0.0003104723758130609,0.007839205899389287,2.8882782809523198,0.19740131330754762,2.85445720000007
zcat1,nsga2_curvgap,nsga2-curvgap,21,0.6212837153313242,0.13504316902911007,0.6266351550424719,0.15351198747584516,0.053658925193693835,0.16045671674153195,20.855356085714448,0.535339470296852,20.796651100000418
zcat1,gces_nocomp,gces-noComp,21,0.9861347293897103,0.0007827098995767307,0.9862918347156521,0.006019390320063749,0.0003459370402792492,0.005978741317947302,11.628551047618938,0.15378677539572982,11.57647309999993
zcat1,gces_nogeo,gces-noGeo,21,0.9834461536438963,0.0008680460330575076,0.9835636746011842,0.00746110850905981,0.0005585249819709181,0.007352343327468205,6.311573057142769,0.15348510758027809,6.282658299999639
zcat1,gces,gces,21,0.9834086942103346,0.001004172527181995,0.9834600502111897,0.007335215721646729,0.0004758137875987868,0.0072207997782721385,7.810768304761994,0.18910105791621495,7.8247330000003785
zcat10,nsgaii,nsgaii,21,0.9464530800048602,0.002844809212275811,0.9460069677075087,0.0035046055096680235,0.00018324491319263723,0.0034967039304578387,2.5919853238097166,0.039589398576133604,2.584513399999196
zcat10,nsga2_curvgap,nsga2-curvgap,21,0.6190740110430032,0.12487411074864956,0.5821304052208562,0.042788691232304055,0.02022256084922259,0.04336592260007926,17.055733766666542,0.5836811049419978,17.15806100000009
zcat10,gces_nocomp,gces-noComp,21,0.9498826174757863,0.0030236588075499226,0.95027962580968,0.003332633744587792,0.00021842907778492435,0.003385291947991477,9.42653429523792,0.3232923603973736,9.471998299999541
zcat10,gces_nogeo,gces-noGeo,21,0.9555449017420206,0.0031485746026274266,0.9560721766902548,0.0036170420310730274,0.0007942578954503685,0.003440514955902749,5.750986676190483,0.26975961092869666,5.756144400000267
zcat10,gces,gces,21,0.9555418292018765,0.002478016124376751,0.9554138922440139,0.0037230398286117903,0.0012227468156231578,0.0033918634644695056,6.880394314285652,0.22999692344205633,6.873234300001059
zcat11,nsgaii,nsgaii,21,0.9886834601809943,0.0005967916460592998,0.9887252165981997,0.0053418460467308405,0.00028181870656177705,0.005266336130421329,2.513465314285592,0.02967007936824452,2.510008499999458
zcat11,nsga2_curvgap,nsga2-curvgap,21,0.9194264338401411,0.08097362795041468,0.9508833649078854,0.03274361137352508,0.03279206363509544,0.019941144215194745,18.490207776190452,0.27948684051796674,18.39480789999834
zcat11,gces_nocomp,gces-noComp,21,0.9917246128948611,0.0004629673958616703,0.9917333166412403,0.003931346048424869,0.00019784853960763674,0.003917358336501958,10.23074829047584,0.12673866995606198,10.217972799999188
zcat11,gces_nogeo,gces-noGeo,21,0.9906336762850162,0.0005085017690908201,0.9906337349674758,0.004335679447546295,0.00023361108796895343,0.004330787639735565,4.942210495237911,0.10935095599206353,4.931272600000739
zcat11,gces,gces,21,0.9907404083811172,0.0005803407601676122,0.9907278016383191,0.004279807705024112,0.00019575091686454326,0.004304082664368474,5.905656852380898,0.1958562564820769,5.857353800000055
zcat12,nsgaii,nsgaii,21,0.9883459546172098,0.0005206352204986949,0.9884279030613075,0.00547669065354034,0.0002636030188761541,0.005506940668152715,2.471752285714198,0.03952081508290613,2.472486000000572
zcat12,nsga2_curvgap,nsga2-curvgap,21,0.8752490799250511,0.10575908242145193,0.9290445794392569,0.050910322938017644,0.043922510069560175,0.030674709060577496,18.703636161904623,0.4481206276734102,18.677224499999284
zcat12,gces_nocomp,gces-noComp,21,0.9886734182816186,0.011993156726585423,0.9912700114403142,0.013471060610174822,0.04286049969495126,0.0041297022540112745,10.923386004762072,0.13892656399585376,10.936472200000935
zcat12,gces_nogeo,gces-noGeo,21,0.9877749246893087,0.011778461632217282,0.9904875783108723,0.013844658500161889,0.042766126768832395,0.0044389575604013645,5.517172071428095,0.1053357773328455,5.5006912000008015
zcat12,gces,gces,21,0.988215207371604,0.010250288676039524,0.9905167775427358,0.012442126656797578,0.03651515909414276,0.004442348539483393,6.451413119047824,0.14355335452054152,6.4278164000006655
zcat13,nsgaii,nsgaii,21,1.0153449263436505,0.000583068447989826,1.015344065920437,0.0041202811954980855,0.0003224726515172683,0.004037946881302547,2.5496351809523774,0.03875960172677444,2.5281641999990825
