Problem	nsgaii_archive_hybrid	nsgaii_archive_off	nsgaii_archive_passive
zcat1	68360310.91259481	117007205.59550732	117007205.59550732
zcat10	58782340.87703512	101597854.81819876	101597854.81819876
zcat20	67558413.30357796	106006784.04605849	106006784.04605849
