suite,host,problem,variant,variant_group,n_runs,mean_hv,mean_igd_plus,mean_time_ms,mean_average_reward,mean_average_overhead_ms,mean_family_concentration,mean_regime_concentration,mean_intent_concentration,mean_family_switches,mean_intent_switches,mean_regime_switches,mean_profile_controller_time_ms,mean_profile_start_step_time_ms,mean_profile_router_time_ms,mean_profile_policy_select_time_ms,mean_profile_policy_update_time_ms,mean_profile_trace_time_ms,mean_profile_decode_time_ms,mean_profile_variation_time_ms,mean_profile_evaluation_time_ms,mean_profile_survival_time_ms,mean_profile_total_runtime_ms,mean_family_share_sbx_like,mean_family_share_de_like,mean_regime_share_repair,mean_regime_share_expand,mean_regime_share_refine,mean_intent_share_exploratory,mean_intent_share_balanced,mean_intent_share_local_refine,mean_intent_share_mutation_heavy,mean_intent_share_feasibility_biased,comparison_to_baseline,hv_delta_vs_baseline,runtime_ratio_vs_baseline
anchor,moead,dtlz2,adaptive_hierarchical_joint,adaptive,10,5.976268736427411,0.22622408028844884,683.1871799993678,0.1656643913462336,0.3173889341403418,0.848882271468144,1.0,0.323518351800554,73.2,356.4,0.0,34.61680006876122,0.9016400392283686,0.5438199936179444,23.223640043579508,8.312549997936003,1.6351499943993986,42.24471997004002,92.67525003524497,36.50341004104121,223.37988998478977,682.3094699997455,0.08368421052631578,0.9163157894736841,0.0,1.0,0.0,0.37973684210526315,0.09078947368421053,0.09289473684210527,0.3631578947368421,0.07342105263157894,no_baseline,,
anchor,moead,dtlz2,adaptive_hierarchical_joint_no_regime,adaptive,10,5.976268736427411,0.22622408028844884,669.6028499980457,0.1656643913462336,0.31381897366947287,0.848882271468144,1.0,0.323518351800554,73.2,356.4,0.0,34.01134996529436,0.8820099814329296,0.40224004624178633,23.062979913083836,8.031039944035001,1.6330800805008039,41.34475996979745,91.64671002654359,35.5616200104123,223.5317800528719,668.7403599979007,0.08368421052631578,0.9163157894736841,0.0,1.0,0.0,0.37973684210526315,0.09078947368421053,0.09289473684210527,0.3631578947368421,0.07342105263157894,no_baseline,,
anchor,moead,dtlz2,fixed_sbx,fixed,10,6.085559062009272,0.11969842287820312,157.51125999668147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_baseline,,
anchor,moead,dtlz2,semantic_prototype_sbx,adaptive,10,6.085735603965325,0.13883799564903995,664.8023399990052,0.23299156822898018,0.3138643947079943,1.0,1.0,0.4196385041551246,0.0,272.5,0.0,26.52763996156864,0.8804499884718098,0.5178598905331455,16.724850026366767,6.801320108934306,1.6031599472626112,47.320939975907095,81.54861001239624,35.021030077768955,219.55253004853148,663.9364900023793,1.0,0.0,0.0,1.0,0.0,0.5107894736842106,0.06065789473684211,0.05052631578947368,0.3394736842105263,0.038552631578947366,no_baseline,,
anchor,moead,zdt1,adaptive_hierarchical_joint,adaptive,10,2.9904664772869713,0.45056946399593983,687.5738600021577,0.30805785563809074,0.35724047372672146,0.8630986842105264,0.9633057479224376,0.38900346260387814,49.6,205.8,9.2,33.70110006799223,0.859149951429572,0.528520016814582,22.686770038853865,8.047399982751813,1.579260078142397,60.51181004877435,92.09738996141823,18.690749870438594,229.37138996639987,686.7363999976078,0.07539473684210526,0.9246052631578948,0.0,0.9809210526315789,0.019078947368421053,0.4818421052631579,0.06763157894736842,0.06855263157894737,0.3386842105263158,0.04328947368421053,no_baseline,,
anchor,moead,zdt1,adaptive_hierarchical_joint_no_regime,adaptive,10,3.0022137409681866,0.43908706890690147,666.3566199989873,0.3101414944378248,0.32992309199662967,0.8871741689750692,1.0,0.4031374653739612,42.6,201.1,0.0,33.84031005989527,0.8832200037431903,0.3640700379037298,23.062909979489632,7.9523900407366455,1.5777199980220757,40.31339997163741,91.14517000271007,18.209570010367315,229.49838003114564,665.5580300022848,0.0611842105263158,0.9388157894736843,0.0,1.0,0.0,0.4503947368421053,0.06855263157894737,0.053421052631578946,0.3813157894736842,0.04631578947368421,no_baseline,,
anchor,moead,zdt1,fixed_sbx,fixed,10,2.615704995882286,0.6153350961058468,143.18948999571148,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_baseline,,
anchor,moead,zdt1,semantic_prototype_sbx,adaptive,10,2.817382625792106,0.49750057023888516,655.9323499983293,0.32741457605782853,0.3340561185005323,1.0,0.9992136426592797,0.4250488227146814,0.0,183.9,0.2,26.369630116096232,0.859139979002066,0.5506001223693602,16.750809975201264,6.665380018239375,1.5437000212841667,48.106270022981334,80.32122000149684,18.98892005556263,227.78715003223624,655.0779599987436,1.0,0.0,0.0,0.9996052631578948,0.00039473684210526315,0.5457894736842105,0.053815789473684206,0.053815789473684206,0.30894736842105264,0.03763157894736842,no_baseline,,
anchor,moead,zdt3,adaptive_hierarchical_joint,adaptive,10,1.8653436340354794,0.4133929468615628,726.0774800000945,0.2715914849616983,0.3526177894500985,0.7951835180055402,0.9744155124653741,0.3804920360110803,64.2,219.8,7.2,34.74784006975824,0.8789900777628645,0.5374299493269064,23.534240061417222,8.143220041529275,1.6539599397219718,42.1842399664456,94.17865000723395,27.468529988254886,246.61481001094216,725.250960001722,0.11789473684210527,0.8821052631578947,0.0,0.9868421052631579,0.013157894736842105,0.47697368421052627,0.06513157894736842,0.07078947368421053,0.33381578947368423,0.05328947368421053,no_baseline,,
anchor,moead,zdt3,adaptive_hierarchical_joint_no_regime,adaptive,10,1.8671728022250114,0.3683809955529167,720.5957399986801,0.27334364893982677,0.3529970922260729,0.8053140581717452,1.0,0.37651904432132965,60.8,218.2,0.0,35.45086994563462,0.9211099168169312,0.36880006664432585,23.43785998673411,9.066360001452267,1.656739973986987,41.90074995276518,95.31536995636998,28.120320083689876,247.1724900402478,719.5793399980175,0.11144736842105263,0.8885526315789474,0.0,1.0,0.0,0.47828947368421054,0.06565789473684211,0.06460526315789474,0.33394736842105266,0.057499999999999996,no_baseline,,
