run_id,host,variant,variant_group,problem,seed,engine,population_size,max_evaluations,evaluations,time_ms,n_solutions,online_control_enabled,policy,credit_model,average_reward,average_bounded_reward,average_overhead_ms,family_switches,intent_switches,regime_switches,family_concentration,intent_concentration,regime_concentration,trace_steps,policy_state_available,profile_controller_time_ms,profile_start_step_time_ms,profile_router_time_ms,profile_policy_select_time_ms,profile_policy_update_time_ms,profile_trace_time_ms,profile_decode_time_ms,profile_variation_time_ms,profile_evaluation_time_ms,profile_survival_time_ms,profile_total_runtime_ms,family_share_sbx_like,family_share_de_like,regime_share_repair,regime_share_expand,regime_share_refine,intent_share_exploratory,intent_share_balanced,intent_share_local_refine,intent_share_mutation_heavy,intent_share_feasibility_biased,hv,hv_ref_point,igd_plus,policy_state_file
nsgaii__zcat1__fixed_sbx__seed0,nsgaii,fixed_sbx,fixed,zcat1,0,numpy,40,800,800,50.10279999987688,23,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46679406514515,"[3.1536627844354066, 13.93981025195237]",0.3528212619330151,
nsgaii__zcat1__fixed_de__seed0,nsgaii,fixed_de,fixed,zcat1,0,numpy,40,800,800,45.75309999927413,40,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.885957670521215,"[3.1536627844354066, 13.93981025195237]",0.9310899779884853,
nsgaii__zcat1__adaptive_flat_operator__seed0,nsgaii,adaptive_flat_operator,adaptive,zcat1,0,numpy,40,800,800,52.951500001654495,29,True,adaptive_flat_operator,simple_improvement,0.19556920227024127,0.19556920227024127,0.26817894755176414,9,0,2,0.5346260387811634,1.0,0.8116343490304709,19,True,0.7428000026266091,0.026699999580159783,0.0214999818126671,0.42800000665010884,0.20879999647149816,0.05780001811217517,0.9125000069616362,3.7745999870821834,16.936199986957945,8.540199996787123,52.80579999816837,0.3684210526315789,0.631578947368421,0.0,0.8947368421052632,0.10526315789473684,0.0,1.0,0.0,0.0,0.0,36.992978718964224,"[3.1536627844354066, 13.93981025195237]",0.544112946660935,policy_states\nsgaii__zcat1__adaptive_flat_operator__seed0.json
nsgaii__zcat1__adaptive_flat_parameter__seed0,nsgaii,adaptive_flat_parameter,adaptive,zcat1,0,numpy,40,800,800,60.63490000087768,37,True,adaptive_flat_parameter,simple_improvement,0.22510961281318684,0.22510961281318684,0.2903421053289142,0,17,2,1.0,0.20775623268698057,0.8116343490304709,19,True,0.7857000309741125,0.02870000753318891,0.017899998056236655,0.48669998795958236,0.20890001178486273,0.0435000256402418,1.0050000200862996,5.897299983189441,19.667500011564698,9.119499976804946,60.485300004074816,1.0,0.0,0.0,0.8947368421052632,0.10526315789473684,0.2631578947368421,0.21052631578947367,0.21052631578947367,0.15789473684210525,0.15789473684210525,37.38321740911285,"[3.1536627844354066, 13.93981025195237]",0.3954057967215626,policy_states\nsgaii__zcat1__adaptive_flat_parameter__seed0.json
nsgaii__zcat1__adaptive_hierarchical_joint__seed0,nsgaii,adaptive_hierarchical_joint,adaptive,zcat1,0,numpy,40,800,800,63.32700000348268,39,True,adaptive_hierarchical_joint,simple_improvement,0.2033419866265256,0.2033419866265256,0.30923684205749613,9,17,2,0.5346260387811634,0.21329639889196672,0.9002770083102491,19,True,1.2363999849185348,0.025399982405360788,0.016400015738327056,0.9156999876722693,0.23170001077232882,0.04719998833024874,1.0685000088415109,5.449600022984669,20.958299995982088,9.153299957688432,63.09440000040922,0.3684210526315789,0.631578947368421,0.0,0.9473684210526315,0.05263157894736842,0.2631578947368421,0.15789473684210525,0.2631578947368421,0.15789473684210525,0.15789473684210525,36.49601525330114,"[3.1536627844354066, 13.93981025195237]",0.525245396621403,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint__seed0.json
nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed0,nsgaii,adaptive_hierarchical_joint_no_regime,adaptive,zcat1,0,numpy,40,800,800,64.53719999990426,22,True,adaptive_hierarchical_joint,simple_improvement,0.20411022136023005,0.20411022136023005,0.34993684293065025,10,16,0,0.5678670360110804,0.21883656509695287,1.0,19,True,1.1034000272047706,0.0301000036415644,0.01820000761654228,0.7153000187827274,0.2600000152597204,0.07979998190421611,1.4352000071085058,4.612899974745233,20.693799975560978,11.525700021593366,64.33560000004945,0.3157894736842105,0.6842105263157895,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,37.96087943619575,"[3.1536627844354066, 13.93981025195237]",0.42241236080598227,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed0.json
nsgaii__zcat1__adaptive_hierarchical_joint_fixed_family_sbx__seed0,nsgaii,adaptive_hierarchical_joint_fixed_family_sbx,adaptive,zcat1,0,numpy,40,800,800,59.75160000525648,37,True,adaptive_hierarchical_joint,simple_improvement,0.22510961281318684,0.22510961281318684,0.2858684207527212,0,17,2,1.0,0.20775623268698057,0.8116343490304709,19,True,0.8546999160898849,0.031299961847253144,0.02359999780310318,0.4890999698545784,0.24769997980911285,0.06300000677583739,1.0894000079133548,5.5078999866964296,18.724399982602336,10.786699996970128,59.58490000193706,1.0,0.0,0.0,0.8947368421052632,0.10526315789473684,0.2631578947368421,0.21052631578947367,0.21052631578947367,0.15789473684210525,0.15789473684210525,37.38321740911285,"[3.1536627844354066, 13.93981025195237]",0.3954057967215626,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint_fixed_family_sbx__seed0.json
nsgaii__zcat1__adaptive_hierarchical_joint_fixed_family_de__seed0,nsgaii,adaptive_hierarchical_joint_fixed_family_de,adaptive,zcat1,0,numpy,40,800,800,62.15890000021318,21,True,adaptive_hierarchical_joint,simple_improvement,0.1843873899755759,0.1843873899755759,0.3097684227548981,0,17,2,1.0,0.22437673130193903,0.9002770083102491,19,True,0.8534000226063654,0.033700001949910074,0.02140001015504822,0.5031000255257823,0.2344999957131222,0.06069998926250264,1.3152000028640032,3.6294000092311762,19.95960001659114,11.44209999620216,61.99930000002496,0.0,1.0,0.0,0.9473684210526315,0.05263157894736842,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.21052631578947367,35.79974573609121,"[3.1536627844354066, 13.93981025195237]",0.6983910480616439,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint_fixed_family_de__seed0.json
nsgaii__zcat1__fixed_sbx__seed1,nsgaii,fixed_sbx,fixed,zcat1,1,numpy,40,800,800,44.80889999831561,33,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.36812851588928,"[3.1536627844354066, 13.93981025195237]",0.30962631218936104,
nsgaii__zcat1__fixed_de__seed1,nsgaii,fixed_de,fixed,zcat1,1,numpy,40,800,800,42.80740000103833,37,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.433670390596646,"[3.1536627844354066, 13.93981025195237]",0.9321347635515579,
