host,problem,variant,variant_group,n_runs,mean_hv,mean_igd_plus,mean_time_ms,mean_average_reward,mean_average_overhead_ms,mean_family_concentration,mean_regime_concentration,mean_intent_concentration,mean_family_switches,mean_intent_switches,mean_regime_switches,mean_profile_controller_time_ms,mean_profile_start_step_time_ms,mean_profile_router_time_ms,mean_profile_policy_select_time_ms,mean_profile_policy_update_time_ms,mean_profile_trace_time_ms,mean_profile_decode_time_ms,mean_profile_variation_time_ms,mean_profile_evaluation_time_ms,mean_profile_survival_time_ms,mean_profile_total_runtime_ms,mean_family_share_sbx_like,mean_family_share_de_like,mean_regime_share_repair,mean_regime_share_expand,mean_regime_share_refine,mean_intent_share_exploratory,mean_intent_share_balanced,mean_intent_share_local_refine,mean_intent_share_mutation_heavy,mean_intent_share_feasibility_biased,comparison_to_baseline,hv_delta_vs_baseline,runtime_ratio_vs_baseline
moead,zcat1,adaptive_flat_operator,adaptive,5,24.97050646290569,0.9335975532604437,628.6391000001458,0.31271061117644666,0.2987696842242976,0.8760810249307479,1.0,1.0,43.6,0.0,0.0,22.779079870088026,0.7954399407026358,0.6862800073577091,13.874120006221347,6.02669999061618,1.3965399251901545,37.72278001852101,81.94582005089615,34.86947993806098,216.5084800348268,627.9786999992211,0.06657894736842104,0.9334210526315789,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,win,1.797654482093023,3.9358146497907534
moead,zcat1,adaptive_flat_parameter,adaptive,5,25.925899476867404,0.763550832152598,624.4122799995239,0.34910137876692293,0.3012420526379413,1.0,0.9958337950138503,0.44976108033240997,0.0,155.4,0.8,23.279740012367256,0.7690400190767832,0.6478800059994683,14.61293999600457,5.877760001749266,1.3721199895371683,41.47115999512607,73.60625997389434,34.61406001151772,213.03579994855681,623.7375199998496,1.0,0.0,0.0,0.9978947368421054,0.002105263157894737,0.4660526315789474,0.03105263157894737,0.04815789473684211,0.4086842105263158,0.046052631578947366,win,2.7530474960547373,3.9093511668790595
moead,zcat1,adaptive_hierarchical_joint,adaptive,5,27.222729634080338,0.771368215925587,639.8636600017198,0.2903968993741334,0.3102865262840887,0.772395429362881,1.0,0.3449965373961219,58.8,214.8,0.0,30.15427996579092,0.7997799941222183,0.659579990315251,20.284860013634898,6.998779934656341,1.4112800330622122,38.00875996967079,82.53387998556718,34.395260011660866,218.07184002827853,639.2640200007008,0.1318421052631579,0.8681578947368422,0.0,1.0,0.0,0.43157894736842106,0.07026315789473683,0.07342105263157894,0.34342105263157896,0.0813157894736842,win,4.0498776532676715,4.006089928073062
moead,zcat1,adaptive_hierarchical_joint_fixed_family_de,adaptive,5,26.300424802689044,0.8709948938238534,655.9783799995785,0.28396762551803234,0.308579894758862,1.0,0.9897506925207757,0.3755145429362881,0.0,170.2,2.4,25.716039989492856,0.8243400487117469,0.6763599885744043,16.004159997100942,6.736439980159048,1.474739974946715,41.2425199887366,87.31255997554399,36.31930006376933,218.29078003502218,655.2127600007225,0.0,1.0,0.0,0.9947368421052631,0.005263157894736842,0.42447368421052634,0.04921052631578947,0.08421052631578949,0.37236842105263157,0.06973684210526315,win,3.1275728218763774,4.106981760994103
moead,zcat1,adaptive_hierarchical_joint_fixed_family_sbx,adaptive,5,25.925899476867404,0.763550832152598,635.5219799996121,0.34910137876692293,0.30921865781764557,1.0,0.9958337950138503,0.44976108033240997,0.0,155.4,0.8,24.945300025865436,0.7886400024290197,0.7462200184818357,15.451080005732365,6.5180199992028065,1.4413400000194088,43.14179995271843,75.82975996774621,35.98543997941306,218.377400074678,634.9049399985233,1.0,0.0,0.0,0.9978947368421054,0.002105263157894737,0.4660526315789474,0.03105263157894737,0.04815789473684211,0.4086842105263158,0.046052631578947366,win,2.7530474960547373,3.9789073240050117
moead,zcat1,adaptive_hierarchical_joint_no_regime,adaptive,5,27.222729634080338,0.771368215925587,635.3575999994064,0.2903968993741334,0.30634850006639397,0.772395429362881,1.0,0.3449965373961219,58.8,214.8,0.0,30.226180005411152,0.7811400326318108,0.30774000915698707,20.64101999567356,7.037499992293306,1.4587799756554887,36.04800000030082,81.27524001320126,34.36182005534647,217.13604002870852,634.6957800007658,0.1318421052631579,0.8681578947368422,0.0,1.0,0.0,0.43157894736842106,0.07026315789473683,0.07342105263157894,0.34342105263157896,0.0813157894736842,win,4.0498776532676715,3.9778781656008624
moead,zcat1,fixed_de,fixed,5,23.172851980812666,1.1320151458430445,159.72274000087054,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,0.0,1.0
moead,zcat1,fixed_sbx,fixed,5,23.882871767335768,0.9262285464003585,534.2002599980333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,win,0.7100197865231017,3.3445473073847953
moead,zcat14,adaptive_flat_operator,adaptive,5,26.55395748759691,0.7898766396742516,616.6530800008331,0.3287809904502221,0.2906184473958044,0.8497333795013852,0.9952943213296399,1.0,49.2,0.0,1.2,22.459540056297556,0.768759980564937,0.6781200048862956,13.729859971499536,5.899680008587893,1.3831200907588936,35.48429999209475,81.08826003299328,34.079860015481245,212.48046001128387,615.9559200008516,0.08289473684210527,0.9171052631578946,0.0,0.9976315789473684,0.002368421052631579,0.0,1.0,0.0,0.0,0.0,win,4.43568020874595,3.82818598587621
moead,zcat14,adaptive_flat_parameter,adaptive,5,26.45413651786962,0.6904120255203041,653.3995200006757,0.33023819609651034,0.3093822369498268,1.0,1.0,0.4084168975069252,0.0,178.4,0.0,24.501659930683672,0.8050799951888621,0.6748399726347998,15.44168000400532,6.169180040888023,1.4108799179666676,43.08935998415109,76.70542004343588,35.11482003086712,222.76789991301484,652.5850799982436,1.0,0.0,0.0,1.0,0.0,0.5294736842105263,0.04526315789473684,0.06368421052631579,0.32473684210526316,0.03684210526315789,win,4.33585923901866,4.056308103806843
