problem,algorithm,runs,hv_mean,hv_std,hv_median,igd_plus_mean,igd_plus_std,igd_plus_median,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_median
zcat1,gces,10,0.9681925423784287,0.0025142465506676724,0.9685691562129408,0.014402798951867366,0.0017605093656817552,0.01412929884327637,1.011647100004484,0.03174835381689837,1.0085300999926403
zcat1,nsgaii,10,0.9645326792043126,0.0022425745304176068,0.9650627233502016,0.01515165952563136,0.0009917812645672422,0.014988551043451303,0.46987249999365305,0.02765726083269396,0.46114090000628494
zcat14,gces,10,0.9575393115754863,0.005602908836422176,0.9589454349027725,0.013295641595358858,0.0021972750220073125,0.012856268812583529,1.0210028199944645,0.020997991778460484,1.0156452999945031
zcat14,nsgaii,10,0.9528295187124436,0.004681658829463128,0.9539686260755491,0.014278074676795822,0.0014608943018250286,0.01399681137160403,0.4500331900024321,0.01832498277314293,0.44646255001134705
zcat15,gces,10,0.9750176240055488,0.0034193420621108795,0.9755244693272553,0.010768968743490396,0.001492664680252706,0.010535754007760755,0.9741089799965266,0.036557325911267195,0.9706181499932427
zcat15,nsgaii,10,0.9708191895156559,0.01601101278119532,0.9758048814965017,0.03013617443351293,0.06088306197443803,0.0109412741280428,0.4567334200051846,0.014189714087927952,0.45034590001159813
zcat16,gces,10,0.9759198990191446,0.002608132012510998,0.9764943489378892,0.00878641247436051,0.0009737241711761755,0.008593602775484543,0.9150135899981251,0.04263606854999011,0.9086726999958046
zcat16,nsgaii,10,0.9712006300208951,0.0023607896360971345,0.9716681671360432,0.014606507529857928,0.014067755332954887,0.01018578392281528,0.45553278000152203,0.019219064521535392,0.45574104999832343
zcat19,gces,10,0.9717390885583722,0.003315972874130306,0.9730865097063797,0.012429028444921955,0.0014791631335506067,0.011841544635477092,0.9350666999991517,0.030603823602950907,0.9307912999938708
zcat19,nsgaii,10,0.9686695908482673,0.003325170077625083,0.9683936058061686,0.013660462101756275,0.0014770126182525839,0.013762039103581111,0.47028788999887183,0.022903591428403865,0.4703039500018349
zcat20,gces,10,0.9777452900939139,0.0028861974464762566,0.9781437277221234,0.011227033376638867,0.0019533171343041828,0.010564365191841375,1.0493018899986055,0.054528618402620584,1.0725294000003487
zcat20,nsgaii,10,0.9779696138965477,0.0026723075969823772,0.9786874712591919,0.010081237141044523,0.0015732506707530336,0.009781169985055118,0.4617883800034178,0.021054229560500116,0.45792480000818614
zcat4,gces,10,0.9683023818792139,0.0019681706342043015,0.968283648673819,0.013855370245464002,0.0009746868326627785,0.013895645644553072,0.9969554100069218,0.04035985872985679,0.9904698500176892
zcat4,nsgaii,10,0.9646335644760604,0.002260551473991916,0.9640921325115761,0.015187183475635184,0.0010469842326929323,0.015431113869723572,0.4491943800036097,0.014553025958884339,0.44523884999216534
zcat8,gces,10,0.9455376704084405,0.006920732974324302,0.9448376594135387,0.011944734248400759,0.002981817833984915,0.011318475552861498,1.0566807199997128,0.1036135571574314,1.0053367000073195
zcat8,nsgaii,10,0.9366992453114896,0.007141230434480531,0.9373566377353906,0.01267383959452213,0.0015437390154184436,0.012495925804527188,0.5090464400069322,0.07845348427540669,0.47890109999570996
