problem,algorithm,algorithm_label,runs,hv_mean,hv_std,hv_median,igd_plus_mean,igd_plus_std,igd_plus_median,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_median
zcat1,nsgaii,nsgaii,21,0.9817278334092562,0.0007162560901753503,0.9817307523943808,0.007825542163304186,0.0003104723758130609,0.007839205899389287,2.459769600000332,0.09527643350457075,2.4499688000069
zcat1,gces_nocomp,gces-noComp,21,0.9861347293897103,0.0007827098995767307,0.9862918347156521,0.006019390320063749,0.0003459370402792492,0.005978741317947302,10.214728438101398,0.22227567221822203,10.301803900016239
zcat1,gces_nogeo,gces-noGeo,21,0.9834461536438963,0.0008680460330575076,0.9835636746011842,0.00746110850905981,0.0005585249819709181,0.007352343327468205,5.451944842855612,0.17537099582035884,5.448570999986259
zcat1,gces,gces,21,0.9834086942103346,0.001004172527181995,0.9834600502111897,0.007335215721646729,0.0004758137875987868,0.0072207997782721385,6.746002252382736,0.18059163738258782,6.731384899991099
zcat10,nsgaii,nsgaii,21,0.9464530800048602,0.002844809212275811,0.9460069677075087,0.0035046055096680235,0.00018324491319263723,0.0034967039304578387,2.1050957666607464,0.046682946130878915,2.098930100008147
zcat10,gces_nocomp,gces-noComp,21,0.9498826174757863,0.0030236588075499226,0.95027962580968,0.003332633744587792,0.00021842907778492435,0.003385291947991477,7.93211822857293,0.30189976245414923,7.983620599989081
zcat10,gces_nogeo,gces-noGeo,21,0.9555449017420206,0.0031485746026274266,0.9560721766902548,0.0036170420310730274,0.0007942578954503685,0.003440514955902749,4.7674880238094675,0.2318222084056004,4.782940100005362
zcat10,gces,gces,21,0.9555418292018765,0.002478016124376751,0.9554138922440139,0.0037230398286117903,0.0012227468156231578,0.0033918634644695056,5.780611604758416,0.2525410423484217,5.757360400020843
zcat11,nsgaii,nsgaii,21,0.9886834601809943,0.0005967916460592998,0.9887252165981997,0.0053418460467308405,0.00028181870656177705,0.005266336130421329,2.1039762095259946,0.09132841648233553,2.0934989000088535
zcat11,gces_nocomp,gces-noComp,21,0.9917246128948611,0.0004629673958616703,0.9917333166412403,0.003931346048424869,0.00019784853960763674,0.003917358336501958,9.192363966670763,0.18005126585053147,9.173676300008083
zcat11,gces_nogeo,gces-noGeo,21,0.9906336762850162,0.0005085017690908201,0.9906337349674758,0.004335679447546295,0.00023361108796895343,0.004330787639735565,4.5159699000027365,0.31462539783939053,4.432699299999513
zcat11,gces,gces,21,0.9907404083811172,0.0005803407601676122,0.9907278016383191,0.004279807705024112,0.00019575091686454326,0.004304082664368474,5.243605409517407,0.21683575825075063,5.202571400004672
zcat12,nsgaii,nsgaii,21,0.9883459546172098,0.0005206352204986949,0.9884279030613075,0.00547669065354034,0.0002636030188761541,0.005506940668152715,2.2332162666675037,0.14287921684477567,2.1864452000008896
zcat12,gces_nocomp,gces-noComp,21,0.9886734182816186,0.011993156726585423,0.9912700114403142,0.013471060610174822,0.04286049969495126,0.0041297022540112745,9.121486914288695,0.3700128637559356,9.020059100002982
zcat12,gces_nogeo,gces-noGeo,21,0.9877749246893087,0.011778461632217282,0.9904875783108723,0.013844658500161889,0.042766126768832395,0.0044389575604013645,4.778713461901394,0.14371118290473112,4.787467899994226
zcat12,gces,gces,21,0.988215207371604,0.010250288676039524,0.9905167775427358,0.012442126656797578,0.03651515909414276,0.004442348539483393,5.57467613809803,0.22062986923338226,5.570251099998131
zcat13,nsgaii,nsgaii,21,1.0153449263436505,0.000583068447989826,1.015344065920437,0.0041202811954980855,0.0003224726515172683,0.004037946881302547,2.1549568952385534,0.12841309242139695,2.1692123000102583
zcat13,gces_nocomp,gces-noComp,21,1.0176699626074464,0.00031489893078552735,1.017634836517473,0.0030080300949032446,0.00016655309236407313,0.0030049730265922663,9.594694033331637,0.187254752007819,9.599204800004372
zcat13,gces_nogeo,gces-noGeo,21,1.0169501885020684,0.0004561817128429121,1.0170258933732572,0.003147812006886323,0.00016898393107390018,0.0030900206625835373,5.241644233336307,0.10053984355531444,5.259631699998863
zcat13,gces,gces,21,1.0168682834131793,0.00037399381660077694,1.0169280908220506,0.0032028544982403004,0.0001504275558265422,0.003206320734623002,6.0580621999979485,0.15029399592815118,6.057869299984304
zcat14,nsgaii,nsgaii,21,0.9749612551148688,0.001342149655713982,0.9750552734135233,0.007530290027572856,0.0004045050451997996,0.007443509556653826,2.211143152379442,0.04483706229584311,2.2123042999883182
zcat14,gces_nocomp,gces-noComp,21,0.980746908649165,0.0010054009377309572,0.9807334726532776,0.005865036626832674,0.00029719374363581765,0.00590206120115449,9.001607490473404,0.17251407642677383,9.043238999991445
zcat14,gces_nogeo,gces-noGeo,21,0.9791007016527327,0.0009645347832479067,0.9788894263982009,0.0065306977548796104,0.0004802231587694491,0.006471079366437298,5.033920290476609,0.12181046626245282,5.022694700019201
zcat14,gces,gces,21,0.9793035863006171,0.0011589203379455558,0.9791215505808852,0.006423820629091715,0.00045342302730034054,0.006311829817794904,6.29041312856827,0.23266464742734838,6.2695394000038505
zcat15,nsgaii,nsgaii,21,0.988346613796721,0.0005206492434990442,0.9884285442297749,0.005492005889190978,0.00025558030841886243,0.005556378712173695,2.2429038761945863,0.07126579566823367,2.2716401000216138
zcat15,gces_nocomp,gces-noComp,21,0.9886739707598609,0.011994076703596175,0.9912707600499495,0.013316543504243258,0.04213276914878532,0.0041338539343641605,9.702436790478671,0.24616495242189493,9.680466799996793
zcat15,gces_nogeo,gces-noGeo,21,0.9877754660538869,0.011779395369942493,0.9904882043495291,0.013681335371701107,0.042038935162997434,0.004431344306129014,4.664500742854129,0.34047931586730157,4.706529299990507
zcat15,gces,gces,21,0.9882157465803957,0.010251108936162155,0.9905175126941947,0.012307151709851312,0.03586545581831796,0.004436105012941588,5.174405647617753,0.12248327414096331,5.167740999982925
zcat16,nsgaii,nsgaii,21,0.9865817322612398,0.0009234728103302853,0.9867928483709089,0.0049961576722627795,0.0003397593624031331,0.004939973088994233,2.125653638095606,0.12830287923131325,2.141230400011409
