problem,problem_label,n_var,n_obj,algorithm,algorithm_base,engine,seed,evaluations,time_ms,hv,indicator_igd_plus,archive_subset_hv,archive_subset_igd_plus,archive_mode,archive_execution_mode,archive_survival_path,archive_size,archive_subset_size,hybrid_status,hybrid_fallback_reason,hybrid_split_front_mode,hybrid_split_front_reason,hybrid_generations,hybrid_archive_reference_generations,hybrid_local_only_generations,hybrid_no_split_generations,output_dir
wfg1,WFG1,22,2,nsgaii_archive_passive,nsgaii,numpy,4,18000,11156.687065999904,3.6584611385294643,0.7637402404179098,3.6586970636916556,0.7637264146096893,passive,passive_archive,standard,128,80,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_passive/WFG1/nsgaii/numpy/seed_4
wfg1,WFG1,22,2,nsgaii_archive_passive,nsgaii,numpy,5,18000,11136.082646000432,3.9480258824151875,0.661790215542201,3.948145187220692,0.6618663010834811,passive,passive_archive,standard,189,80,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_passive/WFG1/nsgaii/numpy/seed_5
wfg1,WFG1,22,2,nsgaii_archive_passive,nsgaii,numpy,6,18000,11194.956657000148,3.8078908320023968,0.7210037167546336,3.807920454759654,0.7210037167546336,passive,passive_archive,standard,92,80,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_passive/WFG1/nsgaii/numpy/seed_6
wfg1,WFG1,22,2,nsgaii_archive_passive,nsgaii,numpy,7,18000,11181.63549900055,3.955985053331721,0.6731527413809492,3.9561046709196175,0.6731527413809492,passive,passive_archive,standard,109,80,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_passive/WFG1/nsgaii/numpy/seed_7
wfg1,WFG1,22,2,nsgaii_archive_passive,nsgaii,numpy,8,18000,11191.688928000076,3.623147767824879,0.7624244482114668,3.6228978882400673,0.7624845256712809,passive,passive_archive,standard,138,80,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_passive/WFG1/nsgaii/numpy/seed_8
wfg1,WFG1,22,2,nsgaii_archive_passive,nsgaii,numpy,9,18000,11094.920450000245,3.665335052386877,0.7436380723910899,3.6660848243143658,0.7436827350969171,passive,passive_archive,standard,204,80,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_passive/WFG1/nsgaii/numpy/seed_9
wfg1,WFG1,22,2,nsgaii_archive_hybrid,nsgaii,numpy,0,18000,11061.238012000103,3.8294140461628543,0.7101508772792939,3.8294140461628543,0.7101508772792939,hybrid_survival,hybrid_survival,hybrid,72,72,hybrid,,archive,,224,224,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_hybrid/WFG1/nsgaii/numpy/seed_0
wfg1,WFG1,22,2,nsgaii_archive_hybrid,nsgaii,numpy,1,18000,11256.136293000054,3.640843970314563,0.7698000782978459,3.6409334880256243,0.7698278420858309,hybrid_survival,hybrid_survival,hybrid,124,80,hybrid,,archive,,224,224,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_hybrid/WFG1/nsgaii/numpy/seed_1
wfg1,WFG1,22,2,nsgaii_archive_hybrid,nsgaii,numpy,2,18000,11280.344552000315,4.384065002900584,0.5842356478561617,4.3846867961038996,0.5842258798603994,hybrid_survival,hybrid_survival,hybrid,121,80,hybrid,,archive,,224,224,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_hybrid/WFG1/nsgaii/numpy/seed_2
wfg1,WFG1,22,2,nsgaii_archive_hybrid,nsgaii,numpy,3,18000,11183.219333000125,3.9668355352248525,0.6754299581354988,3.966899028598343,0.6754366612663375,hybrid_survival,hybrid_survival,hybrid,118,80,hybrid,,archive,,224,224,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_hybrid/WFG1/nsgaii/numpy/seed_3
wfg1,WFG1,22,2,nsgaii_archive_hybrid,nsgaii,numpy,4,18000,11253.527847000441,3.317376816024949,0.8395138483972632,3.3175140153524247,0.8395154171252973,hybrid_survival,hybrid_survival,hybrid,138,80,hybrid,,archive,,224,224,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_hybrid/WFG1/nsgaii/numpy/seed_4
wfg1,WFG1,22,2,nsgaii_archive_hybrid,nsgaii,numpy,5,18000,11271.108245000505,3.830555612400981,0.6989525986386204,3.831386325941553,0.6988678761375292,hybrid_survival,hybrid_survival,hybrid,169,80,hybrid,,archive,,224,224,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_hybrid/WFG1/nsgaii/numpy/seed_5
wfg1,WFG1,22,2,nsgaii_archive_hybrid,nsgaii,numpy,6,18000,11220.288656000776,3.696134324071804,0.7279632976641133,3.697059318629082,0.7280273844236997,hybrid_survival,hybrid_survival,hybrid,195,80,hybrid,,archive,,224,224,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_hybrid/WFG1/nsgaii/numpy/seed_6
wfg1,WFG1,22,2,nsgaii_archive_hybrid,nsgaii,numpy,7,18000,11147.88727099949,3.8510431640208145,0.7060537047203572,3.851310168995998,0.7060618779150859,hybrid_survival,hybrid_survival,hybrid,148,80,hybrid,,archive,,224,224,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_hybrid/WFG1/nsgaii/numpy/seed_7
wfg1,WFG1,22,2,nsgaii_archive_hybrid,nsgaii,numpy,8,18000,11142.599537000024,3.5280144054530727,0.7913824745409598,3.5281383069798204,0.7913824745409598,hybrid_survival,hybrid_survival,hybrid,93,80,hybrid,,archive,,224,224,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_hybrid/WFG1/nsgaii/numpy/seed_8
wfg1,WFG1,22,2,nsgaii_archive_hybrid,nsgaii,numpy,9,18000,11321.289159000116,3.9751497657466954,0.6672364557328208,3.975778811406651,0.6672163695734409,hybrid_survival,hybrid_survival,hybrid,152,80,hybrid,,archive,,224,224,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_hybrid/WFG1/nsgaii/numpy/seed_9
wfg4,WFG4,22,2,nsgaii_archive_off,nsgaii,numpy,0,18000,10912.03824600052,7.06721352980231,0.01037548314238258,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG4/nsgaii/numpy/seed_0
wfg4,WFG4,22,2,nsgaii_archive_off,nsgaii,numpy,1,18000,11014.257935999922,7.112560205746936,0.013587352462434931,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG4/nsgaii/numpy/seed_1
wfg4,WFG4,22,2,nsgaii_archive_off,nsgaii,numpy,2,18000,11016.00969500032,7.116715846034544,0.013187868282867166,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG4/nsgaii/numpy/seed_2
wfg4,WFG4,22,2,nsgaii_archive_off,nsgaii,numpy,3,18000,10923.303600000509,7.088996429718875,0.015523608493774368,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG4/nsgaii/numpy/seed_3
wfg4,WFG4,22,2,nsgaii_archive_off,nsgaii,numpy,4,18000,11128.756703000363,7.0768598909065075,0.01839116709083655,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG4/nsgaii/numpy/seed_4
wfg4,WFG4,22,2,nsgaii_archive_off,nsgaii,numpy,5,18000,11058.004429999528,7.0541613941180845,0.010869030782301918,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG4/nsgaii/numpy/seed_5
wfg4,WFG4,22,2,nsgaii_archive_off,nsgaii,numpy,6,18000,10829.213668999728,7.114764527976757,0.012826833646524642,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG4/nsgaii/numpy/seed_6
wfg4,WFG4,22,2,nsgaii_archive_off,nsgaii,numpy,7,18000,10989.854995999849,7.062996765075017,0.011973592212487847,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG4/nsgaii/numpy/seed_7
wfg4,WFG4,22,2,nsgaii_archive_off,nsgaii,numpy,8,18000,10997.467977999804,7.1358186089134765,0.013518978636677286,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG4/nsgaii/numpy/seed_8
wfg4,WFG4,22,2,nsgaii_archive_off,nsgaii,numpy,9,18000,10947.387819000141,7.098863700476192,0.013073329575860411,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG4/nsgaii/numpy/seed_9
wfg4,WFG4,22,2,nsgaii_archive_passive,nsgaii,numpy,0,18000,11317.085656000017,7.06721352980231,0.01037548314238258,7.0819636837316615,0.008064980268398176,passive,passive_archive,standard,807,80,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_passive/WFG4/nsgaii/numpy/seed_0
wfg4,WFG4,22,2,nsgaii_archive_passive,nsgaii,numpy,1,18000,11231.301339999845,7.112560205746936,0.013587352462434931,7.127430095070634,0.01121028230505134,passive,passive_archive,standard,658,80,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_passive/WFG4/nsgaii/numpy/seed_1
wfg4,WFG4,22,2,nsgaii_archive_passive,nsgaii,numpy,2,18000,11209.684333000041,7.116715846034544,0.013187868282867166,7.139450520171425,0.00897497987184542,passive,passive_archive,standard,772,80,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_passive/WFG4/nsgaii/numpy/seed_2
wfg4,WFG4,22,2,nsgaii_archive_passive,nsgaii,numpy,3,18000,11174.974317000306,7.088996429718875,0.015523608493774368,7.103798707711766,0.01254565087616106,passive,passive_archive,standard,648,80,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_passive/WFG4/nsgaii/numpy/seed_3
wfg4,WFG4,22,2,nsgaii_archive_passive,nsgaii,numpy,4,18000,11201.41226099986,7.0768598909065075,0.01839116709083655,7.099952269682046,0.01341578738711146,passive,passive_archive,standard,576,80,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_passive/WFG4/nsgaii/numpy/seed_4
