problem,n_common_seeds,nsgaii_hv_mean,gces_hv_mean,delta_hv_gces_minus_nsgaii,gces_hv_seed_wins,nsgaii_igd_plus_mean,gces_igd_plus_mean,delta_igd_plus_gces_minus_nsgaii,gces_igd_plus_seed_wins,gces_both_metric_seed_wins
zcat1,10,0.9645326792043126,0.9681925423784287,0.0036598631741160403,8,0.01515165952563136,0.014402798951867366,-0.0007488605737639934,8,8
zcat15,10,0.9708191895156559,0.9750176240055488,0.004198434489892877,4,0.03013617443351293,0.010768968743490396,-0.01936720569002253,4,4
zcat16,10,0.9712006300208951,0.9759198990191446,0.004719268998249482,9,0.014606507529857928,0.00878641247436051,-0.005820095055497418,8,8
zcat19,10,0.9686695908482673,0.9717390885583722,0.003069497710104896,8,0.013660462101756275,0.012429028444921955,-0.00123143365683432,8,8
