problem,algorithm,seed,engine,pop_size,max_evaluations,runtime_seconds,n_solutions,hypervolume,igd_plus
zcat1,nsgaii,0,numpy,80,8000,0.4705058000108693,80,0.9635020753436734,0.015501374766675596
zcat1,nsgaii,1,numpy,80,8000,0.49101289999089204,80,0.960449327801565,0.016989121689216152
zcat1,nsgaii,2,numpy,80,8000,0.4324431999993976,80,0.9643376118152398,0.01530566941994477
zcat1,nsgaii,3,numpy,80,8000,0.7127593000186607,80,0.9664334091978183,0.014353791225070791
zcat1,nsgaii,4,numpy,80,8000,0.7526743999915197,80,0.9638290264148187,0.015510983656945771
zcat1,nsgaii,5,numpy,80,8000,0.7900105000007898,80,0.966808260751053,0.014223324668137348
zcat1,nsgaii,6,numpy,80,8000,0.7271317999984603,80,0.9658652660952878,0.014460141135383126
zcat1,nsgaii,7,numpy,80,8000,0.7548958999977913,80,0.9668559386227288,0.014030836250254638
zcat1,nsgaii,8,numpy,80,8000,0.7349492000066675,80,0.9614580411157785,0.016469919777727573
zcat1,nsgaii,9,numpy,80,8000,0.7294702999934088,80,0.9657878348851633,0.014671432666957834
zcat1,gces,0,numpy,80,8000,1.5774549999914598,80,0.9663889570269228,0.014470840192432532
zcat1,gces,1,numpy,80,8000,1.6163227999932133,80,0.9705548755653941,0.01273784732581979
zcat1,gces,2,numpy,80,8000,1.5992697000037879,80,0.9656548706983215,0.014671256229856851
zcat1,gces,3,numpy,80,8000,1.5485279000131413,80,0.9640002259948391,0.015775128591767277
zcat1,gces,4,numpy,80,8000,1.5628321999975014,80,0.9717112842143583,0.012086206394077694
zcat1,gces,5,numpy,80,8000,1.5996462000184692,80,0.9710293070630536,0.014118252326069908
zcat1,gces,6,numpy,80,8000,1.4695165999874007,80,0.9686439756742405,0.013582248834560667
zcat1,gces,7,numpy,80,8000,1.4660499999881722,80,0.966523588806487,0.018497461284465385
zcat1,gces,8,numpy,80,8000,1.5014672999968752,80,0.968924001989029,0.014140345360482831
zcat1,gces,9,numpy,80,8000,1.6235143999801949,80,0.968494336751641,0.013948402979140727
zcat15,nsgaii,0,numpy,80,8000,0.7187239000049885,80,0.9264140054814551,0.20334745044029362
zcat15,nsgaii,1,numpy,80,8000,0.7271416999865323,80,0.9778846647279097,0.009733436527519837
zcat15,nsgaii,2,numpy,80,8000,0.7890828000090551,80,0.9748810534501937,0.011022980056614123
zcat15,nsgaii,3,numpy,80,8000,0.7714411999913864,80,0.9782846471013041,0.009906823761670923
zcat15,nsgaii,4,numpy,80,8000,0.7586440999875776,80,0.9749832466575147,0.011290033780477599
zcat15,nsgaii,5,numpy,80,8000,0.7296510000014678,80,0.9749538190622024,0.011337169621147464
zcat15,nsgaii,6,numpy,80,8000,0.7201012000150513,80,0.9788435808410457,0.009483094201998459
zcat15,nsgaii,7,numpy,80,8000,0.7290882999950554,80,0.9665827332553636,0.015102796380269401
zcat15,nsgaii,8,numpy,80,8000,0.7468081999977585,80,0.9766265163354888,0.010859568199471478
zcat15,nsgaii,9,numpy,80,8000,0.7232746000227053,80,0.9787376282440811,0.009278391365666378
zcat15,gces,0,numpy,80,8000,1.557897699996829,80,0.9706164614784983,0.012877209912290771
zcat15,gces,1,numpy,80,8000,1.4794669999973848,80,0.976979338250167,0.010086747385806824
zcat15,gces,2,numpy,80,8000,1.599068300012732,80,0.9811595560370048,0.008382876643659916
zcat15,gces,3,numpy,80,8000,1.42823680001311,80,0.9752340750780066,0.010641226146590924
zcat15,gces,4,numpy,80,8000,1.4734177000063937,80,0.9723129866842245,0.011455210795225877
zcat15,gces,5,numpy,80,8000,1.5435470000084024,80,0.9770885066774044,0.009430826100483507
zcat15,gces,6,numpy,80,8000,1.4099547000078019,80,0.9754095409125579,0.010430281868930587
zcat15,gces,7,numpy,80,8000,1.5008223000040743,80,0.9756393977419529,0.01078010950877034
zcat15,gces,8,numpy,80,8000,1.5069249999942258,80,0.9694877742696058,0.013370942309590603
zcat15,gces,9,numpy,80,8000,1.5148077000048943,80,0.9762486029260664,0.01023425676355461
zcat16,nsgaii,0,numpy,80,8000,0.733164899982512,80,0.9673666604156681,0.011362610154925682
zcat16,nsgaii,1,numpy,80,8000,0.7003269999986514,80,0.9708681176287387,0.010175596074857391
zcat16,nsgaii,2,numpy,80,8000,0.6961958000028972,80,0.9703426016023285,0.010195971770773166
zcat16,nsgaii,3,numpy,80,8000,0.7429282999946736,80,0.9682350592658678,0.011220172838228147
zcat16,nsgaii,4,numpy,80,8000,0.7112970000016503,80,0.9693130058970927,0.010777660288732714
zcat16,nsgaii,5,numpy,80,8000,0.8097907000046689,80,0.9725714627179108,0.009623547607689202
zcat16,nsgaii,6,numpy,80,8000,0.7939762000169139,80,0.9745338605111267,0.00896970060960552
zcat16,nsgaii,7,numpy,80,8000,0.7162309999985155,80,0.9730289660042968,0.054583897096113686
zcat16,nsgaii,8,numpy,80,8000,0.7462590000068303,80,0.9732783495225723,0.00950080839215147
zcat16,nsgaii,9,numpy,80,8000,0.7169582000060473,80,0.9724682166433478,0.009655110465502301
zcat16,gces,0,numpy,80,8000,1.3895459999912418,80,0.9715756802648052,0.010759083685787043
zcat16,gces,1,numpy,80,8000,1.4340178999991622,80,0.9781985476386726,0.007946187013010461
zcat16,gces,2,numpy,80,8000,1.4798294999927748,80,0.9797260130286575,0.007554949622609614
zcat16,gces,3,numpy,80,8000,1.519306099973619,80,0.9742635215296294,0.008814051620938153
zcat16,gces,4,numpy,80,8000,1.4690929999924265,80,0.9767150747791321,0.008290502095718445
zcat16,gces,5,numpy,80,8000,1.4408373000042047,80,0.9726291293488275,0.009753188207727479
zcat16,gces,6,numpy,80,8000,1.3567344000039157,80,0.9744862565764494,0.00901995411831929
zcat16,gces,7,numpy,80,8000,1.5078410999849439,80,0.9762736230966463,0.008373153930030934
zcat16,gces,8,numpy,80,8000,1.4469679000030737,80,0.9779737424060433,0.00937956255793644
zcat16,gces,9,numpy,80,8000,1.4836741000181064,80,0.9773574015225819,0.007973491891527233
zcat19,nsgaii,0,numpy,80,8000,0.8223876000265591,80,0.9623205279424251,0.01671190139999602
zcat19,nsgaii,1,numpy,80,8000,0.7737163999991026,80,0.9665940489424365,0.0146052864744783
zcat19,nsgaii,2,numpy,80,8000,0.7454426999902353,80,0.9664482614109129,0.014357550928329235
zcat19,nsgaii,3,numpy,80,8000,0.7955075000063516,80,0.9720664651721154,0.012314386952422814
zcat19,nsgaii,4,numpy,80,8000,0.7542757000192069,80,0.9713485034974653,0.012502636601062671
zcat19,nsgaii,5,numpy,80,8000,0.7878450000134762,80,0.969684880966537,0.013269675244542107
zcat19,nsgaii,6,numpy,80,8000,0.750689800013788,80,0.9740059844786234,0.011315172308673307
zcat19,nsgaii,7,numpy,80,8000,0.7548232999979518,80,0.9685815124383083,0.01376345482790675
zcat19,nsgaii,8,numpy,80,8000,0.8035150000068825,80,0.9682056991740289,0.013760623379255472
zcat19,nsgaii,9,numpy,80,8000,0.7642776999855414,80,0.9674400244598202,0.014003932900896071
zcat19,gces,0,numpy,80,8000,1.485147200000938,80,0.9658093357213681,0.015115251288378874
zcat19,gces,1,numpy,80,8000,1.5159888000052888,80,0.974195458512797,0.011082534789100469
zcat19,gces,2,numpy,80,8000,1.6455766999861225,80,0.9754355247121004,0.011264148869753698
zcat19,gces,3,numpy,80,8000,1.532152200001292,80,0.9663224193318827,0.014803750615357504
zcat19,gces,4,numpy,80,8000,1.5315831000043545,80,0.9732727240294147,0.011805532503403446
zcat19,gces,5,numpy,80,8000,1.4713476999895647,80,0.9741618516751935,0.011149061406456402
zcat19,gces,6,numpy,80,8000,1.4789891999971587,80,0.9702350315738959,0.013146826730353126
zcat19,gces,7,numpy,80,8000,1.5446601000148803,80,0.9716124154895349,0.012517674454485978
zcat19,gces,8,numpy,80,8000,1.6066680999938399,80,0.9729002953833445,0.011877556767550737
zcat19,gces,9,numpy,80,8000,1.5390522000088822,80,0.9734458291541901,0.011527947024379311
