direction,role,mode,source_host,target_host,problem,seed,host,time_ms,average_bounded_reward,hv,igd_plus
nsgaii_to_moead,source,source,nsgaii,moead,zdt1,0,nsgaii,16.85320003889501,0.2433870051015619,2.4137273705480107,1.1145872214391102
nsgaii_to_moead,target,cold,nsgaii,moead,zdt1,0,moead,820.1494999229908,0.30025743931558646,2.1512633533552306,0.6667448192859865
nsgaii_to_moead,target,warm,nsgaii,moead,zdt1,0,moead,277.50659990124404,0.3516642188741563,2.32551339791645,1.0111505873508957
nsgaii_to_moead,source,source,nsgaii,moead,zdt1,1,nsgaii,18.218799959868193,0.2401623692775464,2.809075127439585,0.6263428588074316
nsgaii_to_moead,target,cold,nsgaii,moead,zdt1,1,moead,257.77000002563,0.349006354361297,2.117098904225155,0.75096671388513
nsgaii_to_moead,target,warm,nsgaii,moead,zdt1,1,moead,266.79700007662177,0.36127872783665704,2.0348810533537165,1.2928503785051801
nsgaii_to_moead,source,source,nsgaii,moead,zdt1,2,nsgaii,24.829000001773238,0.23196182067684867,2.179435631820221,0.5514319035753106
nsgaii_to_moead,target,cold,nsgaii,moead,zdt1,2,moead,252.32410000171512,0.3612415604862983,1.5699733490462766,0.9393167915680745
nsgaii_to_moead,target,warm,nsgaii,moead,zdt1,2,moead,279.4867000775412,0.33202426888523223,1.4216054695998175,1.2251411876215033
nsgaii_to_moead,source,source,nsgaii,moead,zdt1,3,nsgaii,23.64190004300326,0.24528125054723077,1.9348051137723188,0.6123524214041213
nsgaii_to_moead,target,cold,nsgaii,moead,zdt1,3,moead,256.65519991889596,0.3370424370114588,1.1443951626285094,1.098172263137293
nsgaii_to_moead,target,warm,nsgaii,moead,zdt1,3,moead,271.8590999720618,0.3239951297339577,1.649689564374233,0.8117371212611729
nsgaii_to_moead,source,source,nsgaii,moead,zdt1,4,nsgaii,17.03400001861155,0.23346486725159915,2.2918677212205893,0.84970168033192
nsgaii_to_moead,target,cold,nsgaii,moead,zdt1,4,moead,274.5882000308484,0.3527790277551078,2.307937600604687,0.5438332746129197
nsgaii_to_moead,target,warm,nsgaii,moead,zdt1,4,moead,279.8630999168381,0.3485246336078981,1.537294583732604,0.8896335330014878
nsgaii_to_moead,source,source,nsgaii,moead,zdt1,5,nsgaii,24.847200023941696,0.23179366621327555,2.9894719984029665,0.6497762467039366
nsgaii_to_moead,target,cold,nsgaii,moead,zdt1,5,moead,265.7533000456169,0.3665107838510811,1.9165205364340647,0.7136514835032584
nsgaii_to_moead,target,warm,nsgaii,moead,zdt1,5,moead,285.1598000852391,0.3228268131510995,2.3466320433339867,1.1956789926658358
nsgaii_to_moead,source,source,nsgaii,moead,zdt1,6,nsgaii,25.82889993209392,0.2432777731028037,2.6753513693707722,0.8740333985584494
nsgaii_to_moead,target,cold,nsgaii,moead,zdt1,6,moead,293.8803998986259,0.3487070510903747,2.277104894954687,1.0746312249242693
nsgaii_to_moead,target,warm,nsgaii,moead,zdt1,6,moead,296.1941999383271,0.37826948284592626,2.5954977413041815,0.9344068702293332
nsgaii_to_moead,source,source,nsgaii,moead,zdt1,7,nsgaii,21.76939998753369,0.2550006030653697,1.6482486463674197,0.7126570300386472
nsgaii_to_moead,target,cold,nsgaii,moead,zdt1,7,moead,270.4554999945685,0.36387974709852566,1.0120541268972871,0.7930617393620231
nsgaii_to_moead,target,warm,nsgaii,moead,zdt1,7,moead,277.7586999582127,0.3345978634263124,0.963391288603538,1.0933320010097156
nsgaii_to_moead,source,source,nsgaii,moead,zdt1,8,nsgaii,19.428699975833297,0.23147151661065932,1.6485643407102841,0.8225446727279717
nsgaii_to_moead,target,cold,nsgaii,moead,zdt1,8,moead,288.171699969098,0.33478660426914997,0.9479640007317064,1.2416108010873974
nsgaii_to_moead,target,warm,nsgaii,moead,zdt1,8,moead,262.3722000280395,0.2992948857402064,1.4317599442719573,0.9526745843140476
nsgaii_to_moead,source,source,nsgaii,moead,zdt1,9,nsgaii,25.109300040639937,0.24052613848769855,2.1903718428311523,0.5800142517653413
nsgaii_to_moead,target,cold,nsgaii,moead,zdt1,9,moead,291.3711000001058,0.3428064604409947,1.613871207143952,0.6282573804606896
nsgaii_to_moead,target,warm,nsgaii,moead,zdt1,9,moead,273.9409999921918,0.3280820400627284,1.347326552525268,1.1441481582449247
nsgaii_to_moead,source,source,nsgaii,moead,zdt2,0,nsgaii,18.39859993197024,0.24061873416726087,1.2842688289767032,1.7511338487137789
nsgaii_to_moead,target,cold,nsgaii,moead,zdt2,0,moead,271.48760005366057,0.3352824676209727,1.2522387157407584,1.8173307890118338
nsgaii_to_moead,target,warm,nsgaii,moead,zdt2,0,moead,286.9466000702232,0.36177359852956315,1.0481381993633427,1.171923886084734
nsgaii_to_moead,source,source,nsgaii,moead,zdt2,1,nsgaii,22.49639993533492,0.23509965037398223,2.289073378591248,1.469739238188087
nsgaii_to_moead,target,cold,nsgaii,moead,zdt2,1,moead,269.0286999568343,0.3661556289358381,1.4758566154842025,1.4216089572958261
nsgaii_to_moead,target,warm,nsgaii,moead,zdt2,1,moead,310.2498999796808,0.3052064994120639,2.018761666649873,1.8033134723967164
nsgaii_to_moead,source,source,nsgaii,moead,zdt2,2,nsgaii,28.066399972885847,0.23230706970116138,1.5166816611022278,1.273800209724066
nsgaii_to_moead,target,cold,nsgaii,moead,zdt2,2,moead,290.41800007689744,0.319066635037316,0.7000356790745565,1.5619673136970298
nsgaii_to_moead,target,warm,nsgaii,moead,zdt2,2,moead,303.39090002235025,0.30194146593739163,1.0567639896746348,1.8205458746874803
nsgaii_to_moead,source,source,nsgaii,moead,zdt2,3,nsgaii,22.257199976593256,0.25253079368648085,1.784036605797338,1.2693919956911022
nsgaii_to_moead,target,cold,nsgaii,moead,zdt2,3,moead,276.4501000056043,0.29929252103263443,0.532672622682312,2.3632563966917823
nsgaii_to_moead,target,warm,nsgaii,moead,zdt2,3,moead,313.3173000533134,0.32875346366735025,1.385995400965843,1.6214602922851158
nsgaii_to_moead,source,source,nsgaii,moead,zdt2,4,nsgaii,25.349700008518994,0.24856691640452688,2.5157877842186234,1.1931760641929772
nsgaii_to_moead,target,cold,nsgaii,moead,zdt2,4,moead,302.1402999293059,0.36322957778703074,1.7237530321006835,1.1090349297581272
nsgaii_to_moead,target,warm,nsgaii,moead,zdt2,4,moead,284.2114999657497,0.346735685342184,2.0989674030397936,1.7133981912396388
nsgaii_to_moead,source,source,nsgaii,moead,zdt2,5,nsgaii,17.46210001874715,0.24620108484818562,2.7187758832446716,0.9015575629654172
nsgaii_to_moead,target,cold,nsgaii,moead,zdt2,5,moead,276.8192000221461,0.3449262117373446,1.5360951493255626,1.438753342744944
nsgaii_to_moead,target,warm,nsgaii,moead,zdt2,5,moead,254.97300003189594,0.3248227397114648,1.6737715228157333,1.9447187255039444
nsgaii_to_moead,source,source,nsgaii,moead,zdt2,6,nsgaii,29.20710004400462,0.25250400361472547,1.1212839061099078,1.458811470195015
nsgaii_to_moead,target,cold,nsgaii,moead,zdt2,6,moead,336.5662000142038,0.3194393963825678,1.3632745316279098,1.233067821864494
nsgaii_to_moead,target,warm,nsgaii,moead,zdt2,6,moead,283.36560004390776,0.30425829959881023,0.9493658326386492,1.5769883755527514
nsgaii_to_moead,source,source,nsgaii,moead,zdt2,7,nsgaii,20.63580008689314,0.2548429515972185,2.5397917231258726,1.1610547811044898
nsgaii_to_moead,target,cold,nsgaii,moead,zdt2,7,moead,282.5314999790862,0.3390327091559779,2.7648984731769644,1.1892699131531521
nsgaii_to_moead,target,warm,nsgaii,moead,zdt2,7,moead,277.07219996955246,0.33166911108008323,1.9229402154218553,1.2611031004414306
nsgaii_to_moead,source,source,nsgaii,moead,zdt2,8,nsgaii,20.460600033402443,0.25172757830892306,1.4316069058016263,1.370297069529882
nsgaii_to_moead,target,cold,nsgaii,moead,zdt2,8,moead,273.0049000820145,0.30111263420949863,0.952404814939107,1.8827398332472458
nsgaii_to_moead,target,warm,nsgaii,moead,zdt2,8,moead,264.9083000142127,0.33810219318481727,1.268400379217866,1.5954711384483777
nsgaii_to_moead,source,source,nsgaii,moead,zdt2,9,nsgaii,17.604000051505864,0.23955906701662114,1.2261063652672455,1.4623560310431565
nsgaii_to_moead,target,cold,nsgaii,moead,zdt2,9,moead,297.45299997739494,0.339352228256008,1.8285832055151607,0.7538451010788505
nsgaii_to_moead,target,warm,nsgaii,moead,zdt2,9,moead,274.8859999701381,0.3437755053900674,0.957678166688139,1.1944183109912125
nsgaii_to_moead,source,source,nsgaii,moead,zdt3,0,nsgaii,15.907999943010509,0.24351928318027546,2.523110360625816,0.4462541041304583
nsgaii_to_moead,target,cold,nsgaii,moead,zdt3,0,moead,280.5696000577882,0.3462062282125432,1.473175306531859,0.9156790131445811
nsgaii_to_moead,target,warm,nsgaii,moead,zdt3,0,moead,278.25079998001456,0.30668747783772426,1.7238907523756994,0.6640810461079429
nsgaii_to_moead,source,source,nsgaii,moead,zdt3,1,nsgaii,19.440599950030446,0.2376361170331525,1.6993129532213123,0.7233100019484374
nsgaii_to_moead,target,cold,nsgaii,moead,zdt3,1,moead,296.49700003210455,0.311113887497034,1.679827640698575,0.9296130462318327
nsgaii_to_moead,target,warm,nsgaii,moead,zdt3,1,moead,287.9878000821918,0.30012698763505274,1.0657228037427142,1.1303292015420476
nsgaii_to_moead,source,source,nsgaii,moead,zdt3,2,nsgaii,21.62090002093464,0.23149994315348696,2.127530851269535,0.5457328005805875
nsgaii_to_moead,target,cold,nsgaii,moead,zdt3,2,moead,282.0992999477312,0.2785411662265973,1.6437821959185863,1.0659434068801896
nsgaii_to_moead,target,warm,nsgaii,moead,zdt3,2,moead,277.2975000552833,0.3053560397837593,1.3423720548962412,0.7256900230316232
nsgaii_to_moead,source,source,nsgaii,moead,zdt3,3,nsgaii,15.748600009828806,0.22818968993571595,2.4760176013576003,0.5701102352171431
nsgaii_to_moead,target,cold,nsgaii,moead,zdt3,3,moead,274.84000008553267,0.30681769568984524,1.5828621005434207,1.095895729490915
nsgaii_to_moead,target,warm,nsgaii,moead,zdt3,3,moead,263.52669997140765,0.3063127867869516,1.606288894514424,1.0663703072212352
nsgaii_to_moead,source,source,nsgaii,moead,zdt3,4,nsgaii,18.504799925722182,0.24974542167242259,1.9793845044490888,0.5987120708954126
nsgaii_to_moead,target,cold,nsgaii,moead,zdt3,4,moead,261.33559993468225,0.32548686509973934,1.9374158392614138,0.7925135932990303
nsgaii_to_moead,target,warm,nsgaii,moead,zdt3,4,moead,264.4340000115335,0.33529727219203925,1.3084629574150368,0.6755602447655402
nsgaii_to_moead,source,source,nsgaii,moead,zdt3,5,nsgaii,18.750600051134825,0.23679231417120583,2.3309637898591196,0.7787643692482218
nsgaii_to_moead,target,cold,nsgaii,moead,zdt3,5,moead,302.40339995361865,0.2770618230086695,1.8352857691923385,0.7855327674650477
nsgaii_to_moead,target,warm,nsgaii,moead,zdt3,5,moead,288.9484000625089,0.271220357299542,1.6380459678650747,1.1775431083374592
nsgaii_to_moead,source,source,nsgaii,moead,zdt3,6,nsgaii,19.17639991734177,0.2351880831153031,2.3829719167245074,0.43401319316541404
nsgaii_to_moead,target,cold,nsgaii,moead,zdt3,6,moead,289.3859000178054,0.3225223008093847,1.8562281927624655,0.9436467476573326
nsgaii_to_moead,target,warm,nsgaii,moead,zdt3,6,moead,311.24460010323673,0.32940400487326144,1.1678217525804717,0.8615943257403189
nsgaii_to_moead,source,source,nsgaii,moead,zdt3,7,nsgaii,16.79420005530119,0.23616439721530014,1.8956650391269507,0.8458935456971957
nsgaii_to_moead,target,cold,nsgaii,moead,zdt3,7,moead,288.41459995601326,0.308639361829921,1.8944812474698807,0.686040468104732
nsgaii_to_moead,target,warm,nsgaii,moead,zdt3,7,moead,287.26160002406687,0.34245926078957506,1.3080630473148425,0.9059185689988662
nsgaii_to_moead,source,source,nsgaii,moead,zdt3,8,nsgaii,21.85080002527684,0.23752112067285283,2.1838635421025048,0.45328302747795535
nsgaii_to_moead,target,cold,nsgaii,moead,zdt3,8,moead,270.836399984546,0.3069863401830588,1.9906850590786078,0.5317472741340925
nsgaii_to_moead,target,warm,nsgaii,moead,zdt3,8,moead,280.8055999921635,0.2874201740688463,1.8300250990555227,0.7343774539859409
nsgaii_to_moead,source,source,nsgaii,moead,zdt3,9,nsgaii,15.688200015574694,0.2393995565154744,1.9172732812820945,0.48709001403480123
nsgaii_to_moead,target,cold,nsgaii,moead,zdt3,9,moead,295.43769999872893,0.330203382006208,1.3671661189559225,0.9160759558848967
nsgaii_to_moead,target,warm,nsgaii,moead,zdt3,9,moead,282.4481000425294,0.3102491044380361,1.3871690702215438,0.9826680661930037
nsgaii_to_moead,source,source,nsgaii,moead,dtlz2,0,nsgaii,25.503300013951957,0.18277621784858133,6.3040370999616915,0.3683599781280381
nsgaii_to_moead,target,cold,nsgaii,moead,dtlz2,0,moead,277.6109999977052,0.22896084048226137,5.558706536228348,0.44706299098964414
nsgaii_to_moead,target,warm,nsgaii,moead,dtlz2,0,moead,269.58409999497235,0.2417032847263715,6.254596411887769,0.3408882793306461
nsgaii_to_moead,source,source,nsgaii,moead,dtlz2,1,nsgaii,20.496799959801137,0.16857191911693573,4.043455603070223,0.31112742979450386
nsgaii_to_moead,target,cold,nsgaii,moead,dtlz2,1,moead,257.61560001410544,0.24741912201747215,3.7828021333956867,0.38488083582079036
nsgaii_to_moead,target,warm,nsgaii,moead,dtlz2,1,moead,276.42799995373935,0.21767732890451646,4.012917521243444,0.29856329741185356
nsgaii_to_moead,source,source,nsgaii,moead,dtlz2,2,nsgaii,15.10800002142787,0.17035675954095003,8.322248787028036,0.414881722642554
nsgaii_to_moead,target,cold,nsgaii,moead,dtlz2,2,moead,281.2747999560088,0.24432007275711656,8.5945030030956,0.339451077115036
nsgaii_to_moead,target,warm,nsgaii,moead,dtlz2,2,moead,288.28630002681166,0.2714440715112555,8.794271597805045,0.26518646415682084
nsgaii_to_moead,source,source,nsgaii,moead,dtlz2,3,nsgaii,20.916300010867417,0.19157741183063898,4.48160476874466,0.23274811871854334
nsgaii_to_moead,target,cold,nsgaii,moead,dtlz2,3,moead,247.58740002289414,0.27815311956914524,4.072795712042998,0.28047836701545276
nsgaii_to_moead,target,warm,nsgaii,moead,dtlz2,3,moead,274.09049996640533,0.2850295805692436,4.1611527404365605,0.2729468238934438
nsgaii_to_moead,source,source,nsgaii,moead,dtlz2,4,nsgaii,15.40549995843321,0.18675871346970585,10.043453778514001,0.2969316245938713
nsgaii_to_moead,target,cold,nsgaii,moead,dtlz2,4,moead,278.54220010340214,0.27586452351790103,9.361153883007647,0.3343541280814287
nsgaii_to_moead,target,warm,nsgaii,moead,dtlz2,4,moead,267.8691999753937,0.25445397332917064,9.492291950361073,0.32230894562912327
nsgaii_to_moead,source,source,nsgaii,moead,dtlz2,5,nsgaii,17.870699986815453,0.18276206690407076,5.448855471731934,0.30964998461208904
nsgaii_to_moead,target,cold,nsgaii,moead,dtlz2,5,moead,256.3995999516919,0.26883050541562875,5.233384643880518,0.312261430584955
nsgaii_to_moead,target,warm,nsgaii,moead,dtlz2,5,moead,269.59429995622486,0.26164544847661225,5.231131782718668,0.28138158891979237
nsgaii_to_moead,source,source,nsgaii,moead,dtlz2,6,nsgaii,19.953900016844273,0.16477357980899354,6.335633370073973,0.39173412080791015
nsgaii_to_moead,target,cold,nsgaii,moead,dtlz2,6,moead,256.6582999425009,0.27275204863305647,6.744254969877375,0.2173728234452805
nsgaii_to_moead,target,warm,nsgaii,moead,dtlz2,6,moead,289.6680000703782,0.28077518198607476,6.55298867550674,0.28468418909874926
nsgaii_to_moead,source,source,nsgaii,moead,dtlz2,7,nsgaii,15.856700018048286,0.17286059300388115,4.995537189439546,0.30911580527833155
nsgaii_to_moead,target,cold,nsgaii,moead,dtlz2,7,moead,262.61279999744147,0.2269987154783668,4.6786775091523936,0.3050209072295226
nsgaii_to_moead,target,warm,nsgaii,moead,dtlz2,7,moead,258.1602999707684,0.23582825603103927,4.847766765596357,0.2968183288553636
nsgaii_to_moead,source,source,nsgaii,moead,dtlz2,8,nsgaii,17.17169990297407,0.19169676573291647,5.930801897047589,0.21951361445897724
nsgaii_to_moead,target,cold,nsgaii,moead,dtlz2,8,moead,252.2693999344483,0.23940843021059197,5.400806857188889,0.2896802982656672
nsgaii_to_moead,target,warm,nsgaii,moead,dtlz2,8,moead,279.3230999959633,0.2719388160181182,5.351196975639549,0.29471042642160983
nsgaii_to_moead,source,source,nsgaii,moead,dtlz2,9,nsgaii,15.21019998472184,0.17518526816516136,4.591309050532862,0.2615916803726536
nsgaii_to_moead,target,cold,nsgaii,moead,dtlz2,9,moead,243.8935999525711,0.2471002603347661,4.442788962624419,0.2557974321391808
nsgaii_to_moead,target,warm,nsgaii,moead,dtlz2,9,moead,280.9617000166327,0.23779422717826065,4.501452005120295,0.2450080654693911
moead_to_nsgaii,source,source,moead,nsgaii,zdt1,0,moead,273.8390000304207,0.30025743931558646,2.1512633533552306,0.6667448192859865
moead_to_nsgaii,target,cold,moead,nsgaii,zdt1,0,nsgaii,16.530000022612512,0.2433870051015619,2.4137273705480107,1.1145872214391102
moead_to_nsgaii,target,warm,moead,nsgaii,zdt1,0,nsgaii,17.440799972973764,0.2516008945668442,2.661692051954849,0.6723682235985216
moead_to_nsgaii,source,source,moead,nsgaii,zdt1,1,moead,264.5737000275403,0.349006354361297,2.117098904225155,0.75096671388513
moead_to_nsgaii,target,cold,moead,nsgaii,zdt1,1,nsgaii,19.47699999436736,0.2401623692775464,2.809075127439585,0.6263428588074316
moead_to_nsgaii,target,warm,moead,nsgaii,zdt1,1,nsgaii,17.215900006704032,0.2424958915588436,2.759825970254567,0.5773767154281629
moead_to_nsgaii,source,source,moead,nsgaii,zdt1,2,moead,276.2128999456763,0.3612415604862983,2.529210051608938,0.9393167915680745
moead_to_nsgaii,target,cold,moead,nsgaii,zdt1,2,nsgaii,22.0714999595657,0.23196182067684867,3.2314622027565423,0.5514319035753106
moead_to_nsgaii,target,warm,moead,nsgaii,zdt1,2,nsgaii,18.22500000707805,0.2510275603156711,3.013998185947695,0.7320607885169218
moead_to_nsgaii,source,source,moead,nsgaii,zdt1,3,moead,278.4915999509394,0.3370424370114588,1.1443951626285094,1.098172263137293
moead_to_nsgaii,target,cold,moead,nsgaii,zdt1,3,nsgaii,19.181599956937134,0.24528125054723077,1.9348051137723188,0.6123524214041213
moead_to_nsgaii,target,warm,moead,nsgaii,zdt1,3,nsgaii,17.023300053551793,0.23583758549837602,1.8178934954375883,0.6087463058421406
moead_to_nsgaii,source,source,moead,nsgaii,zdt1,4,moead,273.9290000172332,0.3527790277551078,2.0446796870076476,0.5438332746129197
moead_to_nsgaii,target,cold,moead,nsgaii,zdt1,4,nsgaii,17.83900009468198,0.23346486725159915,1.9811637944679548,0.84970168033192
moead_to_nsgaii,target,warm,moead,nsgaii,zdt1,4,nsgaii,18.65490002091974,0.22558180358882954,1.790556782791822,0.8074369113910009
moead_to_nsgaii,source,source,moead,nsgaii,zdt1,5,moead,264.4417999545112,0.3665107838510811,1.9165205364340647,0.7136514835032584
moead_to_nsgaii,target,cold,moead,nsgaii,zdt1,5,nsgaii,21.17809990886599,0.23179366621327555,2.9894719984029665,0.6497762467039366
moead_to_nsgaii,target,warm,moead,nsgaii,zdt1,5,nsgaii,19.09169997088611,0.24179252588464115,3.508821694719809,0.39663996473896074
moead_to_nsgaii,source,source,moead,nsgaii,zdt1,6,moead,260.46599994879216,0.3487070510903747,3.0084453515438647,1.0746312249242693
moead_to_nsgaii,target,cold,moead,nsgaii,zdt1,6,nsgaii,22.283799946308136,0.2432777731028037,3.4344324289405335,0.8740333985584494
moead_to_nsgaii,target,warm,moead,nsgaii,zdt1,6,nsgaii,19.830300007015467,0.24231771191509838,3.229354186466215,1.1500383139184605
moead_to_nsgaii,source,source,moead,nsgaii,zdt1,7,moead,255.34499995410442,0.36387974709852566,2.525056434518659,0.7930617393620231
moead_to_nsgaii,target,cold,moead,nsgaii,zdt1,7,nsgaii,21.14229998551309,0.2550006030653697,3.1612509539887923,0.7126570300386472
moead_to_nsgaii,target,warm,moead,nsgaii,zdt1,7,nsgaii,20.834000082686543,0.24973700247468222,2.7896497723481577,0.9629806240719494
moead_to_nsgaii,source,source,moead,nsgaii,zdt1,8,moead,260.25719998870045,0.33478660426914997,1.0803196427321067,1.2416108010873974
moead_to_nsgaii,target,cold,moead,nsgaii,zdt1,8,nsgaii,20.368500030599535,0.23147151661065932,1.7925142287977485,0.8225446727279717
moead_to_nsgaii,target,warm,moead,nsgaii,zdt1,8,nsgaii,15.710100065916777,0.2450201907278079,1.4190683645070687,0.8987654663874514
moead_to_nsgaii,source,source,moead,nsgaii,zdt1,9,moead,263.4272000286728,0.3428064604409947,1.613871207143952,0.6282573804606896
moead_to_nsgaii,target,cold,moead,nsgaii,zdt1,9,nsgaii,16.789999906904995,0.24052613848769855,2.1903718428311523,0.5800142517653413
moead_to_nsgaii,target,warm,moead,nsgaii,zdt1,9,nsgaii,17.741599935106933,0.22431594019304596,1.780991634505353,0.7507017752446528
moead_to_nsgaii,source,source,moead,nsgaii,zdt2,0,moead,264.5334000699222,0.3352824676209727,0.8949515226129154,1.8173307890118338
moead_to_nsgaii,target,cold,moead,nsgaii,zdt2,0,nsgaii,20.616899942979217,0.24061873416726087,0.9269816358488606,1.7511338487137789
moead_to_nsgaii,target,warm,moead,nsgaii,zdt2,0,nsgaii,19.333000062033534,0.2399910796642463,0.938278106056985,1.7749271499755757
moead_to_nsgaii,source,source,moead,nsgaii,zdt2,1,moead,275.0825999537483,0.3661556289358381,1.4758566154842025,1.4216089572958261
moead_to_nsgaii,target,cold,moead,nsgaii,zdt2,1,nsgaii,24.260499980300665,0.23509965037398223,2.289073378591248,1.469739238188087
moead_to_nsgaii,target,warm,moead,nsgaii,zdt2,1,nsgaii,19.842699985019863,0.23695059522626577,2.7173713437375286,1.1489805197905714
moead_to_nsgaii,source,source,moead,nsgaii,zdt2,2,moead,302.40380007307976,0.319066635037316,0.7000356790745565,1.5619673136970298
moead_to_nsgaii,target,cold,moead,nsgaii,zdt2,2,nsgaii,21.132299909368157,0.23230706970116138,1.5166816611022278,1.273800209724066
moead_to_nsgaii,target,warm,moead,nsgaii,zdt2,2,nsgaii,24.734699982218444,0.2532161663505985,0.9302146236578464,1.5941089545497538
moead_to_nsgaii,source,source,moead,nsgaii,zdt2,3,moead,297.15200001373887,0.29929252103263443,1.136548125283204,2.3632563966917823
moead_to_nsgaii,target,cold,moead,nsgaii,zdt2,3,nsgaii,19.164099940098822,0.25253079368648085,2.38791210839823,1.2693919956911022
moead_to_nsgaii,target,warm,moead,nsgaii,zdt2,3,nsgaii,22.816999931819737,0.24340751121170884,1.9906466757254875,0.7760651137263098
moead_to_nsgaii,source,source,moead,nsgaii,zdt2,4,moead,304.81080000754446,0.36322957778703074,1.7237530321006835,1.1090349297581272
moead_to_nsgaii,target,cold,moead,nsgaii,zdt2,4,nsgaii,19.354999996721745,0.24856691640452688,2.5157877842186234,1.1931760641929772
moead_to_nsgaii,target,warm,moead,nsgaii,zdt2,4,nsgaii,20.63290006481111,0.2494106859492706,2.1071359586205287,1.2716442577197395
moead_to_nsgaii,source,source,moead,nsgaii,zdt2,5,moead,260.1252000313252,0.3449262117373446,1.5360951493255626,1.438753342744944
moead_to_nsgaii,target,cold,moead,nsgaii,zdt2,5,nsgaii,16.874900087714195,0.24620108484818562,2.7187758832446716,0.9015575629654172
moead_to_nsgaii,target,warm,moead,nsgaii,zdt2,5,nsgaii,18.364000017754734,0.23743329128475768,2.4905329660771156,0.8899502533431635
