direction,source_host,target_host,problem,seed,hv_delta_warm_vs_cold,igd_plus_delta_warm_vs_cold,runtime_ratio_warm_vs_cold,reward_delta_warm_vs_cold,outcome
nsgaii_to_moead,nsgaii,moead,zdt1,0,0.1742500445612194,0.3444057680649092,0.3383609938520976,0.051406779558569815,win
nsgaii_to_moead,nsgaii,moead,zdt1,1,-0.08221785087143862,0.5418836646200501,1.0350195913026894,0.012272373475360032,loss
nsgaii_to_moead,nsgaii,moead,zdt1,2,-0.14836787944645913,0.2858243960534288,1.1076496461322618,-0.029217291601066064,loss
nsgaii_to_moead,nsgaii,moead,zdt1,3,0.5052944017457237,-0.28643514187612007,1.0592386207564481,-0.013047307277501086,win
nsgaii_to_moead,nsgaii,moead,zdt1,4,-0.7706430168720828,0.3458002583885681,1.0192102205608147,-0.0042543941472096836,loss
nsgaii_to_moead,nsgaii,moead,zdt1,5,0.43011150689992195,0.4820275091625774,1.0730244931532027,-0.04368397069998159,win
nsgaii_to_moead,nsgaii,moead,zdt1,6,0.3183928463494947,-0.1402243546949361,1.0078732710330438,0.029562431755551566,win
nsgaii_to_moead,nsgaii,moead,zdt1,7,-0.04866283829374918,0.30027026164769255,1.0270033331316641,-0.029281883672213238,loss
nsgaii_to_moead,nsgaii,moead,zdt1,8,0.4837959435402509,-0.2889362167733498,0.9104717779579845,-0.03549171852894356,win
nsgaii_to_moead,nsgaii,moead,zdt1,9,-0.26654465461868404,0.5158907777842351,0.9401790362602617,-0.014724420378266323,loss
nsgaii_to_moead,nsgaii,moead,zdt2,0,-0.20410051637741566,-0.6454069029270997,1.056941827227126,0.026491130908590454,loss
nsgaii_to_moead,nsgaii,moead,zdt2,1,0.5429050511656706,0.3817045151008902,1.153222314308698,-0.06094912952377418,win
nsgaii_to_moead,nsgaii,moead,zdt2,2,0.35672831060007826,0.2585785609904505,1.044669751675233,-0.017125169099924398,win
nsgaii_to_moead,nsgaii,moead,zdt2,3,0.8533227782835311,-0.7417961044066665,1.1333593297559366,0.029460942634715825,win
nsgaii_to_moead,nsgaii,moead,zdt2,4,0.37521437093911003,0.6043632614815115,0.9406606799299823,-0.016493892444846725,win
nsgaii_to_moead,nsgaii,moead,zdt2,5,0.1376763734901707,0.5059653827590005,0.9210813412201811,-0.02010347202587981,win
nsgaii_to_moead,nsgaii,moead,zdt2,6,-0.41390869898926064,0.34392055368825747,0.8419312457161449,-0.015181096783757564,loss
nsgaii_to_moead,nsgaii,moead,zdt2,7,-0.841958257755109,0.07183318728827848,0.9806771987904432,-0.007363598075894651,loss
nsgaii_to_moead,nsgaii,moead,zdt2,8,0.31599556427875897,-0.2872686947988681,0.9703426566139676,0.03698955897531864,win
nsgaii_to_moead,nsgaii,moead,zdt2,9,-0.8709050388270217,0.44057320991236204,0.9241325520032683,0.004423277134059378,loss
nsgaii_to_moead,nsgaii,moead,zdt3,0,0.25071544584384053,-0.25159796703663817,0.9917353837432993,-0.039518750374818945,win
nsgaii_to_moead,nsgaii,moead,zdt3,1,-0.6141048369558608,0.20071615531021492,0.9713008902316336,-0.010986899861981259,loss
nsgaii_to_moead,nsgaii,moead,zdt3,2,-0.3014101410223451,-0.3402533838485664,0.9829783346029657,0.026814873557162,loss
nsgaii_to_moead,nsgaii,moead,zdt3,3,0.023426793971003335,-0.029525422269679913,0.9588367773591755,-0.0005049089028936193,win
nsgaii_to_moead,nsgaii,moead,zdt3,4,-0.628952881846377,-0.11695334853349004,1.0118560199131907,0.009810407092299911,loss
nsgaii_to_moead,nsgaii,moead,zdt3,5,-0.19723980132726382,0.3920103408724115,0.9555064529923492,-0.005841465709127469,loss
nsgaii_to_moead,nsgaii,moead,zdt3,6,-0.6884064401819938,-0.08205242191701367,1.0755347792829104,0.006881704063876726,loss
nsgaii_to_moead,nsgaii,moead,zdt3,7,-0.5864182001550382,0.2198781008941343,0.9960022830601425,0.03381989895965404,loss
nsgaii_to_moead,nsgaii,moead,zdt3,8,-0.16065996002308514,0.2026301798518484,1.0368089370859541,-0.019566166114212524,loss
nsgaii_to_moead,nsgaii,moead,zdt3,9,0.020002951265621238,0.06659211030810708,0.9560326933351586,-0.01995427756817192,win
nsgaii_to_moead,nsgaii,moead,dtlz2,0,0.6958898756594207,-0.10617471165899806,0.9710857999041853,0.01274244424411014,win
nsgaii_to_moead,nsgaii,moead,dtlz2,1,0.2301153878477571,-0.0863175384089368,1.073025080540945,-0.02974179311295569,win
nsgaii_to_moead,nsgaii,moead,dtlz2,2,0.19976859470944497,-0.07426461295821518,1.0249275799748128,0.027123998754138928,win
nsgaii_to_moead,nsgaii,moead,dtlz2,3,0.08835702839356241,-0.007531543122008932,1.1070454309914821,0.006876461000098366,win
nsgaii_to_moead,nsgaii,moead,dtlz2,4,0.13113806735342592,-0.012045182452305458,0.9616826458466748,-0.021410550188730393,win
nsgaii_to_moead,nsgaii,moead,dtlz2,5,-0.0022528611618497507,-0.03087984166516261,1.0514614687660158,-0.007185056939016499,loss
nsgaii_to_moead,nsgaii,moead,dtlz2,6,-0.19126629437063425,0.06731136565346876,1.1286134137694843,0.008023133353018297,loss
nsgaii_to_moead,nsgaii,moead,dtlz2,7,0.16908925644396344,-0.008202578374158997,0.9830453807784066,0.00882954055267246,win
nsgaii_to_moead,nsgaii,moead,dtlz2,8,-0.04960988154933954,0.005030128155942615,1.1072413065894826,0.032530385807526235,loss
nsgaii_to_moead,nsgaii,moead,dtlz2,9,0.05866304249587628,-0.010789366669789718,1.1519847182183955,-0.009306033156505439,win
moead_to_nsgaii,moead,nsgaii,zdt1,0,0.24796468140683814,-0.4422189978405886,1.055099815433473,0.008213889465282315,win
moead_to_nsgaii,moead,nsgaii,zdt1,1,-0.04924915718501799,-0.048966143379268634,0.883909226866703,0.0023335222812972123,loss
moead_to_nsgaii,moead,nsgaii,zdt1,2,-0.2174640168088473,0.18062888494161122,0.8257254849224422,0.01906573963882241,loss
moead_to_nsgaii,moead,nsgaii,zdt1,3,-0.11691161833473052,-0.0036061155619806495,0.887480715465303,-0.009443665048854744,loss
moead_to_nsgaii,moead,nsgaii,zdt1,4,-0.1906070116761327,-0.04226476894091902,1.0457368642809186,-0.007883063662769613,loss
moead_to_nsgaii,moead,nsgaii,zdt1,5,0.5193496963168425,-0.2531362819649759,0.9014831383854967,0.0099988596713656,win
moead_to_nsgaii,moead,nsgaii,zdt1,6,-0.20507824247431827,0.27600491536001104,0.8898975962266636,-0.0009600611877053356,loss
moead_to_nsgaii,moead,nsgaii,zdt1,7,-0.3716011816406346,0.2503235940333022,0.9854178635702928,-0.005263600590687478,loss
moead_to_nsgaii,moead,nsgaii,zdt1,8,-0.3734458642906797,0.07622079365947965,0.7712939117910275,0.01354867411714858,loss
moead_to_nsgaii,moead,nsgaii,zdt1,9,-0.40938020832579936,0.1706875234793115,1.0566765952041837,-0.01621019829465259,loss
moead_to_nsgaii,moead,nsgaii,zdt2,0,0.01129647020812441,0.023793301261796795,0.9377258518741128,-0.0006276545030145797,win
moead_to_nsgaii,moead,nsgaii,zdt2,1,0.4282979651462808,-0.3207587183975156,0.8179015272204604,0.0018509448522835426,win
moead_to_nsgaii,moead,nsgaii,zdt2,2,-0.5864670374443814,0.32030874482568783,1.1704689072320664,0.02090909664943713,loss
moead_to_nsgaii,moead,nsgaii,zdt2,3,-0.3972654326727425,-0.49332688196479235,1.1906116125014363,-0.00912328247477201,loss
moead_to_nsgaii,moead,nsgaii,zdt2,4,-0.40865182559809465,0.07846819352676238,1.066024286660078,0.0008437695447437166,loss
moead_to_nsgaii,moead,nsgaii,zdt2,5,-0.22824291716755596,-0.011607309622253759,1.0882434812828718,-0.00876779356342794,loss
moead_to_nsgaii,moead,nsgaii,zdt2,6,-0.4327183562379162,-0.2531660254734944,0.8465155669897589,0.0021861389784072482,loss
moead_to_nsgaii,moead,nsgaii,zdt2,7,-0.6917823351108434,0.7971323536329347,1.078188855206156,-0.0024425104641249695,loss
moead_to_nsgaii,moead,nsgaii,zdt2,8,-0.5907138212203676,0.5813425529774103,1.5100207584253467,0.007858351332694635,loss
moead_to_nsgaii,moead,nsgaii,zdt2,9,-0.6548008931743612,0.6132425333683729,0.836487782268207,0.0032299458419388083,loss
moead_to_nsgaii,moead,nsgaii,zdt3,0,-0.2365225640522528,0.13966541177425107,0.6145606134293811,-0.0024359501165326924,loss
moead_to_nsgaii,moead,nsgaii,zdt3,1,-0.15469503269330076,0.03552242859801591,0.9379255177105505,0.002129560369056871,loss
moead_to_nsgaii,moead,nsgaii,zdt3,2,0.025914409652403325,-0.09027861461527714,0.7902224811597469,0.00027021480252692465,win
moead_to_nsgaii,moead,nsgaii,zdt3,3,-0.2665592102735481,-0.02335316591889469,0.9522745515450126,0.007095510402921862,loss
moead_to_nsgaii,moead,nsgaii,zdt3,4,0.0021222134818597027,0.04269760799367994,1.0458482443268136,-0.0054867113969903625,win
moead_to_nsgaii,moead,nsgaii,zdt3,5,-0.021253785246396983,-0.0009545066018659121,0.621086950094775,-0.0019496539254884315,loss
moead_to_nsgaii,moead,nsgaii,zdt3,6,-0.7429689427248851,0.4026830668875943,0.9474620594841142,0.008117660978649077,loss
moead_to_nsgaii,moead,nsgaii,zdt3,7,-0.5788053317443254,0.033869296042938535,0.8359257732830304,0.016903222773799964,loss
moead_to_nsgaii,moead,nsgaii,zdt3,8,-0.8558517355294661,0.3799775876281498,1.0098517301906618,0.010633173695420717,loss
moead_to_nsgaii,moead,nsgaii,zdt3,9,0.007445468343028949,0.14492516745946138,1.102894650898194,0.00030260611909094237,win
moead_to_nsgaii,moead,nsgaii,dtlz2,0,-0.20433407150234206,-0.006869888833222815,0.8741535964542446,0.014803483410251339,loss
moead_to_nsgaii,moead,nsgaii,dtlz2,1,0.22971635913350275,-0.08199379777438806,0.8972829567420588,0.06453309929074166,win
moead_to_nsgaii,moead,nsgaii,dtlz2,2,0.4338004970991092,-0.05523814050966258,0.7862362869136961,0.05208285649616412,win
moead_to_nsgaii,moead,nsgaii,dtlz2,3,-0.49221206527870365,0.005570396534460786,0.5475442274418769,0.027140250968185342,loss
moead_to_nsgaii,moead,nsgaii,dtlz2,4,-0.32554447451605384,-0.052114684917059256,0.7713995606898797,0.051716241944163244,loss
moead_to_nsgaii,moead,nsgaii,dtlz2,5,-0.055026285870133584,-0.041567862919119236,1.0437739751564605,0.023009705592609703,loss
moead_to_nsgaii,moead,nsgaii,dtlz2,6,0.16751537507923508,-0.0687961308544966,0.6798462936418671,0.05884824277981274,win
moead_to_nsgaii,moead,nsgaii,dtlz2,7,-0.42442673000559594,0.055477261127281685,0.9733426104905127,0.036004706180204876,loss
moead_to_nsgaii,moead,nsgaii,dtlz2,8,-0.4322038441616991,0.011782459026738273,1.2286603577525421,0.044641977421831625,loss
moead_to_nsgaii,moead,nsgaii,dtlz2,9,0.03931255405387901,-0.03251206315212865,1.057875496571987,0.04411310705300761,win
