problem,n_obj,algorithm,runs,mean_hv,mean_igd_plus,mean_archive_subset_hv,mean_archive_subset_igd_plus,mean_time_ms,mean_archive_size,mean_archive_subset_size,mean_hybrid_archive_reference_generations,mean_hybrid_local_only_generations,mean_hybrid_no_split_generations,hybrid_fallback_runs,hybrid_local_only_runs
zdt1,2,nsgaii_archive_hybrid,10,0.9167565181315174,0.27377930671565326,0.9187940210273731,0.2735967684421681,7097.2649605000015,366.4,80.0,149.0,0.0,0.0,0,0
zdt1,2,nsgaii_archive_off,10,0.9176592476358788,0.2739372904585157,,,6751.850233600002,0.0,0.0,0.0,0.0,0.0,0,0
zdt1,2,nsgaii_archive_passive,10,0.9176592476358788,0.2739372904585157,0.9181673090289791,0.27395391714277684,6923.445069899998,386.4,80.0,0.0,0.0,0.0,0,0
zdt2,2,nsgaii_archive_hybrid,10,0.5602442561785627,0.47428968195156535,0.5611102677990534,0.47441313227893706,7236.218110399977,321.1,80.0,148.2,0.8,0.0,0,0
zdt2,2,nsgaii_archive_off,10,0.557897672982888,0.47054141927740556,,,6918.201097500007,0.0,0.0,0.0,0.0,0.0,0,0
zdt2,2,nsgaii_archive_passive,10,0.557897672982888,0.47054141927740556,0.558240825218422,0.4706763010094647,7186.702552199994,270.5,80.0,0.0,0.0,0.0,0,0
zdt3,2,nsgaii_archive_hybrid,10,1.3651481310537914,0.007733830172333078,1.3666674634945288,0.007050857324355948,7547.618125800023,391.4,80.0,149.0,0.0,0.0,0,0
zdt3,2,nsgaii_archive_off,10,1.373012398384912,0.004199073522352496,,,7113.674267200018,0.0,0.0,0.0,0.0,0.0,0,0
zdt3,2,nsgaii_archive_passive,10,1.373012398384912,0.004199073522352496,1.3732181995160297,0.004158800089262576,7333.139229100006,369.1,80.0,0.0,0.0,0.0,0,0
zdt4,2,nsgaii_archive_hybrid,10,0.8993001810349022,0.28806580285511274,0.9004362640680144,0.2879494122378359,10213.74318730002,403.1,80.0,198.6,0.4,0.0,0,0
zdt4,2,nsgaii_archive_off,10,0.8904469301557494,0.29581138704646814,,,9890.546762499991,0.0,0.0,0.0,0.0,0.0,0,0
zdt4,2,nsgaii_archive_passive,10,0.8904469301557494,0.29581138704646814,0.890940235202789,0.29578193610521797,10168.081707500005,390.1,80.0,0.0,0.0,0.0,0,0
zdt6,2,nsgaii_archive_hybrid,10,0.5238772375113953,0.4726681520524737,0.5244652864561892,0.47285319915521384,10247.2871553,235.7,80.0,198.9,0.1,0.0,0,0
zdt6,2,nsgaii_archive_off,10,0.5231051478235892,0.4737205548677458,,,9953.908082199998,0.0,0.0,0.0,0.0,0.0,0,0
zdt6,2,nsgaii_archive_passive,10,0.5231051478235892,0.4737205548677458,0.5232124278320671,0.4738458174775257,10118.376170100033,230.3,80.0,0.0,0.0,0.0,0,0
