algorithm,algorithm_base,archive_execution_mode,archive_mode,archive_present,archive_size,archive_subset_hv,archive_subset_hv_source,archive_subset_igd_plus,archive_subset_selector,archive_subset_size,archive_survival_path,backend_capabilities,backend_device,engine,evals_per_sec,evaluations,hv,hv_reference,hv_source,hybrid_archive_reference_generations,hybrid_fallback_reason,hybrid_generations,hybrid_local_only_generations,hybrid_no_split_generations,hybrid_split_front_mode,hybrid_split_front_reason,hybrid_status,indicator_igd_plus,n_obj,n_var,output_dir,problem,problem_label,seed,spread,time_ms
nsgaii_archive_passive,nsgaii,passive_archive,passive,True,371,0.9171115357976692,NumPyKernel,0.27442842008565405,crowding,80,standard,cpu,cpu,numpy,1721.060139158046,12000,0.9169065791357148,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.2743295136386269,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_passive/ZDT1/nsgaii/numpy/seed_1,zdt1,ZDT1,1,0.9991199105021177,6972.446649000005
nsgaii_archive_passive,nsgaii,passive_archive,passive,True,428,0.9216157176988993,NumPyKernel,0.27192135284293945,crowding,80,standard,cpu,cpu,numpy,1741.2995383056561,12000,0.9209391811118453,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.2719303331316518,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_passive/ZDT1/nsgaii/numpy/seed_2,zdt1,ZDT1,2,0.999320299814978,6891.404802000011
nsgaii_archive_passive,nsgaii,passive_archive,passive,True,340,0.9151883417355539,NumPyKernel,0.2757672763281352,crowding,80,standard,cpu,cpu,numpy,1736.4173908209661,12000,0.9147686909766322,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.2757653915811649,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_passive/ZDT1/nsgaii/numpy/seed_3,zdt1,ZDT1,3,0.9999362316681895,6910.780820000014
nsgaii_archive_passive,nsgaii,passive_archive,passive,True,437,0.9192234020908009,NumPyKernel,0.27326312515538254,crowding,80,standard,cpu,cpu,numpy,1733.2337650235634,12000,0.9192547272602067,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.2730761949457904,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_passive/ZDT1/nsgaii/numpy/seed_4,zdt1,ZDT1,4,0.9986445289001905,6923.474629999987
nsgaii_archive_passive,nsgaii,passive_archive,passive,True,404,0.9169854597455497,NumPyKernel,0.2746913017143943,crowding,80,standard,cpu,cpu,numpy,1729.9894263911344,12000,0.9165828893709693,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.274604594928929,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_passive/ZDT1/nsgaii/numpy/seed_5,zdt1,ZDT1,5,0.9989244736448478,6936.458579999964
nsgaii_archive_passive,nsgaii,passive_archive,passive,True,346,0.9181830565926462,NumPyKernel,0.27418478696949733,crowding,80,standard,cpu,cpu,numpy,1755.411525343454,12000,0.9170541549308009,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.2746006786479099,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_passive/ZDT1/nsgaii/numpy/seed_6,zdt1,ZDT1,6,0.9986329157593762,6836.003881000011
nsgaii_archive_passive,nsgaii,passive_archive,passive,True,358,0.9182970644119971,NumPyKernel,0.2739311096939014,crowding,80,standard,cpu,cpu,numpy,1726.471568173357,12000,0.9175539722931724,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.2739417829361276,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_passive/ZDT1/nsgaii/numpy/seed_7,zdt1,ZDT1,7,0.99835572559357,6950.592307000023
nsgaii_archive_passive,nsgaii,passive_archive,passive,True,434,0.9189703592793836,NumPyKernel,0.27348273237093146,crowding,80,standard,cpu,cpu,numpy,1743.1669905821993,12000,0.9178643072425973,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.2734150866261719,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_passive/ZDT1/nsgaii/numpy/seed_8,zdt1,ZDT1,8,0.999900047518514,6884.022049999999
nsgaii_archive_passive,nsgaii,passive_archive,passive,True,346,0.9178376915367392,NumPyKernel,0.27410196604902637,crowding,80,standard,cpu,cpu,numpy,1733.069286671055,12000,0.9178206746000332,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.27385103012924367,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_passive/ZDT1/nsgaii/numpy/seed_9,zdt1,ZDT1,9,0.9979795301892841,6924.131708000004
nsgaii_archive_hybrid,nsgaii,hybrid_survival,hybrid_survival,True,368,0.9185842871937101,NumPyKernel,0.273421320545038,crowding,80,hybrid,cpu,cpu,numpy,1720.9722826348006,12000,0.9168747548522868,1.100000 1.152258,NumPyKernel,149,,149,0,0,archive,,hybrid,0.27337830333089286,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_hybrid/ZDT1/nsgaii/numpy/seed_0,zdt1,ZDT1,0,0.9983345641424594,6972.802596000009
nsgaii_archive_hybrid,nsgaii,hybrid_survival,hybrid_survival,True,347,0.9193676655615987,NumPyKernel,0.2733437060085208,crowding,80,hybrid,cpu,cpu,numpy,1721.0006980912333,12000,0.916662152021323,1.100000 1.152258,NumPyKernel,149,,149,0,0,archive,,hybrid,0.27363910051416573,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_hybrid/ZDT1/nsgaii/numpy/seed_1,zdt1,ZDT1,1,0.9952696541826687,6972.687468000004
nsgaii_archive_hybrid,nsgaii,hybrid_survival,hybrid_survival,True,391,0.9207769431226301,NumPyKernel,0.27258869216706205,crowding,80,hybrid,cpu,cpu,numpy,1708.6443917185443,12000,0.9171455301370348,1.100000 1.152258,NumPyKernel,149,,149,0,0,archive,,hybrid,0.27321462019608644,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_hybrid/ZDT1/nsgaii/numpy/seed_2,zdt1,ZDT1,2,0.9979615056877693,7023.111454999991
