run_path,campaign,suite,algorithm,engine,problem,seed,max_evaluations,population_size,n_obj,n_var,runtime_seconds,front_size,fun_ncols,x_nrows,x_ncols,git_revision,timestamp,vamos_version,backend,backend_info.capabilities,backend_info.device,backend_info.name,config.constraint_mode,config.engine,config.selection,metrics.evals_per_sec,metrics.evaluations,metrics.spread,metrics.termination,metrics.time_ms,obj0_max,obj0_min,obj1_max,obj1_min
C:/Users/nicor/Desktop/VAMOS/results/bench_smoke_engines/ZDT1/nsgaii/moocore/seed_7,bench_smoke_engines,ZDT1,nsgaii,moocore,"{'description': 'Classic bi-objective benchmark with a convex Pareto front.', 'encoding': 'continuous', 'key': 'zdt1', 'label': 'ZDT1', 'n_obj': 2, 'n_var': 30}",7,2000,64,2,30,279.11,43,2,43,30,4c65ccca84c760295b76bf01e57867759998e1bd,2025-12-30T02:21:02.405845+00:00,0.1.0,moocore,<list len=1>,cpu,MooCoreKernel,feasibility,moocore,"['tournament', {'pressure': 2}]",7337.487899230804,2048,0.8968462519311184,max_evaluations,279.1146000001845,0.8968472515211436,9.995900251859003e-07,2.5387004079167848,0.41832136704402545
C:/Users/nicor/Desktop/VAMOS/results/bench_smoke_engines/ZDT1/nsgaii/numba/seed_7,bench_smoke_engines,ZDT1,nsgaii,numba,"{'description': 'Classic bi-objective benchmark with a convex Pareto front.', 'encoding': 'continuous', 'key': 'zdt1', 'label': 'ZDT1', 'n_obj': 2, 'n_var': 30}",7,2000,64,2,30,1029.73,50,2,50,30,4c65ccca84c760295b76bf01e57867759998e1bd,2025-12-30T02:20:58.246006+00:00,0.1.0,numba,<list len=1>,cpu,NumbaKernel,feasibility,numba,"['tournament', {'pressure': 2}]",1988.8668130282697,2048,0.9570765325769156,max_evaluations,1029.7321000000466,0.9570908989321025,1.4366355186923307e-05,1.8129749924374254,0.4075595192808164
C:/Users/nicor/Desktop/VAMOS/results/bench_smoke_engines/ZDT1/nsgaii/numpy/seed_7,bench_smoke_engines,ZDT1,nsgaii,numpy,"{'description': 'Classic bi-objective benchmark with a convex Pareto front.', 'encoding': 'continuous', 'key': 'zdt1', 'label': 'ZDT1', 'n_obj': 2, 'n_var': 30}",7,2000,64,2,30,93.37,55,2,55,30,4c65ccca84c760295b76bf01e57867759998e1bd,2025-12-30T02:20:52.611212+00:00,0.1.0,numpy,<list len=1>,cpu,NumPyKernel,feasibility,numpy,"['tournament', {'pressure': 2}]",21934.1226618705,2048,0.9865444215785719,max_evaluations,93.37049999999181,0.9865505563836785,6.134805106576236e-06,2.791791656911379,0.3793104622222985
