trial_id,score,config_json
19,0.6555749492038783,"{""pop_size"": 133, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.9538859929941635, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 2.9995075707129955, ""mutation_eta"": 10.027293122168993, ""selection"": ""tournament"", ""selection_pressure"": 3, ""crossover_alpha"": 0.13712077240089526}"
20,0.6616131360093073,"{""pop_size"": 150, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.6695645397553175, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 2.8440775868172805, ""mutation_eta"": 23.84008674312377, ""selection"": ""tournament"", ""selection_pressure"": 4, ""crossover_alpha"": 0.14497522515362948}"
21,0.6579829862240517,"{""pop_size"": 133, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.6947067690681324, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 2.172843932830435, ""mutation_eta"": 19.18577447433764, ""selection"": ""tournament"", ""selection_pressure"": 2, ""crossover_alpha"": 0.31577972900038764}"
22,0.49701460794822033,"{""pop_size"": 129, ""crossover"": ""sbx"", ""crossover_prob"": 0.9061241235070789, ""mutation"": ""pm"", ""mutation_prob_factor"": 2.4597964023876493, ""mutation_eta"": 23.070518590954592, ""selection"": ""tournament"", ""selection_pressure"": 3, ""crossover_eta"": 10.599008275699932}"
23,0.8965470002625563,"{""pop_size"": 183, ""crossover"": ""sbx"", ""crossover_prob"": 0.9859262198347306, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 0.5028710343597436, ""mutation_eta"": 16.912826311811806, ""selection"": ""tournament"", ""selection_pressure"": 2, ""crossover_eta"": 29.01528364614782}"
24,0.7113287574281958,"{""pop_size"": 158, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.9505723612230881, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 1.8680713969832325, ""mutation_eta"": 24.6863964295971, ""selection"": ""tournament"", ""selection_pressure"": 4, ""crossover_alpha"": 0.32673853685290777}"
25,0.8494495684784865,"{""pop_size"": 159, ""crossover"": ""sbx"", ""crossover_prob"": 0.9143643166264849, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 1.7005628410213822, ""mutation_eta"": 5.945302738414443, ""selection"": ""tournament"", ""selection_pressure"": 2, ""crossover_eta"": 35.01909027031152}"
26,0.6532143366699193,"{""pop_size"": 156, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.7563795155932054, ""mutation"": ""pm"", ""mutation_prob_factor"": 2.2972673255672, ""mutation_eta"": 7.722227492771312, ""selection"": ""tournament"", ""selection_pressure"": 3, ""crossover_alpha"": 0.7134029385706977}"
27,0.46847150487769884,"{""pop_size"": 195, ""crossover"": ""sbx"", ""crossover_prob"": 0.6461510050776046, ""mutation"": ""pm"", ""mutation_prob_factor"": 2.7350546415180355, ""mutation_eta"": 19.03938899610658, ""selection"": ""tournament"", ""selection_pressure"": 4, ""crossover_eta"": 18.37751315320454}"
28,0.5747554893170594,"{""pop_size"": 112, ""crossover"": ""sbx"", ""crossover_prob"": 0.7948655565672192, ""mutation"": ""pm"", ""mutation_prob_factor"": 2.301930423886582, ""mutation_eta"": 5.429189871981242, ""selection"": ""tournament"", ""selection_pressure"": 3, ""crossover_eta"": 33.38137487378236}"
