experiment,problem,n_obj,n_var,pop_size,n_evals,seed,engine,timing_policy,runtime_seconds,runtime_per_eval,hypervolume
population,wfg2,2,24,800,50000,1,numpy,,37.33756920000087,0.0007467513840000175,0.9710270498446363
population,wfg2,2,24,800,50000,1,numba,warm,4.997394699999859,9.994789399999718e-05,0.9718313305288051
population,wfg2,2,24,800,50000,2,numpy,,29.9597732000002,0.000599195464000004,0.9739061351068279
population,wfg2,2,24,800,50000,2,numba,warm,4.935379499998817,9.870758999997634e-05,0.9707491570005472
population,wfg2,2,24,800,50000,3,numpy,,36.252099200002704,0.000725041984000054,0.9757418195145366
population,wfg2,2,24,800,50000,3,numba,warm,7.344871900000726,0.0001468974380000145,0.9769439667863612
population,wfg2,2,24,800,50000,4,numpy,,29.27372850000029,0.0005854745700000057,0.9725852343082838
population,wfg2,2,24,800,50000,4,numba,warm,7.178479800000787,0.00014356959600001575,0.9766382547998051
objectives,dtlz2,2,11,50,50000,0,numpy,,8.382372800002486,0.00016764745600004972,
objectives,dtlz2,2,11,50,50000,0,numba,warm,7.055907999998453,0.00014111815999996906,
objectives,dtlz2,2,11,50,50000,1,numpy,,8.28231169999708,0.0001656462339999416,
objectives,dtlz2,2,11,50,50000,1,numba,warm,5.655133000000205,0.0001131026600000041,
objectives,dtlz2,2,11,50,50000,2,numpy,,7.973843100000522,0.00015947686200001044,
objectives,dtlz2,2,11,50,50000,2,numba,warm,6.920917399998871,0.0001384183479999774,
objectives,dtlz2,2,11,50,50000,3,numpy,,11.25154929999917,0.00022503098599998338,
objectives,dtlz2,2,11,50,50000,3,numba,warm,6.910511800000677,0.00013821023600001355,
objectives,dtlz2,2,11,50,50000,4,numpy,,10.924795199996879,0.00021849590399993757,
objectives,dtlz2,2,11,50,50000,4,numba,warm,7.019990400000097,0.00014039980800000193,
objectives,dtlz2,3,12,75,50000,0,numpy,,12.055625300003157,0.00024111250600006314,
objectives,dtlz2,3,12,75,50000,0,numba,warm,5.0294037999992725,0.00010058807599998545,
objectives,dtlz2,3,12,75,50000,1,numpy,,11.545036999999866,0.00023090073999999732,
objectives,dtlz2,3,12,75,50000,1,numba,warm,4.722467299998243,9.444934599996486e-05,
objectives,dtlz2,3,12,75,50000,2,numpy,,8.22262259999843,0.0001644524519999686,
objectives,dtlz2,3,12,75,50000,2,numba,warm,4.940337899999577,9.880675799999154e-05,
objectives,dtlz2,3,12,75,50000,3,numpy,,12.196644299998297,0.00024393288599996595,
objectives,dtlz2,3,12,75,50000,3,numba,warm,4.713692600002105,9.42738520000421e-05,
objectives,dtlz2,3,12,75,50000,4,numpy,,7.86269479999828,0.0001572538959999656,
objectives,dtlz2,3,12,75,50000,4,numba,warm,6.814217000002827,0.00013628434000005654,
objectives,dtlz2,5,14,125,50000,0,numpy,,10.420149699999456,0.00020840299399998912,
objectives,dtlz2,5,14,125,50000,0,numba,warm,4.841479700000491,9.682959400000981e-05,
objectives,dtlz2,5,14,125,50000,1,numpy,,10.292015099999844,0.0002058403019999969,
objectives,dtlz2,5,14,125,50000,1,numba,warm,7.0469357999973,0.000140938715999946,
objectives,dtlz2,5,14,125,50000,2,numpy,,10.244998100002704,0.00020489996200005408,
objectives,dtlz2,5,14,125,50000,2,numba,warm,4.943933900001866,9.887867800003732e-05,
objectives,dtlz2,5,14,125,50000,3,numpy,,13.815296100001433,0.00027630592200002864,
objectives,dtlz2,5,14,125,50000,3,numba,warm,7.149164499998733,0.00014298328999997465,
objectives,dtlz2,5,14,125,50000,4,numpy,,9.797401499999978,0.00019594802999999957,
objectives,dtlz2,5,14,125,50000,4,numba,warm,7.166140699999232,0.00014332281399998464,
objectives,dtlz2,8,17,200,50000,0,numpy,,11.93572480000148,0.0002387144960000296,
objectives,dtlz2,8,17,200,50000,0,numba,warm,7.562382699998125,0.0001512476539999625,
objectives,dtlz2,8,17,200,50000,1,numpy,,13.858895299999858,0.00027717790599999717,
objectives,dtlz2,8,17,200,50000,1,numba,warm,5.15520579999793,0.00010310411599995859,
objectives,dtlz2,8,17,200,50000,2,numpy,,13.422897700002068,0.00026845795400004134,
objectives,dtlz2,8,17,200,50000,2,numba,warm,4.996141600000556,9.992283200001112e-05,
objectives,dtlz2,8,17,200,50000,3,numpy,,12.378039799998078,0.00024756079599996155,
objectives,dtlz2,8,17,200,50000,3,numba,warm,6.4490256999997655,0.00012898051399999532,
objectives,dtlz2,8,17,200,50000,4,numpy,,11.878296200000477,0.00023756592400000956,
objectives,dtlz2,8,17,200,50000,4,numba,warm,4.540129900000466,9.080259800000931e-05,
jit_policy,dtlz2,3,12,100,50000,0,numba,cold,6.392397899999196,0.00012784795799998392,0.7898012551010651
jit_policy,dtlz2,3,12,100,50000,2,numba,cold,6.21223960000134,0.00012424479200002678,0.7876197559278891
jit_policy,dtlz2,3,12,100,50000,0,numba,warm,4.686446899999282,9.372893799998565e-05,0.7898012551010651
jit_policy,dtlz2,3,12,100,50000,3,numba,cold,6.3116693000010855,0.00012623338600002172,0.7909530568522739
jit_policy,wfg2,2,24,100,50000,0,numba,cold,6.582108200000221,0.00013164216400000442,0.9821358810946639
jit_policy,dtlz2,3,12,100,50000,2,numba,warm,4.787652799997886,9.575305599995773e-05,0.7876197559278891
jit_policy,dtlz2,3,12,100,50000,4,numba,cold,6.417178100000456,0.0001283435620000091,0.7782388589909592
jit_policy,dtlz2,3,12,100,50000,1,numba,warm,4.855967699997564,9.711935399995128e-05,0.7940067269378768
jit_policy,dtlz2,3,12,100,50000,3,numba,warm,4.774362899999687,9.548725799999374e-05,0.7909530568522739
jit_policy,dtlz2,3,12,100,50000,4,numba,warm,4.729550799998833,9.459101599997666e-05,0.7782388589909592
jit_policy,zdt4,2,10,100,50000,0,numba,cold,8.103347500000382,0.00016206695000000763,0.9902178568856105
jit_policy,zdt4,2,10,100,50000,2,numba,cold,7.956933199999185,0.00015913866399998368,0.9895542953256982
jit_policy,zdt4,2,10,100,50000,1,numba,cold,8.032161000002816,0.0001606432200000563,0.9906151270491085
jit_policy,zdt4,2,10,100,50000,0,numba,warm,6.313051400000404,0.0001262610280000081,0.9902178568856105
jit_policy,zdt4,2,10,100,50000,1,numba,warm,5.97492770000099,0.0001194985540000198,0.9906151270491085
jit_policy,zdt4,2,10,100,50000,4,numba,cold,8.003725499998836,0.00016007450999997672,0.9898293236082916
jit_policy,zdt4,2,10,100,50000,2,numba,warm,5.857456000001548,0.00011714912000003096,0.9895542953256982
jit_policy,zdt4,2,10,100,50000,3,numba,cold,8.126527300002635,0.0001625305460000527,0.9908505513618242
jit_policy,zdt4,2,10,100,50000,3,numba,warm,6.2634704999982205,0.0001252694099999644,0.9908505513618242
jit_policy,zdt4,2,10,100,50000,4,numba,warm,6.07525479999822,0.0001215050959999644,0.9898293236082916
jit_policy,dtlz2,3,12,100,50000,1,numba,cold,8.980066899999656,0.0001796013379999931,0.7940067269378768
jit_policy,wfg2,2,24,100,50000,0,numba,warm,2.7161732999993546,5.4323465999987094e-05,0.9821358810946639
jit_policy,wfg2,2,24,100,50000,3,numba,cold,4.60778769999888,9.215575399997761e-05,0.9830199195834994
jit_policy,wfg2,2,24,100,50000,1,numba,cold,4.951625599998806,9.903251199997612e-05,0.9805469478285149
jit_policy,wfg2,2,24,100,50000,1,numba,warm,2.647745300000679,5.295490600001358e-05,0.9805469478285149
jit_policy,wfg2,2,24,100,50000,3,numba,warm,2.641304400000081,5.282608800000162e-05,0.9830199195834994
jit_policy,wfg2,2,24,100,50000,2,numba,cold,4.916259000001446,9.832518000002892e-05,0.9634746152159914
jit_policy,wfg2,2,24,100,50000,2,numba,warm,2.7015046999986225,5.403009399997245e-05,0.9634746152159914
jit_policy,wfg2,2,24,100,50000,4,numba,cold,4.468747299997631,8.937494599995261e-05,0.9851653899244378
jit_policy,wfg2,2,24,100,50000,4,numba,warm,2.634505399997579,5.269010799995158e-05,0.9851653899244378
