variant,problem,engine,n_evals,seed,evals,runtime_seconds,hypervolume
baseline,zdt1,numba,100000,23,50000,2.3659648559987545,0.9906837010678284
baseline,zdt1,numba,100000,23,100000,3.242243407003116,0.9906457290917232
baseline,zdt1,numba,100000,24,5000,1.581338144998881,0.7273294575392366
baseline,zdt1,numba,100000,24,10000,1.6666950409999115,0.956186982141143
baseline,zdt1,numba,100000,24,20000,1.841994402995624,0.9875686839765456
baseline,zdt1,numba,100000,24,50000,2.370380705993739,0.9904941673398726
baseline,zdt1,numba,100000,24,100000,3.2514860869996483,0.9906214922142064
baseline,zdt1,numba,100000,25,5000,1.4662441560067236,0.701910003914207
baseline,zdt1,numba,100000,25,10000,1.5487751950058737,0.9587219556621488
baseline,zdt1,numba,100000,25,20000,1.7217745660018409,0.9872237672311898
baseline,zdt1,numba,100000,25,50000,2.244369021005696,0.9904162970007356
baseline,zdt1,numba,100000,25,100000,3.1199712680027005,0.9892691742591342
baseline,zdt1,numba,100000,26,5000,1.4659651280016988,0.6896358446992564
baseline,zdt1,numba,100000,26,10000,1.54836007799895,0.9572618892850852
baseline,zdt1,numba,100000,26,20000,1.7222309630014934,0.9871914419161943
baseline,zdt1,numba,100000,26,50000,2.2459577769986936,0.9905836694851592
baseline,zdt1,numba,100000,26,100000,3.121377575000224,0.9907947480046204
baseline,zdt1,numba,100000,27,5000,1.4651532939969911,0.7088610781926468
baseline,zdt1,numba,100000,27,10000,1.5475233049946835,0.9538600631420026
baseline,zdt1,numba,100000,27,20000,1.7207533349937876,0.9860427293088048
baseline,zdt1,numba,100000,27,50000,2.242894062997948,0.9906627695134026
baseline,zdt1,numba,100000,27,100000,3.1170559219972347,0.9908470470940725
baseline,zdt1,numba,100000,28,5000,1.4653855630022008,0.7571042608749893
baseline,zdt1,numba,100000,28,10000,1.5495077400046284,0.9632286008961308
baseline,zdt1,numba,100000,28,20000,1.7238780390034665,0.9874339854897668
baseline,zdt1,numba,100000,28,50000,2.247880431001249,0.9897759216691064
baseline,zdt1,numba,100000,28,100000,3.1282582670028205,0.9912572861433616
baseline,zdt1,numba,100000,29,5000,1.4649496169949998,0.7609440622744381
baseline,zdt1,numba,100000,29,10000,1.548861704999581,0.9616351315734692
baseline,zdt1,numba,100000,29,20000,1.7225100209980155,0.9874341176070004
baseline,zdt1,numba,100000,29,50000,2.246505952993175,0.9903438524395506
baseline,zdt1,numba,100000,29,100000,3.124105012997461,0.990814896535823
baseline,zdt2,numba,100000,0,5000,1.4488474350000615,0.0
baseline,zdt2,numba,100000,0,10000,1.524852131995431,0.4704142589949771
baseline,zdt2,numba,100000,0,20000,1.698952033999376,0.9738100276220992
baseline,zdt2,numba,100000,0,50000,2.224332533995039,0.9811057735732276
baseline,zdt2,numba,100000,0,100000,3.1030657539959066,0.9814863240532276
baseline,zdt2,numba,100000,1,5000,0.1269262490022811,0.0
baseline,zdt2,numba,100000,1,10000,0.1989738080010283,0.0529113678618066
baseline,zdt2,numba,100000,1,20000,0.364057008002419,0.9781149622423008
baseline,zdt2,numba,100000,1,50000,0.8835857390004094,0.9810684757654836
baseline,zdt2,numba,100000,1,100000,1.7453527949983254,0.9827543443447102
baseline,zdt2,numba,100000,2,5000,0.1386150969992741,0.3434240783757936
baseline,zdt2,numba,100000,2,10000,0.2171847409990732,0.8941712529721312
baseline,zdt2,numba,100000,2,20000,0.3906865579992882,0.9746019319012952
baseline,zdt2,numba,100000,2,50000,0.9095123639999656,0.980933292164866
baseline,zdt2,numba,100000,2,100000,1.779782318000798,0.981490846045081
baseline,zdt2,numba,100000,3,5000,0.1280468580007436,0.0
baseline,zdt2,numba,100000,3,10000,0.2066519729996798,0.7992247843155275
baseline,zdt2,numba,100000,3,20000,0.3806372559993178,0.9749363636104488
baseline,zdt2,numba,100000,3,50000,0.9033802789999754,0.9819454977903253
baseline,zdt2,numba,100000,3,100000,1.7710257340004318,0.9814727594828264
baseline,zdt2,numba,100000,4,5000,0.1290392899973085,0.0
baseline,zdt2,numba,100000,4,10000,0.2095624979992862,0.9009055603550068
baseline,zdt2,numba,100000,4,20000,0.382795036995958,0.9742205268424122
baseline,zdt2,numba,100000,4,50000,0.9025563559989678,0.9816781556992004
baseline,zdt2,numba,100000,4,100000,1.767977109993808,0.9825901172616872
baseline,zdt2,numba,100000,5,5000,0.1297701939984108,0.0
baseline,zdt2,numba,100000,5,10000,0.2019801720016403,0.318921688730172
baseline,zdt2,numba,100000,5,20000,0.3750240730005316,0.9783562537634072
baseline,zdt2,numba,100000,5,50000,0.8961449100024765,0.9827365351802412
baseline,zdt2,numba,100000,5,100000,1.7623222480033292,0.9819795506253703
baseline,zdt2,numba,100000,6,5000,0.137208918997203,0.3452232027221802
baseline,zdt2,numba,100000,6,10000,0.2166313659981824,0.9022046652518156
baseline,zdt2,numba,100000,6,20000,0.3915146819999791,0.9759105058148164
baseline,zdt2,numba,100000,6,50000,0.916152318000968,0.9826189688858292
baseline,zdt2,numba,100000,6,100000,1.7870942349982215,0.9829564438831228
baseline,zdt2,numba,100000,7,5000,0.137127791000239,0.3773548348339007
baseline,zdt2,numba,100000,7,10000,0.2167900959975668,0.9087552080499708
baseline,zdt2,numba,100000,7,20000,0.3921099770013825,0.9755631489817784
baseline,zdt2,numba,100000,7,50000,0.919118122998043,0.9811564753283626
baseline,zdt2,numba,100000,7,100000,1.7961030189981102,0.9813168986883758
baseline,zdt2,numba,100000,8,5000,0.138460139001836,0.1981586149949232
baseline,zdt2,numba,100000,8,10000,0.2147922720032511,0.8872002369243502
baseline,zdt2,numba,100000,8,20000,0.3893937800021376,0.9725904685998792
baseline,zdt2,numba,100000,8,50000,0.9150394879980012,0.981581684364192
baseline,zdt2,numba,100000,8,100000,1.787299604002328,0.9824136366930772
baseline,zdt2,numba,100000,9,5000,0.1386180669942405,0.059419425518454
baseline,zdt2,numba,100000,9,10000,0.2131178549971082,0.8389268846938892
baseline,zdt2,numba,100000,9,20000,0.3879316519960412,0.9697014996195872
baseline,zdt2,numba,100000,9,50000,0.9122799099932308,0.982345010205546
baseline,zdt2,numba,100000,9,100000,1.785751175993937,0.9822152098483078
baseline,zdt2,numba,100000,10,5000,0.1377414149974356,0.191738595783953
baseline,zdt2,numba,100000,10,10000,0.2188118479971308,0.9076442497796768
baseline,zdt2,numba,100000,10,20000,0.3938824920041952,0.9757672350672328
baseline,zdt2,numba,100000,10,50000,0.919088943002862,0.9816788279200568
baseline,zdt2,numba,100000,10,100000,1.7935345500009134,0.981888575843026
baseline,zdt2,numba,100000,11,5000,0.1395098590000998,0.2834610651101512
baseline,zdt2,numba,100000,11,10000,0.2183013719986775,0.8825729681737496
baseline,zdt2,numba,100000,11,20000,0.3939972799998941,0.9737894860260108
baseline,zdt2,numba,100000,11,50000,0.9190630029988824,0.9823552688199452
baseline,zdt2,numba,100000,11,100000,1.7948232880007708,0.9826652155536402
baseline,zdt2,numba,100000,12,5000,0.1369470920035382,0.1926161724812578
baseline,zdt2,numba,100000,12,10000,0.2136244619978242,0.8789239756225136
baseline,zdt2,numba,100000,12,20000,0.3890928230030113,0.975759672985338
baseline,zdt2,numba,100000,12,50000,0.9150880070010315,0.9820421199065076
baseline,zdt2,numba,100000,12,100000,1.7913413290007156,0.981959700021288
baseline,zdt2,numba,100000,13,5000,0.1381261809947318,0.1968545013902996
baseline,zdt2,numba,100000,13,10000,0.2154485859937267,0.8902691267973433
baseline,zdt2,numba,100000,13,20000,0.3907473069994012,0.9720129709796032
baseline,zdt2,numba,100000,13,50000,0.9161767979967408,0.9826750460578616
baseline,zdt2,numba,100000,13,100000,1.7893061059949105,0.9826390373159404
baseline,zdt2,numba,100000,14,5000,0.1381238510002731,0.3460719882778803
baseline,zdt2,numba,100000,14,10000,0.2172037210038979,0.8935419586617253
baseline,zdt2,numba,100000,14,20000,0.392803280003136,0.9758296530741633
baseline,zdt2,numba,100000,14,50000,0.9175076760002412,0.9823688084728964
baseline,zdt2,numba,100000,14,100000,1.7910918400011724,0.9822414562256044
baseline,zdt2,numba,100000,15,5000,0.1383787100057816,0.1502135794798274
baseline,zdt2,numba,100000,15,10000,0.2162920300033874,0.8924108739547961
baseline,zdt2,numba,100000,15,20000,0.3924716540059307,0.9736598242995032
baseline,zdt2,numba,100000,15,50000,0.9203360120009164,0.9816211102974
baseline,zdt2,numba,100000,15,100000,1.7988303250022,0.9825536406765912
baseline,zdt2,numba,100000,16,5000,0.1365241659950697,0.1822071916704034
baseline,zdt2,numba,100000,16,10000,0.2143362869974225,0.9127998776372896
baseline,zdt2,numba,100000,16,20000,0.3902574729945627,0.9744372165047468
baseline,zdt2,numba,100000,16,50000,0.9176168159974624,0.983069119530699
baseline,zdt2,numba,100000,16,100000,1.7922809699957725,0.9822297042930802
baseline,zdt2,numba,100000,17,5000,0.1379638629950932,0.2333272886695268
baseline,zdt2,numba,100000,17,10000,0.2171802219963865,0.9026386328712658
baseline,zdt2,numba,100000,17,20000,0.3926088829975924,0.9749349458931472
baseline,zdt2,numba,100000,17,50000,0.9193784699964452,0.9808866598674432
baseline,zdt2,numba,100000,17,100000,1.7950197379977908,0.9825707726206866
baseline,zdt2,numba,100000,18,5000,0.1379472230037208,0.328601139457425
baseline,zdt2,numba,100000,18,10000,0.2185300500059384,0.908873871195408
baseline,zdt2,numba,100000,18,20000,0.3945353960007196,0.974740031443976
baseline,zdt2,numba,100000,18,50000,0.9230474590003724,0.9819677914104769
baseline,zdt2,numba,100000,18,100000,1.801266824004415,0.9827888994896188
baseline,zdt2,numba,100000,19,5000,0.0647355839973897,0.0
baseline,zdt2,numba,100000,19,10000,0.1284502060007071,0.1436686251423931
baseline,zdt2,numba,100000,19,20000,0.2983520630004932,0.9762255723714336
baseline,zdt2,numba,100000,19,50000,0.8235141149998526,0.9814570857217726
baseline,zdt2,numba,100000,19,100000,1.6952524759981316,0.981606083465177
baseline,zdt2,numba,100000,20,5000,0.1305669459979981,0.0
baseline,zdt2,numba,100000,20,10000,0.2092004209989681,0.5058067124714473
baseline,zdt2,numba,100000,20,20000,0.3856391719964449,0.9771005265554386
baseline,zdt2,numba,100000,20,50000,0.9137905780007712,0.9830152774370424
baseline,zdt2,numba,100000,20,100000,1.7906210649962304,0.9818318256392684
baseline,zdt2,numba,100000,21,5000,0.1392855009980849,0.1960263665660532
baseline,zdt2,numba,100000,21,10000,0.2167796650028322,0.9079483946862124
baseline,zdt2,numba,100000,21,20000,0.3930558490028488,0.9743490516018288
baseline,zdt2,numba,100000,21,50000,0.9202739030006342,0.9826275392314138
baseline,zdt2,numba,100000,21,100000,1.7988094149986864,0.9821278236799956
baseline,zdt2,numba,100000,22,5000,0.1391906529970583,0.1202933007323357
baseline,zdt2,numba,100000,22,10000,0.2150101909937802,0.8938534549122152
baseline,zdt2,numba,100000,22,20000,0.3931492579940823,0.9736122799420852
baseline,zdt2,numba,100000,22,50000,0.9261108129940112,0.9823447595147023
baseline,zdt2,numba,100000,22,100000,1.8127841949972208,0.9806669530924308
baseline,zdt2,numba,100000,23,5000,0.130241548999038,0.0
baseline,zdt2,numba,100000,23,10000,0.2052142140018986,0.2269798544064629
baseline,zdt2,numba,100000,23,20000,0.3778660489988397,0.9759564139828252
baseline,zdt2,numba,100000,23,50000,0.9138290080009028,0.982568205015311
baseline,zdt2,numba,100000,23,100000,1.8033781250051104,0.982352392436405
baseline,zdt2,numba,100000,24,5000,0.1384213899946189,0.2515349430470286
baseline,zdt2,numba,100000,24,10000,0.2157230749944574,0.8900779691637011
baseline,zdt2,numba,100000,24,20000,0.389728637994267,0.973976971199111
baseline,zdt2,numba,100000,24,50000,0.9115793179953472,0.9825069204141376
baseline,zdt2,numba,100000,24,100000,1.7808105000003709,0.9816155845291744
baseline,zdt2,numba,100000,25,5000,0.1371701989992289,0.1757674690913658
baseline,zdt2,numba,100000,25,10000,0.2144225640004151,0.8973832740398733
baseline,zdt2,numba,100000,25,20000,0.3876510050031356,0.9731549656278088
baseline,zdt2,numba,100000,25,50000,0.9071012749991496,0.9826173061947938
baseline,zdt2,numba,100000,25,100000,1.7716034179975395,0.9828547834968896
baseline,zdt2,numba,100000,26,5000,0.1277615409999271,0.0
baseline,zdt2,numba,100000,26,10000,0.2004331060015829,0.2857647986591793
baseline,zdt2,numba,100000,26,20000,0.3765428400001838,0.9773051248414516
baseline,zdt2,numba,100000,26,50000,0.8977673560002586,0.9814759465832444
baseline,zdt2,numba,100000,26,100000,1.767718071998388,0.9806407684740702
baseline,zdt2,numba,100000,27,5000,0.1291041389995371,0.0
baseline,zdt2,numba,100000,27,10000,0.2063240839997888,0.6876999680209128
baseline,zdt2,numba,100000,27,20000,0.3802135989972157,0.9759552515258744
baseline,zdt2,numba,100000,27,50000,0.9018553709975096,0.9830118918438144
baseline,zdt2,numba,100000,27,100000,1.7713974500002223,0.9836161815733612
baseline,zdt2,numba,100000,28,5000,0.1283220760014956,0.0
baseline,zdt2,numba,100000,28,10000,0.2028632250003283,0.2107380178534426
baseline,zdt2,numba,100000,28,20000,0.373937164004019,0.9784635125653856
baseline,zdt2,numba,100000,28,50000,0.8968923440043,0.9818582178071498
baseline,zdt2,numba,100000,28,100000,1.768448656999681,0.982025759665407
baseline,zdt2,numba,100000,29,5000,0.1375773259933339,0.1763749293777818
baseline,zdt2,numba,100000,29,10000,0.216018091996375,0.8933863235640594
baseline,zdt2,numba,100000,29,20000,0.390687788996729,0.9740015573049668
baseline,zdt2,numba,100000,29,50000,0.914786939996702,0.9823422095169264
baseline,zdt2,numba,100000,29,100000,1.7864342409957317,0.9827089402155404
baseline,zdt3,numba,100000,0,5000,0.10391881599935,0.7518088278184869
baseline,zdt3,numba,100000,0,10000,0.1899915949979913,0.9626798903122284
baseline,zdt3,numba,100000,0,20000,0.3648183519981103,0.9922634643850208
baseline,zdt3,numba,100000,0,50000,0.8869646590028424,0.9953352399738756
baseline,zdt3,numba,100000,0,100000,1.7569328350000433,0.9962048963272834
baseline,zdt3,numba,100000,1,5000,0.1008661719970405,0.7997372885717607
baseline,zdt3,numba,100000,1,10000,0.1877984140010085,0.970717542669892
baseline,zdt3,numba,100000,1,20000,0.3635280829985277,0.9935910065439232
baseline,zdt3,numba,100000,1,50000,0.8899358639973798,0.9960350146939267
baseline,zdt3,numba,100000,1,100000,1.7667377499965369,0.9959006296492304
baseline,zdt3,numba,100000,2,5000,0.0899752159966738,0.7509644748846172
baseline,zdt3,numba,100000,2,10000,0.1764691809948999,0.968287465966688
baseline,zdt3,numba,100000,2,20000,0.3524375679990044,0.9927355503620364
baseline,zdt3,numba,100000,2,50000,0.8786196899964125,0.9952995911669056
baseline,zdt3,numba,100000,2,100000,1.7597490600019228,0.9956450417657235
baseline,zdt3,numba,100000,3,5000,0.0893675810002605,0.7856916942242959
baseline,zdt3,numba,100000,3,10000,0.1757670590013731,0.9627118002964528
baseline,zdt3,numba,100000,3,20000,0.3489247489997069,0.9923995007042182
baseline,zdt3,numba,100000,3,50000,0.8672576590033714,0.9960774169079444
baseline,zdt3,numba,100000,3,100000,1.7320946190011457,0.9959982744479344
baseline,zdt3,numba,100000,4,5000,0.0883339700012584,0.6942190928843929
baseline,zdt3,numba,100000,4,10000,0.1727225050053675,0.9660924798312702
baseline,zdt3,numba,100000,4,20000,0.3466509670033701,0.9930798252180058
baseline,zdt3,numba,100000,4,50000,0.8666057440059376,0.9958630647920692
baseline,zdt3,numba,100000,4,100000,1.734586857004615,0.99597943308616
baseline,zdt3,numba,100000,5,5000,0.0896354189972044,0.7802784759120117
baseline,zdt3,numba,100000,5,10000,0.1767239099935977,0.9604195748452012
baseline,zdt3,numba,100000,5,20000,0.3505646149933454,0.992718708562005
baseline,zdt3,numba,100000,5,50000,0.8699245159950806,0.9960683935660212
baseline,zdt3,numba,100000,5,100000,1.738823109997611,0.9963141980327004
baseline,zdt3,numba,100000,6,5000,0.0893595620000269,0.8187251273020881
baseline,zdt3,numba,100000,6,10000,0.1766059410001617,0.9551591296920996
baseline,zdt3,numba,100000,6,20000,0.3518990730008227,0.9915812523968978
baseline,zdt3,numba,100000,6,50000,0.8759164450020762,0.9955217924948978
baseline,zdt3,numba,100000,6,100000,1.751686809999228,0.9959633849336634
baseline,zdt3,numba,100000,7,5000,0.0895768800037331,0.7671938532996077
baseline,zdt3,numba,100000,7,10000,0.1769442380027612,0.9640245597108712
baseline,zdt3,numba,100000,7,20000,0.3512464779996662,0.9924732279824118
baseline,zdt3,numba,100000,7,50000,0.8720552380036679,0.9959063899858234
baseline,zdt3,numba,100000,7,100000,1.7429069159989012,0.9961113433452984
baseline,zdt3,numba,100000,8,5000,0.0901591139991069,0.7679047791287744
baseline,zdt3,numba,100000,8,10000,0.1769543679984053,0.961387166652647
baseline,zdt3,numba,100000,8,20000,0.3525882769972668,0.9925547378044104
baseline,zdt3,numba,100000,8,50000,0.8779364869988058,0.995841264564869
baseline,zdt3,numba,100000,8,100000,1.755058631002612,0.9960103691083232
baseline,zdt3,numba,100000,9,5000,0.0894057209952734,0.7239502489542017
baseline,zdt3,numba,100000,9,10000,0.1748139459959929,0.95253020189778
baseline,zdt3,numba,100000,9,20000,0.3502414569957182,0.992018233218124
baseline,zdt3,numba,100000,9,50000,0.8758264559946838,0.996044141376544
baseline,zdt3,numba,100000,9,100000,1.7520919870003129,0.9959186807730964
baseline,zdt3,numba,100000,10,5000,0.089121172997693,0.7587359719167688
baseline,zdt3,numba,100000,10,10000,0.1765992599976016,0.9711105159445456
baseline,zdt3,numba,100000,10,20000,0.3519191320010577,0.993093902454846
baseline,zdt3,numba,100000,10,50000,0.8758682839979883,0.9962645382655968
baseline,zdt3,numba,100000,10,100000,1.7536696120005215,0.9959552860545536
baseline,zdt3,numba,100000,11,5000,0.0899932550019002,0.7638744149479646
baseline,zdt3,numba,100000,11,10000,0.1769423570003709,0.9654732389541518
baseline,zdt3,numba,100000,11,20000,0.3523089489972335,0.9940209662313296
baseline,zdt3,numba,100000,11,50000,0.877432310997392,0.9954998219729074
baseline,zdt3,numba,100000,11,100000,1.7544281959999353,0.9962952589420728
baseline,zdt3,numba,100000,12,5000,0.0892273630015552,0.7369913631009144
baseline,zdt3,numba,100000,12,10000,0.1773631550022401,0.9736508070375524
baseline,zdt3,numba,100000,12,20000,0.3540307250004844,0.9935830626117924
baseline,zdt3,numba,100000,12,50000,0.8827369260034175,0.995851157113388
baseline,zdt3,numba,100000,12,100000,1.7661828359996434,0.9959945539956236
baseline,zdt3,numba,100000,13,5000,0.0900767950006411,0.8686010666516871
baseline,zdt3,numba,100000,13,10000,0.1783719649974955,0.971507030879414
baseline,zdt3,numba,100000,13,20000,0.3537175169985858,0.9933221047374232
baseline,zdt3,numba,100000,13,50000,0.8797945699989214,0.9960667269228518
