framework,problem,median_delta_percent,ci_low_percent,ci_high_percent,equivalent,non_inferior
pymoo,dtlz1,0.029991387195854417,-0.4343282237086501,0.29261412178160706,True,True
pymoo,dtlz2,-0.7263777296726805,-1.0933393182302007,0.03433560749461722,False,False
pymoo,dtlz3,8.907274460945084,2.0027275819706745,26.236600719733598,False,True
pymoo,dtlz4,0.520280111288395,-0.32841642417840233,1.0689020256035993,False,True
pymoo,dtlz5,-0.03291331015417968,-0.09310461363295261,0.0772193814865927,True,True
pymoo,dtlz6,-11.754378666429064,-14.615365990107184,-1.9755173628360014,False,False
pymoo,dtlz7,-0.2808959788184637,-1.107458194258729,0.44059192743390657,False,False
pymoo,wfg1,1.1142181508203146,-10.73730416703835,6.15001799331623,False,False
pymoo,wfg2,-0.03150638008283988,-0.20585495966839723,0.10928720141252651,True,True
pymoo,wfg3,-0.04040702821376817,-0.15188779543054234,0.032175591478248174,True,True
pymoo,wfg4,-0.17409255368722987,-0.31514500324694605,-0.03851635967199108,True,True
pymoo,wfg5,-0.13831328384918584,-0.20408110612027872,0.04202725816138317,True,True
pymoo,wfg6,-0.7348877341648014,-1.0867775523174967,0.29780837074714894,False,False
pymoo,wfg7,-0.006966216878150798,-0.10057409820892942,0.07918615079647567,True,True
pymoo,wfg8,-0.10236020086326247,-0.5387310490859246,0.4727358364575255,True,True
pymoo,wfg9,0.14591969572995642,-0.14632498019394288,0.6213543518276458,True,True
pymoo,zcat1,0.004135324216004852,-0.07025362043034779,0.03705993072616197,True,True
pymoo,zcat10,-0.21403346320224248,-0.6121512589323714,0.07958601527342848,True,True
pymoo,zcat11,-0.00890305104594274,-0.028277961145110397,0.013862905253121354,True,True
pymoo,zcat12,0.012849640352597213,-0.017310728984721267,0.04094772399707506,True,True
pymoo,zcat13,-0.02919963474263026,-0.04293868698496499,0.00010854667298253931,True,True
pymoo,zcat14,-0.00018719772772238163,-0.06761000767647307,0.04691755445225442,True,True
pymoo,zcat15,0.01286056964215691,-0.021155359555237153,0.040146175481447534,True,True
pymoo,zcat16,-0.023879532133783833,-0.06230103906345652,0.02279099876210862,True,True
pymoo,zcat17,-0.0029905598551137813,-0.022329956880911727,0.018360125322194394,True,True
pymoo,zcat18,0.018667857473946656,-0.005140066753100372,0.0526734437365464,True,True
pymoo,zcat19,-0.022937486202056087,-0.05980682361899058,0.016805382510334626,True,True
pymoo,zcat2,-0.010216774367448842,-0.016620018880682253,0.014769324043044846,True,True
pymoo,zcat20,0.018653860162372093,-0.00517384778257339,0.05279026740915221,True,True
pymoo,zcat3,0.014373159894863215,-0.01675858557911313,0.05243636038754269,True,True
pymoo,zcat4,0.01438412788110325,-0.021498304231856964,0.04822523519678233,True,True
pymoo,zcat5,-0.0029722486200270673,-0.022319650793874213,0.018600934731442517,True,True
pymoo,zcat6,-0.01308181557971702,-0.025297243882485554,0.010684769932409055,True,True
pymoo,zcat7,0.01868039813373944,-0.005144196982936711,0.05241684675742883,True,True
pymoo,zcat8,-0.006856664762273593,-0.06409691159518283,0.036332171695940274,True,True
pymoo,zcat9,-0.006856664762249762,-0.0634558517205459,0.03902461443184613,True,True
pymoo,zdt1,-0.01793016004263232,-0.03157519028983488,0.0014272889772087782,True,True
pymoo,zdt2,-0.008059506006258984,-0.014201857447904717,0.02172735331867277,True,True
pymoo,zdt3,-0.0059831894955392805,-0.012496373724546012,0.00033295626453522226,True,True
pymoo,zdt4,-0.051866818445727436,-0.09761076497279172,0.03815769038894848,True,True
pymoo,zdt6,-0.26791519464766067,-0.29765446405656437,-0.20477347659323164,True,True
jMetalPy,dtlz1,-0.2088518682265316,-0.7570845989480092,0.013614089122102433,True,True
jMetalPy,dtlz2,-0.547632205615747,-1.3073565042673774,0.34894406940679396,False,False
jMetalPy,dtlz3,-2.9154820785385884,-10.893298669420723,0.9636341521682917,False,False
jMetalPy,dtlz4,-0.24356501333669464,-0.8284186657514168,0.18908669507723017,True,True
jMetalPy,dtlz5,0.02445666604507905,-0.04188382518062093,0.08984462950425443,True,True
jMetalPy,dtlz6,-3.7786818640272,-16.054335551076353,15.691820434713543,False,False
jMetalPy,dtlz7,-0.626560776185206,-0.991757790267056,-0.08936060471103381,True,True
jMetalPy,wfg1,0.7538187909447379,-10.526192453610289,12.219558949980145,False,False
jMetalPy,wfg2,0.024578223790018852,-0.19027965526312107,0.15256483791873157,True,True
jMetalPy,wfg3,0.10511790739444263,-0.004321157715460535,0.2822941258613041,True,True
jMetalPy,wfg4,-0.16824915346216618,-0.24698249716234671,0.042575245952088864,True,True
jMetalPy,wfg5,-0.12812419492612095,-0.19427887708817299,0.013950086566559444,True,True
jMetalPy,wfg6,-0.78604400270364,-1.4602714598320914,0.972079203177887,False,False
jMetalPy,wfg7,-0.012643710677900629,-0.11292704974281134,0.05047427884587783,True,True
jMetalPy,wfg8,0.1498793428146953,-0.06368089720184913,0.416785849644991,True,True
jMetalPy,wfg9,0.12917320817949798,-0.048746426385105034,30.92939930736187,False,True
jMetalPy,zcat1,-0.02797933698354784,-0.07690500640823278,0.01301475689430006,True,True
jMetalPy,zcat10,-0.21508033893068582,-0.3796941926657368,0.04526895582665145,True,True
jMetalPy,zcat11,-0.02997672836453775,-0.05321988737721974,-0.013505713933984493,True,True
jMetalPy,zcat12,-0.025190312538050024,-0.04840757925527116,0.01985352868054398,True,True
jMetalPy,zcat13,-0.009739452293262974,-0.026981263978742447,0.003844764348785994,True,True
jMetalPy,zcat14,0.01670803723753749,-0.027645495289808367,0.04985097877719383,True,True
jMetalPy,zcat15,0.0007383564729677184,-0.02200161557772912,0.011755288921176657,True,True
jMetalPy,zcat16,-0.025494090959634425,-0.05955036960739945,-0.0060177877261214765,True,True
jMetalPy,zcat17,0.001193205584004556,-0.01868583352571827,0.02844880291715471,True,True
jMetalPy,zcat18,0.009587434089293748,-0.03239876516459779,0.0631304818661277,True,True
jMetalPy,zcat19,-0.024767239682291126,-0.09320250812934938,0.02046869541281335,True,True
jMetalPy,zcat2,0.006727066798582045,-0.01479764789343227,0.022378286434660763,True,True
jMetalPy,zcat20,0.02915777114444553,0.006597300198887887,0.06501119575766852,True,True
jMetalPy,zcat3,0.012546577203978554,-0.01103903147558952,0.0415539740444218,True,True
jMetalPy,zcat4,-0.004025471203971867,-0.039436644460649116,0.036627868230758275,True,True
jMetalPy,zcat5,-0.010312365800353421,-0.032081946380443344,0.007066144390997593,True,True
jMetalPy,zcat6,-0.020496598625574052,-0.03221384465295932,-0.007625019069574436,True,True
