algorithm,variant,pop_size,cpp,numba,speedup_numba_over_cpp
ibea,dtlz2_m3,50,0.0390836999868042,0.2235368999972706,5.7194405870668135
ibea,dtlz2_m3,100,0.0391215999989071,0.2431397999898763,6.214975870022408
ibea,dtlz2_m3,200,0.064646900005755,1.0780951999913668,16.676672816413355
ibea,zdt1,50,0.0431193000113125,0.1899891000066418,4.40612672183448
ibea,zdt1,100,0.046006499993382,0.2508797999907983,5.453138144107618
ibea,zdt1,200,0.0710858999955235,1.3875288999988695,19.519045268980857
nsgaii,dtlz2_m10,50,0.0498816999897826,0.1428697000083048,2.8641706284583157
nsgaii,dtlz2_m10,100,0.0526167000061832,0.1321193000039784,2.5109765528520893
nsgaii,dtlz2_m10,200,0.0646757999929832,0.1382327000028453,2.137317203928555
nsgaii,dtlz2_m3,50,0.0284596999990753,0.1184058999933768,4.160476041462981
nsgaii,dtlz2_m3,100,0.0324440999975195,0.1142860999971162,3.5225541779816325
nsgaii,dtlz2_m3,200,0.042643400011002,0.1175217999989399,2.7559200244028212
nsgaii,dtlz2_m5,50,0.0333672999986447,0.137421199993696,4.118439310321115
nsgaii,dtlz2_m5,100,0.0347678999969502,0.117496699996991,3.379459214024939
nsgaii,dtlz2_m5,200,0.0473105999990366,0.1218430000008083,2.5753847975567723
nsgaii,zdt1,50,0.0454370999941602,0.1305310999887297,2.8727867756856442
nsgaii,zdt1,100,0.0345240000024205,0.0974605999945197,2.822981114230294
nsgaii,zdt1,200,0.0396754000103101,0.0822789000085322,2.07380139802374
nsgaii,zdt2,50,0.0344200000108685,0.0928743000113172,2.6982655427655753
nsgaii,zdt2,100,0.0357050000020535,0.0875164999888511,2.4510992853610913
nsgaii,zdt2,200,0.0451039999898057,0.0859775999997509,1.9062078755583396
smsemoa,dtlz2_m3,50,0.4375170999992406,0.8402995000069495,1.920609503053499
smsemoa,dtlz2_m3,100,0.7698240000026999,1.227249399991706,1.5941947769716218
smsemoa,dtlz2_m3,200,5.42917230000603,1.977492699996219,0.36423465506777575
smsemoa,zdt1,50,0.2139549999992596,0.7122827999992296,3.329124348585892
smsemoa,zdt1,100,0.3294624999980442,0.9561656000005314,2.9021985810409605
smsemoa,zdt1,200,0.761788699994213,1.396929900001851,1.833749831170327
spea2,dtlz2_m3,50,0.1358251999918138,2.773024199996144,20.416124549518603
spea2,dtlz2_m3,100,0.2858323999971617,5.446934399995371,19.056392487518764
spea2,dtlz2_m3,200,0.4264144000044325,10.49069690000033,24.602116860714087
spea2,dtlz2_m5,50,0.1845988999994006,2.8482131000055237,15.429198657276787
spea2,dtlz2_m5,100,0.4502314999990631,5.563196300005075,12.356301813659531
spea2,dtlz2_m5,200,1.4683915000059642,11.013563100001193,7.500426895658589
spea2,zdt1,50,0.0371805000031599,2.7485138999909395,73.92353249034704
spea2,zdt1,100,0.0422700000053737,5.209519900003215,123.24390582779607
spea2,zdt1,200,0.0652725000109057,10.489981399994576,160.7105809987654
