suite,comparison_name,left_variant,right_variant,cases,wins,losses,ties,mean_hv_gap,median_hv_gap,mean_runtime_ratio,median_runtime_ratio,mean_reward_gap,median_reward_gap,mean_igd_plus_gap,median_igd_plus_gap
anchor,adaptive_hierarchical_joint_vs_best_fixed,adaptive_hierarchical_joint,fixed_sbx,6,5,1,0,0.15673241545867356,0.10756750530259129,2.7240505043954975,2.150142944073962,0.21924198302802433,0.2123921765796221,-0.023467636921451377,-0.04951388847952762
anchor,adaptive_hierarchical_joint_fixed_family_sbx_vs_best_fixed,adaptive_hierarchical_joint_fixed_family_sbx,fixed_sbx,6,2,4,0,-0.00844340399814462,-0.036955318661432424,2.6857747032797605,2.1975463108266755,0.25656297841005454,0.23857663127101703,0.0003421137274465987,0.009103559094194871
anchor,adaptive_hierarchical_joint_fixed_family_de_vs_best_fixed,adaptive_hierarchical_joint_fixed_family_de,fixed_sbx,6,4,2,0,0.024814994508748134,0.02829886726500641,2.679217667066864,2.1412739597790535,0.21304218516571838,0.20011302790192528,0.06376875124251558,0.07784854180376945
anchor,hierarchical_vs_fixed_family_sbx,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_sbx,6,5,1,0,0.16517581945681817,0.12123714957950638,0.9990109141506874,0.9989419680161329,-0.03732099538203019,-0.03182835341082382,-0.023809750648897978,-0.04607215151274724
anchor,hierarchical_vs_fixed_family_de,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_de,6,5,1,0,0.13191742094992542,0.08878800764532313,1.0030319428963275,1.0029492147651038,0.006199797862305946,0.009699063860050663,-0.08723638816396695,-0.04897385107179689
anchor,hierarchical_vs_no_regime,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,6,1,3,2,-0.013789194898094085,-0.002684333377032333,0.9958218830032051,0.9945101428681706,-0.0007824196704999629,0.0,0.01246168458610157,0.00042144939992884434
anchor,hierarchical_vs_flat_operator,adaptive_hierarchical_joint,adaptive_flat_operator,6,3,3,0,0.07464586249161353,0.046089483996411884,1.0365374596105033,1.0354086665012117,-0.015026356802763013,-0.011387012515496509,-0.04439048147091446,-0.02579593738108167
anchor,hierarchical_vs_flat_parameter,adaptive_hierarchical_joint,adaptive_flat_parameter,6,5,1,0,0.16517581945681817,0.12123714957950638,0.996661281806842,1.0110073782072186,-0.03732099538203019,-0.03182835341082382,-0.023809750648897978,-0.04607215151274724
anchor,fixed_family_sbx_vs_flat_parameter,adaptive_hierarchical_joint_fixed_family_sbx,adaptive_flat_parameter,6,0,0,6,0.0,0.0,1.001551390995423,0.968908163135261,0.0,0.0,0.0,0.0
anchor,adaptive_flat_operator_vs_best_fixed,adaptive_flat_operator,fixed_sbx,6,4,2,0,0.08208655296706002,0.12442820608307747,2.6265861933771295,2.0251463407706964,0.23426833983078735,0.2195231427679813,0.020922844549463086,0.03918730324192554
anchor,adaptive_flat_parameter_vs_best_fixed,adaptive_flat_parameter,fixed_sbx,6,2,4,0,-0.00844340399814462,-0.036955318661432424,2.708695013459113,2.1259844877381857,0.25656297841005454,0.23857663127101703,0.0003421137274465987,0.009103559094194871
anchor,adaptive_hierarchical_joint_no_regime_vs_best_fixed,adaptive_hierarchical_joint_no_regime,fixed_sbx,6,5,1,0,0.17052161035676763,0.10273619963661051,2.7090072726122263,2.17902660823081,0.2200244026985243,0.21295706005549248,-0.03592932150755295,-0.05651515257558766
overall,adaptive_hierarchical_joint_vs_best_fixed,adaptive_hierarchical_joint,fixed_sbx,14,10,4,0,0.25586557432468154,0.11350888827836325,2.5127288382184583,1.5437758153385848,0.2362738676697314,0.21598462494320847,0.006431551963061894,0.01401326266336829
overall,adaptive_hierarchical_joint_fixed_family_sbx_vs_best_fixed,adaptive_hierarchical_joint_fixed_family_sbx,fixed_sbx,14,7,7,0,0.5073821889066279,0.013463161974644589,2.514302913810934,1.5826962534741515,0.27720517637728487,0.2414726011337024,-0.04058030288939507,-0.019117460994515223
overall,adaptive_hierarchical_joint_fixed_family_de_vs_best_fixed,adaptive_hierarchical_joint_fixed_family_de,fixed_sbx,14,7,7,0,-0.5099749866085876,-0.02707136430857693,2.523598083808047,1.5579211568763487,0.22685982960169,0.20011302790192528,0.13233941746726646,0.09579002335093031
overall,hierarchical_vs_fixed_family_sbx,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_sbx,14,8,6,0,-0.25151661458194635,0.053599747176488854,0.9948286911885514,0.998170578298744,-0.040931308707553495,-0.0321312723486758,0.047011854852456965,0.026918960956108268
overall,hierarchical_vs_fixed_family_de,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_de,14,12,2,0,0.7658405609332692,0.3227964004451369,0.9958029747379049,0.9846528313611234,0.00941403806804142,0.009699063860050663,-0.12590786550420457,-0.13064099747119065
