suite,host,variant,component,component_group,n_runs,mean_time_ms,median_time_ms,mean_share_of_total_runtime,median_share_of_total_runtime
anchor,all_hosts,adaptive_flat_operator,start_step_time,control,30,0.47255667426118936,0.42115000906051137,0.0011236089384290987,0.00111937092005501
anchor,all_hosts,adaptive_flat_operator,router_time,control,30,0.23875666981136115,0.20689992743427865,0.0005863030393909612,0.0006565828199820373
anchor,all_hosts,adaptive_flat_operator,policy_select_time,control,30,7.171216664816408,6.780349925975315,0.017037074027779788,0.01738424043476459
anchor,all_hosts,adaptive_flat_operator,policy_update_time,control,30,3.142226675602918,2.9509500272979494,0.00737557953355712,0.007313148179289598
anchor,all_hosts,adaptive_flat_operator,decode_time,control,30,18.467546674461726,17.06605002982542,0.04317596507584418,0.0451127429954294
anchor,all_hosts,adaptive_flat_operator,trace_time,control,30,0.7151533068584589,0.6838500376034062,0.0017001622643995,0.0018856373486209948
anchor,all_hosts,adaptive_flat_operator,variation_time,host,30,42.97201000226778,40.371600043727085,0.11626047650573365,0.11613666737728515
anchor,all_hosts,adaptive_flat_operator,evaluation_time,host,30,12.372800005202103,7.926149970444385,0.028589673277567177,0.026190427298728565
anchor,all_hosts,adaptive_flat_operator,survival_time,host,30,110.72692999829694,100.86205001425697,0.31282644482982697,0.31505025542259046
anchor,all_hosts,adaptive_flat_operator,control_total,control,30,30.20745666581206,28.449699904740555,0.07099869287940065,0.07295430402772943
anchor,all_hosts,adaptive_flat_operator,host_pipeline_total,host,30,166.07174000576683,153.7063500545628,0.4576765946131278,0.4663221459640882
anchor,all_hosts,adaptive_flat_parameter,start_step_time,control,30,0.4577699910441879,0.41430005148868077,0.0010668647190681024,0.0012690415061646712
anchor,all_hosts,adaptive_flat_parameter,router_time,control,30,0.22868667777705318,0.1937999295478221,0.000510511506861364,0.0005137315279729026
anchor,all_hosts,adaptive_flat_parameter,policy_select_time,control,30,7.744923339487286,7.262149985763244,0.017423047879181128,0.01888195826799685
anchor,all_hosts,adaptive_flat_parameter,policy_update_time,control,30,3.1789366684582396,2.782850013318239,0.0072883039363792175,0.007288947547989068
anchor,all_hosts,adaptive_flat_parameter,decode_time,control,30,23.898230001941556,19.178499962436035,0.049635744621331176,0.04637690984771712
anchor,all_hosts,adaptive_flat_parameter,trace_time,control,30,0.7524666691703411,0.7430500263581052,0.0018121487415383322,0.0021404133880365524
anchor,all_hosts,adaptive_flat_parameter,variation_time,host,30,39.98736000382147,37.19390000696876,0.12115743358517643,0.12082694823539858
anchor,all_hosts,adaptive_flat_parameter,evaluation_time,host,30,12.595080014095098,7.761699980619596,0.028231962953775207,0.025015730417142203
anchor,all_hosts,adaptive_flat_parameter,survival_time,host,30,111.05509666255482,104.32689997105626,0.30553340097887915,0.3008625511074528
anchor,all_hosts,adaptive_flat_parameter,control_total,control,30,36.26101334787867,30.531849934050115,0.07773662140435933,0.07446887259234941
anchor,all_hosts,adaptive_flat_parameter,host_pipeline_total,host,30,163.63753668047138,149.93764998143888,0.4549227975178308,0.4507962774919331
anchor,all_hosts,adaptive_hierarchical_joint,start_step_time,control,30,0.47537667730163474,0.42614995982148685,0.0010661846726755032,0.0010489868841103117
anchor,all_hosts,adaptive_hierarchical_joint,router_time,control,30,0.23358335383818485,0.2064500149572268,0.000515980601666567,0.0005190430184031907
anchor,all_hosts,adaptive_hierarchical_joint,policy_select_time,control,30,10.685989994332582,9.905749953759369,0.023797517004583,0.024872175964804958
anchor,all_hosts,adaptive_hierarchical_joint,policy_update_time,control,30,3.7624533407021468,3.535400021064561,0.008311334306960254,0.008036149696334151
anchor,all_hosts,adaptive_hierarchical_joint,decode_time,control,30,20.413809978344943,17.227850046765525,0.04417946815300624,0.04343454115238543
anchor,all_hosts,adaptive_hierarchical_joint,trace_time,control,30,0.7499833382704916,0.7112999883247539,0.0017526592732968636,0.002119388877494784
anchor,all_hosts,adaptive_hierarchical_joint,variation_time,host,30,44.279209994177414,41.37270000137505,0.11331095525221341,0.11700547283717987
anchor,all_hosts,adaptive_hierarchical_joint,evaluation_time,host,30,12.53903332471964,8.224849978432758,0.028080491000876246,0.025243112782808177
anchor,all_hosts,adaptive_hierarchical_joint,survival_time,host,30,112.219836665948,104.4738500022504,0.3116130803328487,0.3135035175436225
anchor,all_hosts,adaptive_hierarchical_joint,control_total,control,30,36.32119668278998,32.38880010394496,0.07962314401218842,0.07989457661152233
anchor,all_hosts,adaptive_hierarchical_joint,host_pipeline_total,host,30,169.03807998484504,158.6217500080238,0.45300452658593837,0.44577038452093515
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_de,start_step_time,control,30,0.4643533293953321,0.4327500173531007,0.001072004792901117,0.0010302795145473182
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_de,router_time,control,30,0.22701665972514698,0.2117500152962748,0.0005354280431431925,0.0005306295533594279
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_de,policy_select_time,control,30,7.900830002715035,7.5100000358361285,0.018095776656076094,0.01773407853028772
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_de,policy_update_time,control,30,3.351376670858978,3.2353000606235582,0.00766037572676026,0.007743256295963305
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_de,decode_time,control,30,18.702176662433583,16.714599940314656,0.04244150814978878,0.04099479811317829
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_de,trace_time,control,30,0.7399700184275085,0.6824000629421789,0.0016845543390254882,0.0016076359550035503
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_de,variation_time,host,30,43.53526999766473,41.921399999409914,0.10885436051837692,0.10718700664524833
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_de,evaluation_time,host,30,12.299299997054428,8.222699962061597,0.027914641124950804,0.02559211035350472
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_de,survival_time,host,30,110.61788665368415,104.35560002952116,0.31358304757155936,0.3205102632407465
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_de,control_total,control,30,31.385723343555583,28.91849992374773,0.07148964770769493,0.06997274121591485
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_de,host_pipeline_total,host,30,166.4524566484033,160.78824998112395,0.4503520492148871,0.44253259110301124
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_sbx,start_step_time,control,30,0.46448001521639526,0.4171000618953258,0.0010682726538742164,0.0010554095691587737
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_sbx,router_time,control,30,0.2341633238150583,0.20274989219615236,0.0005483139509635397,0.0005972251359494786
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_sbx,policy_select_time,control,30,7.953320007315294,7.372300093265949,0.018035741480451877,0.02088697259991846
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_sbx,policy_update_time,control,30,3.418586658760129,3.3023499709088355,0.007800409343688314,0.009272273722851016
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_sbx,decode_time,control,30,23.589769983179092,19.30474992332165,0.049646351524974826,0.04655933780392632
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_sbx,trace_time,control,30,0.7142366715318834,0.6704999723297078,0.0016167686290806018,0.0016318179919006595
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_sbx,variation_time,host,30,39.76101997686783,36.81909993611043,0.12026128623621676,0.12068416783181997
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_sbx,evaluation_time,host,30,12.483110000418188,8.226849960919935,0.02831745648340757,0.025669763946917334
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_sbx,survival_time,host,30,111.77650666383367,105.08369996750844,0.30631768156120454,0.31262130447992864
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_sbx,control_total,control,30,36.37455665981785,31.194699990010122,0.07871585758303337,0.07825353071350812
anchor,all_hosts,adaptive_hierarchical_joint_fixed_family_sbx,host_pipeline_total,host,30,164.0206366411197,156.14289994482533,0.4548964242808289,0.4692133149382389
anchor,all_hosts,adaptive_hierarchical_joint_no_regime,start_step_time,control,30,0.4684700031551377,0.4326500311435666,0.0010803758756634458,0.0011865413017583175
anchor,all_hosts,adaptive_hierarchical_joint_no_regime,router_time,control,30,0.18052000644577978,0.16610003513051197,0.00045451106031258945,0.00044280852973221257
anchor,all_hosts,adaptive_hierarchical_joint_no_regime,policy_select_time,control,30,10.727780027567254,10.016700052801752,0.02397519409142469,0.024178659003405677
anchor,all_hosts,adaptive_hierarchical_joint_no_regime,policy_update_time,control,30,3.7870000072871335,3.4726999765553046,0.008452210917037427,0.00837159824048802
anchor,all_hosts,adaptive_hierarchical_joint_no_regime,decode_time,control,30,18.919349990513485,19.304299959912896,0.045191781252249166,0.055959473380643186
anchor,all_hosts,adaptive_hierarchical_joint_no_regime,trace_time,control,30,0.7409933425757723,0.6840499227109831,0.0016625761420424163,0.0015647056365518607
anchor,all_hosts,adaptive_hierarchical_joint_no_regime,variation_time,host,30,44.200329999633446,41.36749993995181,0.11544638047291518,0.11379846177074954
anchor,all_hosts,adaptive_hierarchical_joint_no_regime,evaluation_time,host,30,12.409740010965228,8.331150020239875,0.028268533605270544,0.025693719307773227
anchor,all_hosts,adaptive_hierarchical_joint_no_regime,survival_time,host,30,111.30526666747755,102.25600002740975,0.30585303306610195,0.31645293711266176
anchor,all_hosts,adaptive_hierarchical_joint_no_regime,control_total,control,30,34.82411337754456,34.64685019935132,0.08081664933872973,0.10425398621831576
anchor,all_hosts,adaptive_hierarchical_joint_no_regime,host_pipeline_total,host,30,167.91533667807622,157.5076500994328,0.4495679471442877,0.4506298673708514
anchor,all_hosts,fixed_de,start_step_time,control,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_de,router_time,control,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_de,policy_select_time,control,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_de,policy_update_time,control,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_de,decode_time,control,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_de,trace_time,control,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_de,variation_time,host,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_de,evaluation_time,host,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_de,survival_time,host,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_de,control_total,control,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_de,host_pipeline_total,host,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_sbx,start_step_time,control,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_sbx,router_time,control,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_sbx,policy_select_time,control,30,0.0,0.0,0.0,0.0
