suite,host,problem,left_variant,right_variant,comparison_name,comparison_kind,hv_gap,runtime_ratio,reward_gap,igd_plus_gap,outcome
anchor,moead,zdt3,adaptive_flat_parameter,fixed_sbx,adaptive_flat_parameter_vs_best_fixed,vs_best_fixed,-0.07031367323784954,4.762930123637208,0.30487017721658816,-0.02514447650941537,loss
anchor,moead,zdt3,adaptive_hierarchical_joint,fixed_sbx,adaptive_hierarchical_joint_vs_best_fixed,vs_best_fixed,0.49609162045140076,4.926641543526141,0.2734302997190193,-0.09185760783706082,win
anchor,moead,zdt3,adaptive_hierarchical_joint_fixed_family_de,fixed_sbx,adaptive_hierarchical_joint_fixed_family_de_vs_best_fixed,vs_best_fixed,0.29124143648893375,4.633954974461453,0.26301657516112653,0.08216336191280077,win
anchor,moead,zdt3,adaptive_hierarchical_joint_fixed_family_sbx,fixed_sbx,adaptive_hierarchical_joint_fixed_family_sbx_vs_best_fixed,vs_best_fixed,-0.07031367323784954,4.579887342195942,0.30487017721658816,-0.02514447650941537,loss
anchor,moead,zdt3,adaptive_hierarchical_joint_no_regime,fixed_sbx,adaptive_hierarchical_joint_no_regime_vs_best_fixed,vs_best_fixed,0.5264078764269895,4.854735275250663,0.272240917392686,-0.12013323822006472,win
anchor,moead,zdt3,adaptive_hierarchical_joint,adaptive_flat_operator,hierarchical_vs_flat_operator,pairwise,0.3126749776987081,1.0361290160424708,-0.015991757830414732,-0.15630313535327478,win
anchor,moead,zdt3,adaptive_hierarchical_joint,adaptive_flat_parameter,hierarchical_vs_flat_parameter,pairwise,0.5664052936892503,1.034371996993295,-0.03143987749756888,-0.06671313132764545,win
anchor,moead,zdt3,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,hierarchical_vs_no_regime,pairwise,-0.030316255975588735,1.0148115734841514,0.0011893823263332548,0.028275630383003902,loss
anchor,moead,zdt3,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_sbx,hierarchical_vs_fixed_family_sbx,pairwise,0.5664052936892503,1.0757123866640654,-0.03143987749756888,-0.06671313132764545,win
anchor,moead,zdt3,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_de,hierarchical_vs_fixed_family_de,pairwise,0.20485018396246701,1.0631612889373623,0.010413724557892745,-0.1740209697498616,win
anchor,moead,zdt3,adaptive_hierarchical_joint_fixed_family_sbx,adaptive_flat_parameter,fixed_family_sbx_vs_flat_parameter,pairwise,0.0,0.9615692910267839,0.0,0.0,tie
anchor,nsgaii,dtlz2,adaptive_flat_operator,fixed_sbx,adaptive_flat_operator_vs_best_fixed,vs_best_fixed,-0.07894287474863226,1.4469413473113244,0.15734470326203984,0.03127111106807351,loss
anchor,nsgaii,dtlz2,adaptive_flat_parameter,fixed_sbx,adaptive_flat_parameter_vs_best_fixed,vs_best_fixed,-0.1176807107433202,1.4259367789340316,0.18967307457041818,0.015873514619265977,loss
anchor,nsgaii,dtlz2,adaptive_hierarchical_joint,fixed_sbx,adaptive_hierarchical_joint_vs_best_fixed,vs_best_fixed,-0.1237140735065676,1.4505818188485275,0.14644196609195576,0.044053523899097474,loss
anchor,nsgaii,dtlz2,adaptive_hierarchical_joint_fixed_family_de,fixed_sbx,adaptive_hierarchical_joint_fixed_family_de_vs_best_fixed,vs_best_fixed,-0.18284668743663346,1.537289413841551,0.1384324119314193,0.07353372169473812,loss
anchor,nsgaii,dtlz2,adaptive_hierarchical_joint_fixed_family_sbx,fixed_sbx,adaptive_hierarchical_joint_fixed_family_sbx_vs_best_fixed,vs_best_fixed,-0.1176807107433202,1.6323892284989252,0.18967307457041818,0.015873514619265977,loss
anchor,nsgaii,dtlz2,adaptive_hierarchical_joint_no_regime,fixed_sbx,adaptive_hierarchical_joint_no_regime_vs_best_fixed,vs_best_fixed,-0.1237140735065676,1.5478209211290967,0.14644196609195576,0.044053523899097474,loss
anchor,nsgaii,dtlz2,adaptive_hierarchical_joint,adaptive_flat_operator,hierarchical_vs_flat_operator,pairwise,-0.04477119875793534,1.0025159772674739,-0.010902737170084081,0.012782412831023965,loss
anchor,nsgaii,dtlz2,adaptive_hierarchical_joint,adaptive_flat_parameter,hierarchical_vs_flat_parameter,pairwise,-0.006033362763247396,1.0172834029380458,-0.04323110847846243,0.028180009279831497,loss
anchor,nsgaii,dtlz2,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,hierarchical_vs_no_regime,pairwise,0.0,0.9371767748108512,0.0,0.0,tie
